ID,Size,Predicted,Actual
0,137,1.7254616258752654E-5,NO
1,252,2.503851095041428E-5,NO
2,362,4.548754993384397E-5,NO
3,81,1.5582876469189656E-5,NO
4,165,1.8411418368929873E-5,NO
5,81,1.5582876469189656E-5,NO
6,107,1.6208411038925998E-5,NO
7,163,1.8411418368929873E-5,NO
8,616,4.0734457261756526E-4,NO
9,371,1.3452336514161984E-5,NO
10,138,1.7254616258752654E-5,NO
11,58,1.515637510797338E-5,NO
12,844,0.007275900031191259,NO
13,1272,0.9567438332616226,NO
14,245,2.4498606044807256E-5,NO
15,65,1.530422683395236E-5,NO
16,299,3.1942465861563674E-5,NO
17,472,9.917670301092896E-5,NO
18,441,7.773561300011599E-5,NO
19,76,1.5482244746577194E-5,NO
20,199,2.0559378075879046E-5,NO
21,527,1.6188219518571974E-4,NO
22,35,1.4947986809942133E-5,NO
23,133,1.705586605333997E-5,NO
24,32,1.4913638102507092E-5,NO
25,164,1.8411418368929873E-5,NO
26,148,1.7683703405911822E-5,NO
27,343,4.013213025018507E-5,NO
28,164,1.8411418368929873E-5,YES
29,55,1.515637510797338E-5,NO
30,126,1.6867233946459444E-5,NO
31,78,1.5482244746577194E-5,NO
32,110,1.635926800884972E-5,NO
33,80,1.5582876469189656E-5,NO
34,76,1.5482244746577194E-5,NO
35,41,1.4989371844181851E-5,NO
36,63,1.5226586670450765E-5,NO
37,106,1.6208411038925998E-5,NO
38,72,1.5389405764674368E-5,NO
39,86,1.5691445343642063E-5,NO
40,48,1.503785117335994E-5,NO
41,63,1.5226586670450765E-5,NO
42,375,4.8562639879533617E-5,NO
43,131,1.705586605333997E-5,NO
44,146,1.7683703405911822E-5,NO
45,208,2.1306727170810832E-5,NO
46,150,1.7683703405911822E-5,NO
47,38,1.4947986809942133E-5,NO
48,43,1.4989371844181851E-5,NO
49,47,1.503785117335994E-5,NO
50,32,1.4913638102507092E-5,NO
51,93,1.5808107847985396E-5,NO
52,113,1.635926800884972E-5,NO
53,282,2.8816758331874742E-5,NO
54,251,2.503851095041428E-5,NO
55,251,2.503851095041428E-5,NO
56,91,1.5808107847985396E-5,NO
57,86,1.5691445343642063E-5,NO
58,42,1.4989371844181851E-5,NO
59,106,1.6208411038925998E-5,NO
60,34,1.4947986809942133E-5,NO
61,53,1.5093492837556819E-5,NO
62,40,1.4989371844181851E-5,NO
63,98,1.5933032902950094E-5,NO
64,80,1.5582876469189656E-5,NO
65,39,1.4989371844181851E-5,NO
66,34,1.4947986809942133E-5,NO
67,38,1.4947986809942133E-5,NO
68,103,1.6066402279411234E-5,NO
69,518,1.474676591847188E-4,NO
70,46,1.503785117335994E-5,NO
71,141,1.746378811956346E-5,NO
72,106,1.6208411038925998E-5,NO
73,57,1.515637510797338E-5,NO
74,210,2.1306727170810832E-5,NO
75,525,1.6188219518571974E-4,NO
76,88,1.5691445343642063E-5,NO
77,833,0.00626353289015529,NO
78,457,8.762093814205294E-5,NO
79,99,1.5933032902950094E-5,NO
80,151,1.7914702923339637E-5,NO
81,52,1.5093492837556819E-5,NO
82,1143,0.9718480833506977,YES
83,39,1.4989371844181851E-5,NO
84,89,1.5691445343642063E-5,NO
85,100,1.6066402279411234E-5,NO
86,84,1.5582876469189656E-5,NO
87,641,5.405677139130713E-4,YES
88,68,1.530422683395236E-5,NO
89,312,3.372405197831416E-5,NO
90,101,1.6066402279411234E-5,NO
91,78,1.5482244746577194E-5,NO
92,81,1.5582876469189656E-5,NO
93,125,1.668843382409675E-5,NO
94,112,1.635926800884972E-5,NO
95,1311,0.97643387377564,YES
96,826,1.6739646863790703E-6,YES
97,283,8.008042202986425E-6,NO
98,103,1.6066402279411234E-5,NO
99,29,1.4913638102507092E-5,NO
100,194,2.0209660309030953E-5,YES
101,72,1.5389405764674368E-5,NO
102,36,1.4947986809942133E-5,NO
103,72,1.5389405764674368E-5,NO
104,121,1.668843382409675E-5,YES
105,68,1.530422683395236E-5,YES
106,133,1.705586605333997E-5,NO
107,1112,0.4398168346051917,NO
108,70,1.5389405764674368E-5,NO
109,47,1.503785117335994E-5,NO
110,286,2.9547690273311865E-5,YES
111,72,1.5389405764674368E-5,NO
112,1047,0.15000595611460768,YES
113,506,3.728402319187744E-5,YES
114,132,1.705586605333997E-5,NO
115,218,2.2122285142745264E-5,YES
116,37,1.4947986809942133E-5,NO
117,88,4.30286104948422E-6,YES
118,94,1.5808107847985396E-5,NO
119,132,1.705586605333997E-5,NO
120,62,1.5226586670450765E-5,YES
121,242,2.3981473559598104E-5,YES
122,161,1.8411418368929873E-5,YES
123,119,1.6519196293638247E-5,NO
124,113,1.635926800884972E-5,NO
125,688,2.531074895629664E-4,YES
126,114,1.635926800884972E-5,NO
127,82,1.5582876469189656E-5,NO
128,124,1.668843382409675E-5,NO
129,92,1.5808107847985396E-5,NO
130,82,1.5582876469189656E-5,NO
131,138,1.7254616258752654E-5,NO
132,117,1.6519196293638247E-5,NO
133,76,1.5482244746577194E-5,NO
134,236,2.3486157637217517E-5,YES
135,548,8.620165619391359E-5,YES
136,287,2.9547690273311865E-5,YES
137,60,1.5226586670450765E-5,NO
138,115,1.6519196293638247E-5,YES
139,325,3.6712060823442566E-5,NO
140,53,1.5093492837556819E-5,NO
141,957,0.04172418533372321,YES
142,187,1.987511602735926E-5,YES
143,26,1.4886277690350602E-5,NO
144,744,1.3543066849518802E-67,YES
145,429,1.9928380265786927E-5,YES
146,50,1.5093492837556819E-5,NO
147,470,1.5467813450794412E-8,NO
148,41,1.4989371844181851E-5,NO
149,109,1.6208411038925998E-5,YES
150,89,1.5691445343642063E-5,NO
151,34,1.4947986809942133E-5,NO
152,248,2.503851095041428E-5,YES
153,671,5.546415262713627E-4,YES
154,53,1.5093492837556819E-5,NO
155,230,2.3011752453326427E-5,YES
156,42,1.4989371844181851E-5,NO
157,31,1.4913638102507092E-5,NO
158,36,1.4947986809942133E-5,NO
159,169,5.56735830481876E-6,YES
160,68,1.530422683395236E-5,NO
161,64,1.530422683395236E-5,NO
162,82,1.5582876469189656E-5,NO
163,44,1.503785117335994E-5,NO
164,628,0.3776204632322498,YES
165,34,1.4947986809942133E-5,NO
166,711,0.0011907410469762327,YES
167,279,7.988358075302572E-6,NO
168,148,1.7683703405911822E-5,YES
169,67,1.530422683395236E-5,NO
170,45,1.503785117335994E-5,NO
171,33,1.4913638102507092E-5,NO
172,79,1.7757440034572644E-69,NO
173,38,1.4947986809942133E-5,NO
174,33,1.4913638102507092E-5,NO
175,69,1.5389405764674368E-5,YES
176,272,4.646105449058583E-9,NO
177,57,4.139280676045536E-6,NO
178,33,4.175887082118017E-6,NO
179,129,1.6867233946459444E-5,NO
180,583,2.7948676215115725E-4,NO
181,180,1.9249340097495157E-5,NO
182,33,1.4913638102507092E-5,NO
183,333,3.7800856885844755E-5,NO
184,40,1.4989371844181851E-5,NO
185,107,1.6208411038925998E-5,NO
186,128,1.6867233946459444E-5,NO
187,38,1.4947986809942133E-5,NO
188,192,2.0209660309030953E-5,NO
189,294,3.110893877212498E-5,NO
190,109,1.6208411038925998E-5,NO
191,38,1.4947986809942133E-5,NO
