ID,Size,Predicted,Actual
0,137,4.5705575903080734E-5,NO
1,252,6.77972284035624E-5,NO
2,362,1.1594000018225844E-4,NO
3,81,4.0529859770641046E-5,NO
4,165,4.909765798490018E-5,NO
5,81,4.0529859770641046E-5,NO
6,107,4.253407958834222E-5,NO
7,163,4.909765798490018E-5,NO
8,616,8.390982724290661E-4,NO
9,371,1.234770803188741E-4,NO
10,138,4.5705575903080734E-5,NO
11,58,3.929350297088215E-5,NO
12,844,0.012021378644578086,NO
13,1272,0.9345932633217444,NO
14,245,6.485763258657961E-5,NO
15,65,3.957382861680089E-5,NO
16,299,8.451941207224115E-5,NO
17,472,2.444354173382001E-4,NO
18,441,1.9378944892529476E-4,NO
19,76,4.019159538901331E-5,NO
20,199,5.524897502917038E-5,NO
21,527,3.8924705261967187E-4,NO
22,35,3.835422820847872E-5,NO
23,133,4.511317460828156E-5,NO
24,32,3.816337898672503E-5,NO
25,164,4.909765798490018E-5,YES
26,148,4.6973541137943746E-5,NO
27,343,1.0582410295187967E-4,NO
28,164,4.909765798490018E-5,YES
29,55,3.903171235434729E-5,NO
30,126,4.454733913380824E-5,NO
31,78,4.0529859770641046E-5,NO
32,110,4.300133686710536E-5,NO
33,80,4.0529859770641046E-5,NO
34,76,4.019159538901331E-5,NO
35,41,3.856238220235275E-5,NO
36,63,3.957382861680089E-5,NO
37,106,4.253407958834222E-5,NO
38,72,4.019159538901331E-5,NO
39,86,4.0888307519429164E-5,NO
40,48,3.87881119410817E-5,NO
41,63,3.957382861680089E-5,NO
42,375,1.2750847301632495E-4,NO
43,131,4.511317460828156E-5,NO
44,146,4.6973541137943746E-5,NO
45,208,5.628390914994983E-5,NO
46,150,4.6973541137943746E-5,NO
47,38,3.835422820847872E-5,NO
48,43,3.856238220235275E-5,NO
49,47,3.87881119410817E-5,NO
50,32,3.816337898672503E-5,NO
51,93,4.166771958474293E-5,NO
52,113,4.300133686710536E-5,NO
53,282,7.630655001970036E-5,NO
54,251,6.629708539263E-5,NO
55,251,6.629708539263E-5,NO
56,91,4.1267422551586396E-5,NO
57,86,4.0888307519429164E-5,NO
58,42,3.856238220235275E-5,NO
59,106,4.253407958834222E-5,NO
60,34,3.816337898672503E-5,NO
61,53,3.903171235434729E-5,NO
62,40,3.856238220235275E-5,NO
63,98,4.208974530086957E-5,NO
64,80,4.0529859770641046E-5,NO
65,39,3.835422820847872E-5,NO
66,34,3.816337898672503E-5,NO
67,38,3.835422820847872E-5,NO
68,103,4.208974530086957E-5,NO
69,518,3.5631337477605305E-4,NO
70,46,3.87881119410817E-5,NO
71,141,4.6325397681705215E-5,NO
72,106,4.253407958834222E-5,NO
73,57,3.929350297088215E-5,NO
74,210,5.736254992967199E-5,NO
75,525,3.7233754235251515E-4,NO
76,88,4.1267422551586396E-5,NO
77,833,0.010474273912513885,NO
78,457,2.1722965341124687E-4,NO
79,99,4.208974530086957E-5,NO
80,151,4.7650956166127326E-5,NO
81,57,5.919482567921751E-5,NO
82,1254,0.9999999999988001,YES
83,39,3.835422820847872E-5,NO
84,89,4.1267422551586396E-5,NO
85,100,4.208974530086957E-5,NO
86,84,4.0888307519429164E-5,NO
87,662,0.00620788704165683,NO
88,68,3.9873060172296544E-5,NO
89,312,8.917819351815009E-5,NO
90,101,4.208974530086957E-5,NO
91,78,4.0529859770641046E-5,NO
92,81,4.0529859770641046E-5,YES
93,125,4.454733913380824E-5,NO
94,114,6.620894459750669E-5,NO
95,1481,0.9999999999974404,YES
96,832,0.01458641506262598,YES
97,283,1.2052695786254954E-4,NO
98,103,4.208974530086957E-5,NO
99,29,3.798958693348654E-5,NO
100,194,5.425607412579618E-5,YES
101,72,4.019159538901331E-5,NO
102,36,3.835422820847872E-5,NO
103,72,4.019159538901331E-5,NO
104,159,0.029634527856275763,YES
105,98,2.1858732808671097E-4,NO
106,170,0.07473665232137737,NO
107,1164,1.0,NO
108,70,3.9873060172296544E-5,NO
109,47,3.87881119410817E-5,NO
110,368,0.40318997542021306,YES
111,72,4.019159538901331E-5,NO
112,1362,1.0,YES
113,45,1.0185745379913143E-4,NO
114,512,0.6527028565119715,YES
115,132,4.511317460828156E-5,NO
116,232,0.003945201658256799,NO
117,37,3.835422820847872E-5,NO
118,137,0.11760611264011453,NO
119,94,4.166771958474293E-5,NO
120,132,4.511317460828156E-5,NO
121,66,1.6949304943134001E-4,NO
122,244,0.05024844510964692,YES
123,178,0.010193028782516012,YES
124,121,6.72748575575526E-5,NO
125,113,4.300133686710536E-5,NO
126,703,0.05698872316045165,YES
127,114,4.349216750114112E-5,NO
128,82,4.0888307519429164E-5,NO
129,124,4.400725930279262E-5,NO
130,92,4.1267422551586396E-5,NO
131,82,4.0888307519429164E-5,NO
132,138,4.5705575903080734E-5,NO
133,117,4.349216750114112E-5,NO
134,76,4.019159538901331E-5,NO
135,236,6.347634464375384E-5,YES
136,553,0.0020796109238378443,NO
137,288,3.3963541853819805E-4,NO
138,60,3.929350297088215E-5,NO
139,116,1.864894214973865E-4,NO
140,325,9.425348969569478E-5,NO
141,53,3.903171235434729E-5,NO
142,957,0.40326721535507337,YES
143,189,2.296373951809871E-4,YES
144,26,3.798958693348654E-5,NO
145,744,0.0052410657339660716,YES
146,169,1.0,YES
147,50,3.87881119410817E-5,NO
148,41,3.856238220235275E-5,NO
149,109,4.300133686710536E-5,YES
150,160,1.0,YES
151,719,0.2692851309692227,YES
152,53,6.0134921412676597E-5,NO
153,253,1.5984585746207024E-4,YES
154,42,3.856238220235275E-5,NO
155,31,3.816337898672503E-5,NO
156,36,3.835422820847872E-5,NO
157,169,4.9869109520753726E-5,YES
158,375,1.0,YES
159,494,0.9999999999999999,YES
160,89,7.351350134706446E-4,NO
161,34,7.75606702204882E-5,NO
162,149,0.10554213422593028,YES
163,68,3.9873060172296544E-5,NO
164,64,3.957382861680089E-5,NO
165,146,0.07812677152937059,YES
166,37,8.139304500662912E-5,NO
167,123,0.008868188748736945,YES
168,114,0.004074645366132228,YES
169,82,6.299525546812491E-5,NO
170,44,3.856238220235275E-5,NO
171,652,0.9894346872269963,YES
172,34,3.816337898672503E-5,NO
173,873,0.9734926149009696,YES
174,321,2.3295813279148063E-4,NO
175,149,7.165699005120608E-5,YES
176,68,6.143113136864658E-5,NO
177,45,3.87881119410817E-5,NO
178,33,3.816337898672503E-5,NO
179,79,8.858721213001036E-5,NO
180,38,3.835422820847872E-5,NO
181,33,3.816337898672503E-5,NO
182,69,3.9873060172296544E-5,YES
183,272,7.268911823300991E-5,NO
184,57,3.929350297088215E-5,NO
185,33,3.816337898672503E-5,NO
186,129,4.454733913380824E-5,NO
187,583,6.211740825034557E-4,NO
188,180,5.1514062751477885E-5,NO
189,33,3.816337898672503E-5,NO
190,333,9.978672143867896E-5,NO
191,40,3.856238220235275E-5,NO
192,107,4.253407958834222E-5,NO
193,128,4.454733913380824E-5,NO
194,38,3.835422820847872E-5,NO
195,192,5.3303616414162925E-5,NO
196,294,8.233444886268202E-5,NO
197,109,4.300133686710536E-5,NO
198,38,3.835422820847872E-5,NO
199,312,0.9999999999795967,NO
