ID,Size,Predicted,Actual
0,126,5.62909750834735E-4,NO
1,22,5.415206773163989E-4,NO
2,75,5.34361019928701E-4,NO
3,131,5.673770880755781E-4,NO
4,223,7.38000550171843E-4,NO
5,40,5.350052601466506E-4,NO
6,381,0.0018712243021316549,NO
7,46,5.337288871308057E-4,NO
8,26,5.397406174295395E-4,NO
9,66,5.330519393667888E-4,NO
10,95,5.412795498174591E-4,NO
11,33,5.370480811165594E-4,NO
12,103,5.454047006651057E-4,NO
13,219,7.268028308440102E-4,NO
14,328,0.0012810382148505165,NO
15,59,5.326871392836573E-4,NO
16,376,0.001794029807861833,NO
17,33,5.370480811165594E-4,NO
18,36,5.360604381434858E-4,NO
19,44,5.341483102608127E-4,NO
20,70,5.335289886928086E-4,NO
21,69,5.334178708671338E-4,NO
22,31,5.375899706976109E-4,NO
23,27,5.390856693847731E-4,NO
24,33,5.370480811165594E-4,NO
25,27,5.390856693847731E-4,NO
26,27,5.390856693847731E-4,NO
27,40,5.350052601466506E-4,NO
28,60,5.326963545475599E-4,NO
29,69,5.334178708671338E-4,NO
30,85,5.371419212755882E-4,NO
31,85,5.371419212755882E-4,NO
32,86,5.374117002206462E-4,NO
33,50,5.331872252519014E-4,NO
34,125,5.614944528914886E-4,NO
35,151,5.907479066050462E-4,NO
36,242,7.982663424115336E-4,NO
37,47,5.336048314474242E-4,NO
38,72,5.33774819369268E-4,NO
39,51,5.331024548217266E-4,NO
40,51,5.331024548217266E-4,NO
41,106,5.472886325836517E-4,NO
42,87,5.379753750998586E-4,NO
43,80,5.356913361282244E-4,NO
44,76,5.347014932846196E-4,NO
45,41,5.346387507142023E-4,NO
46,63,5.32811490441199E-4,NO
47,55,5.327584592322764E-4,NO
48,106,5.472886325836517E-4,NO
49,72,5.33774819369268E-4,NO
50,86,5.374117002206462E-4,NO
51,55,5.327584592322764E-4,NO
52,135,5.713577094609147E-4,NO
53,63,5.32811490441199E-4,NO
54,412,0.0024134169799053034,NO
55,533,1.0,NO
56,67,9.987169421899105E-4,NO
57,50,5.331872252519014E-4,NO
58,39,5.352004033577871E-4,NO
59,88,0.003578955153786543,NO
60,37,5.358334914979024E-4,NO
61,74,0.0024306981946493997,NO
62,79,0.0010302472643787845,NO
63,321,0.0012245716244057155,NO
64,631,0.5060344050702694,NO
65,140,5.773336326094079E-4,NO
66,318,0.06887550367801965,NO
67,356,0.004183441247329885,NO
68,187,6.501019296481609E-4,NO
69,142,0.0012053596626483854,NO
70,186,6.48535926980627E-4,NO
71,138,5.747142502635641E-4,NO
72,36,5.360604381434858E-4,NO
