ID,Size,Predicted,Actual
0,126,1.581722860979604E-5,NO
1,22,1.4744110172305076E-5,NO
2,75,1.496111901348403E-5,NO
3,131,1.595568983951139E-5,NO
4,223,1.9651687994632095E-5,NO
5,40,1.474869677260633E-5,NO
6,381,3.8660735931359797E-5,NO
7,46,1.4765178222155287E-5,NO
8,26,1.4738170749871836E-5,NO
9,66,1.490661314381452E-5,NO
10,95,1.5258244309897457E-5,NO
11,33,1.4739698842329416E-5,NO
12,103,1.535287487983945E-5,NO
13,219,1.9323889041231958E-5,NO
14,328,2.9007913805489653E-5,NO
15,59,1.4820703434469897E-5,NO
16,376,3.748044927480631E-5,NO
17,33,1.4739698842329416E-5,NO
18,36,1.4739698842329416E-5,NO
19,44,1.4765178222155287E-5,NO
20,70,1.490661314381452E-5,NO
21,69,1.490661314381452E-5,NO
22,31,1.4738170749871836E-5,NO
23,27,1.4738170749871836E-5,NO
24,33,1.4739698842329416E-5,NO
25,27,1.4738170749871836E-5,NO
26,27,1.4738170749871836E-5,NO
27,40,1.474869677260633E-5,NO
28,60,1.4820703434469897E-5,NO
29,69,1.490661314381452E-5,NO
30,85,1.50936509107077E-5,NO
31,85,1.50936509107077E-5,NO
32,86,1.50936509107077E-5,NO
33,50,1.478916826562838E-5,NO
34,125,1.581722860979604E-5,NO
35,151,1.642824694806451E-5,NO
36,242,2.073174575280974E-5,NO
37,47,1.4765178222155287E-5,NO
38,72,1.496111901348403E-5,NO
39,51,1.478916826562838E-5,NO
40,51,1.478916826562838E-5,NO
41,106,1.5455920189751786E-5,NO
42,87,1.50936509107077E-5,NO
43,80,1.5023433001498399E-5,NO
44,76,1.496111901348403E-5,NO
45,41,1.474869677260633E-5,NO
46,63,1.4859831809639818E-5,NO
47,55,1.4820703434469897E-5,NO
48,106,1.5455920189751786E-5,NO
49,72,1.496111901348403E-5,NO
50,86,1.50936509107077E-5,NO
51,55,1.4820703434469897E-5,NO
52,135,1.610351895147333E-5,NO
53,63,1.4859831809639818E-5,NO
54,412,4.5487970289428393E-5,NO
55,533,1.0341381353375683E-4,NO
56,67,1.490661314381452E-5,NO
57,50,1.478916826562838E-5,NO
58,39,1.474869677260633E-5,NO
59,88,1.50936509107077E-5,NO
60,37,1.4739698842329416E-5,NO
61,74,1.496111901348403E-5,NO
62,79,1.5023433001498399E-5,NO
63,321,2.8265138054181362E-5,NO
64,631,2.367815553352529E-4,NO
65,140,1.610351895147333E-5,NO
66,318,2.8265138054181362E-5,NO
67,356,3.327693985682592E-5,NO
68,187,1.7900617612345745E-5,NO
69,142,1.626095324453281E-5,NO
70,186,1.7900617612345745E-5,NO
71,138,1.610351895147333E-5,NO
72,36,1.4739698842329416E-5,NO
73,37,1.4739698842329416E-5,NO
74,120,1.5687914259765402E-5,NO
75,139,1.610351895147333E-5,NO
76,852,0.002747870755261636,NO
77,33,1.4739698842329416E-5,NO
78,43,1.4765178222155287E-5,NO
79,99,1.5258244309897457E-5,NO
80,288,2.4449996485507258E-5,NO
81,131,1.595568983951139E-5,YES
82,146,1.642824694806451E-5,NO
83,204,1.871302101074667E-5,NO
84,150,1.642824694806451E-5,NO
85,38,1.474869677260633E-5,NO
86,43,1.4765178222155287E-5,NO
87,47,1.4765178222155287E-5,NO
88,32,1.4739698842329416E-5,NO
89,93,1.5171881009471711E-5,NO
90,93,1.5171881009471711E-5,NO
91,282,2.390856011961874E-5,NO
92,251,2.1539051709429034E-5,NO
93,251,2.1539051709429034E-5,NO
94,130,1.595568983951139E-5,NO
95,53,1.478916826562838E-5,NO
96,125,1.581722860979604E-5,NO
97,50,1.478916826562838E-5,NO
98,106,1.5455920189751786E-5,NO
99,34,1.4739698842329416E-5,NO
100,66,1.490661314381452E-5,NO
101,40,1.474869677260633E-5,NO
102,140,1.610351895147333E-5,NO
103,84,1.50936509107077E-5,NO
104,39,1.474869677260633E-5,NO
105,34,1.4739698842329416E-5,NO
106,38,1.474869677260633E-5,NO
107,149,1.642824694806451E-5,NO
108,761,9.163972656985837E-4,NO
109,46,1.4765178222155287E-5,NO
110,204,1.871302101074667E-5,NO
111,153,1.660567190535255E-5,NO
112,57,1.4820703434469897E-5,NO
113,57,1.4820703434469897E-5,NO
114,1307,0.808132626188174,YES
115,170,1.72017327626131E-5,YES
116,339,3.059900193260685E-5,YES
117,40,1.474869677260633E-5,NO
118,90,1.5171881009471711E-5,YES
119,100,1.5258244309897457E-5,NO
120,84,1.50936509107077E-5,NO
121,699,4.640098251652163E-4,YES
122,389,3.989839577328336E-5,YES
123,165,1.6992095488919285E-5,NO
124,159,1.6793518308679738E-5,NO
125,305,2.6228590459713394E-5,YES
126,185,1.7655610295987882E-5,YES
127,68,1.490661314381452E-5,NO
128,277,2.3390959956269496E-5,NO
129,476,6.80193759243094E-5,YES
130,101,1.535287487983945E-5,NO
131,60,1.4820703434469897E-5,YES
132,79,1.5023433001498399E-5,NO
133,79,1.5023433001498399E-5,NO
134,149,1.642824694806451E-5,NO
135,124,1.581722860979604E-5,YES
136,119,1.5687914259765402E-5,NO
137,1746,0.999991238489035,YES
138,875,0.007090989834546814,YES
139,87,1.50936509107077E-5,NO
140,79,9.104938935105493E-5,YES
141,61,1.4859831809639818E-5,NO
142,101,1.535287487983945E-5,NO
143,355,3.327693985682592E-5,YES
144,284,2.4449996485507258E-5,NO
145,103,1.535287487983945E-5,NO
146,29,1.4738170749871836E-5,NO
147,215,1.9323889041231958E-5,YES
148,71,1.490661314381452E-5,YES
149,36,1.4739698842329416E-5,NO
150,82,1.5023433001498399E-5,NO
151,51,1.478916826562838E-5,NO
152,173,1.72017327626131E-5,YES
153,98,1.5258244309897457E-5,NO
154,174,1.72017327626131E-5,NO
155,1311,0.9972859384083629,YES
156,61,1.4859831809639818E-5,NO
157,47,1.4765178222155287E-5,NO
158,192,1.815822128764548E-5,NO
159,422,4.871772641355704E-5,YES
160,104,1.535287487983945E-5,NO
161,1156,0.5610159480059297,YES
162,326,3.200719274382467E-4,YES
163,851,0.013064966364483266,YES
164,415,2.2264654177672413E-4,NO
165,45,1.4765178222155287E-5,NO
166,716,5.552739861945804E-4,YES
167,129,1.595568983951139E-5,NO
168,256,2.197110699084556E-5,YES
169,37,1.4739698842329416E-5,YES
170,452,5.8346217227019894E-5,NO
171,139,1.1806265643633527E-4,NO
172,112,1.556754149568135E-5,NO
173,132,1.7573974601942444E-4,YES
174,81,1.5023433001498399E-5,NO
175,274,2.3390959956269496E-5,YES
176,68,1.490661314381452E-5,NO
177,190,1.7900617612345745E-5,YES
178,123,1.5687914259765402E-5,NO
179,171,1.72017327626131E-5,NO
180,483,7.076809702027557E-5,YES
181,127,1.581722860979604E-5,NO
182,921,0.04764405030685261,YES
183,143,7.71955445699587E-5,NO
184,106,7.337403639936042E-5,NO
185,123,1.5687914259765402E-5,NO
186,93,1.5171881009471711E-5,NO
187,82,1.5023433001498399E-5,NO
188,139,1.610351895147333E-5,NO
189,59,1.4820703434469897E-5,NO
190,117,1.556754149568135E-5,NO
191,418,4.706323715352367E-5,YES
192,77,1.496111901348403E-5,NO
193,70,1.490661314381452E-5,NO
194,148,1.642824694806451E-5,NO
195,250,2.1539051709429034E-5,NO
196,660,3.106333383478637E-4,NO
197,325,0.0022510839932372295,NO
198,66,1.490661314381452E-5,NO
199,120,1.5687914259765402E-5,NO
200,326,2.9007913805489653E-5,NO
201,54,1.478916826562838E-5,NO
202,972,0.014013004519314082,YES
203,185,1.7655610295987882E-5,YES
204,27,1.4738170749871836E-5,NO
205,890,0.004622618201738392,YES
206,167,1.6992095488919285E-5,YES
207,50,1.478916826562838E-5,NO
208,41,1.474869677260633E-5,NO
209,113,1.556754149568135E-5,YES
210,160,1.6793518308679738E-5,NO
211,827,0.00406344292141647,YES
212,53,1.478916826562838E-5,YES
213,293,2.5016363733106696E-5,NO
214,42,1.474869677260633E-5,NO
215,31,1.4738170749871836E-5,NO
216,36,1.4739698842329416E-5,NO
217,173,1.72017327626131E-5,YES
218,481,7.076809702027557E-5,YES
219,611,2.0241541867498865E-4,YES
220,96,1.5258244309897457E-5,NO
221,34,1.4739698842329416E-5,NO
222,141,1.626095324453281E-5,YES
223,79,1.5023433001498399E-5,NO
224,77,1.496111901348403E-5,NO
225,134,1.595568983951139E-5,NO
226,37,1.4739698842329416E-5,NO
227,127,1.581722860979604E-5,YES
228,115,1.556754149568135E-5,NO
229,88,1.50936509107077E-5,YES
230,44,1.4765178222155287E-5,NO
231,884,0.007544018387044361,YES
232,34,1.4739698842329416E-5,NO
233,1123,0.12864361010315675,YES
234,411,4.5487970289428393E-5,NO
235,157,1.660567190535255E-5,NO
236,68,1.490661314381452E-5,NO
237,59,1.4820703434469897E-5,NO
238,38,1.474869677260633E-5,NO
239,120,1.5687914259765402E-5,YES
240,144,1.626095324453281E-5,NO
241,45,1.4765178222155287E-5,NO
242,33,1.4739698842329416E-5,NO
243,80,1.5023433001498399E-5,NO
244,38,1.474869677260633E-5,NO
245,33,1.4739698842329416E-5,NO
246,57,1.4820703434469897E-5,NO
247,106,1.5455920189751786E-5,NO
248,271,2.2896161123302243E-5,NO
249,57,1.4820703434469897E-5,NO
250,33,1.4739698842329416E-5,NO
251,141,1.626095324453281E-5,NO
252,82,1.5023433001498399E-5,NO
253,34,1.4739698842329416E-5,NO
254,177,1.742278033978523E-5,NO
255,37,1.4739698842329416E-5,NO
256,461,6.293362606036632E-5,NO
257,84,1.50936509107077E-5,NO
258,38,1.474869677260633E-5,NO
259,193,1.815822128764548E-5,NO
260,295,2.56088199468719E-5,NO
261,110,1.5455920189751786E-5,NO
