ID,Size,Predicted,Actual
0,126,0.0,NO
1,22,0.0,NO
2,75,0.0,NO
3,131,0.0,NO
4,223,0.0,NO
5,40,0.0,NO
6,391,0.0,NO
7,46,0.0,NO
8,26,0.0,NO
9,66,0.0,NO
10,95,0.0,NO
11,33,0.0,NO
12,103,0.0,NO
13,219,0.0,NO
14,329,0.0,NO
15,59,0.0,NO
16,376,0.0,NO
17,33,0.0,NO
18,36,0.0,NO
19,44,0.0,NO
20,70,0.0,NO
21,69,0.0,NO
22,31,0.0,NO
23,27,0.0,NO
24,33,0.0,NO
25,27,0.0,NO
26,27,0.0,NO
27,40,0.0,NO
28,60,0.0,NO
29,69,0.0,NO
30,85,0.0,NO
31,85,0.0,NO
32,87,0.0,NO
33,53,0.0,NO
34,125,0.0,NO
35,151,0.0,NO
36,242,0.0,NO
37,47,0.0,NO
38,72,0.0,NO
39,51,0.0,NO
40,51,0.0,NO
41,110,0.0,NO
42,87,0.0,NO
43,80,0.0,NO
44,76,0.0,NO
45,41,0.0,NO
46,63,0.0,NO
47,55,0.0,NO
48,106,0.0,NO
49,72,0.0,NO
50,86,0.0,NO
51,55,0.0,NO
52,135,0.0,NO
53,63,0.0,NO
54,412,0.0,NO
55,533,0.0,NO
56,71,0.0,NO
57,50,0.0,NO
58,39,0.0,NO
59,106,0.0,NO
60,37,0.0,NO
61,92,0.0,NO
62,79,0.0,NO
63,321,0.0,NO
64,631,0.0,NO
65,140,0.0,NO
66,258,0.0,NO
67,384,0.0,NO
68,74,0.0,NO
69,79,0.0,NO
70,187,0.0,NO
71,143,0.0,NO
72,186,0.0,NO
73,138,0.0,NO
74,36,0.0,NO
75,37,0.0,NO
76,86,0.0,NO
77,120,0.0,NO
78,139,0.0,NO
79,875,1.0,YES
80,33,0.0,NO
81,43,0.0,NO
82,99,0.0,NO
83,288,0.0,NO
84,130,0.0,NO
85,146,0.0,NO
86,204,0.0,NO
87,150,0.0,NO
88,38,0.0,NO
89,43,0.0,NO
90,47,0.0,NO
91,32,0.0,NO
92,93,0.0,NO
93,93,0.0,NO
94,282,0.0,NO
95,251,0.0,NO
96,251,0.0,NO
97,130,0.0,YES
98,53,0.0,NO
99,125,0.0,YES
100,50,0.0,NO
101,106,0.0,NO
102,34,0.0,NO
103,66,0.0,NO
104,40,0.0,NO
105,140,0.0,NO
106,84,0.0,NO
107,39,0.0,NO
108,34,0.0,NO
109,38,0.0,NO
110,149,0.0,NO
111,761,1.0,YES
112,46,0.0,NO
113,204,0.0,NO
114,153,0.0,NO
115,57,0.0,NO
116,320,0.0,NO
117,1595,1.0,YES
118,241,0.0,YES
119,432,0.0,NO
120,443,0.0,YES
121,40,0.0,NO
122,135,0.0,NO
123,112,0.0,NO
124,86,0.0,NO
125,798,1.0,YES
126,422,0.0,NO
127,177,0.0,NO
128,157,0.0,NO
129,355,0.0,NO
130,205,0.0,NO
131,68,0.0,NO
132,277,0.0,NO
133,479,0.0,NO
134,101,0.0,NO
135,29,0.0,NO
136,68,0.0,NO
137,79,0.0,YES
138,70,0.0,NO
139,79,0.0,NO
140,186,0.0,NO
141,123,0.0,NO
142,134,0.0,NO
143,2942,1.0,YES
144,663,1.0,YES
145,47,0.0,NO
146,81,0.0,NO
147,69,0.0,NO
148,118,0.0,YES
149,57,1.0,NO
150,31,1.0,NO
151,60,1.0,NO
152,46,0.0,NO
153,26,1.0,NO
154,105,0.0,NO
155,159,0.0,NO
156,80,0.0,NO
157,96,0.0,YES
158,104,0.0,NO
159,96,0.0,NO
160,84,0.0,NO
161,80,0.0,NO
162,70,0.0,NO
163,130,0.0,NO
164,25,1.0,NO
165,161,0.0,YES
166,87,0.0,NO
167,83,0.0,NO
168,79,0.0,NO
169,211,0.0,NO
170,93,0.0,NO
171,49,0.0,NO
172,69,0.0,NO
173,90,0.0,NO
174,144,0.0,NO
175,72,0.0,YES
176,346,0.0,YES
177,101,0.0,NO
178,629,0.0,NO
179,115,0.0,NO
180,89,0.0,NO
181,123,0.0,NO
182,293,0.0,NO
183,120,0.0,NO
184,63,0.0,NO
185,52,0.0,NO
186,67,0.0,NO
187,202,0.0,NO
188,226,0.0,YES
189,29,0.0,NO
190,223,0.0,NO
191,120,0.0,NO
192,36,0.0,NO
193,82,0.0,NO
194,51,0.0,NO
195,173,0.0,NO
196,98,0.0,NO
197,158,0.0,YES
198,184,0.0,YES
