ID,Size,Predicted,Actual
0,126,0.008994434052766948,NO
1,22,0.008247580685746075,NO
2,75,0.008387048630294384,NO
3,131,0.009068994568582263,NO
4,223,0.011567598565524223,NO
5,40,0.008254659523567734,NO
6,381,0.02451944311770641,NO
7,46,0.008264159701473246,NO
8,26,0.008244719497103016,NO
9,66,0.008333400598120983,NO
10,95,0.008578663647285188,NO
11,33,0.008244944833460778,NO
12,103,0.008679220430824272,NO
13,219,0.011387442384108616,NO
14,328,0.01836940688680119,NO
15,59,0.008311369179151522,NO
16,376,0.4009880799691966,NO
17,33,0.008244944833460778,NO
18,36,0.008248256945793828,NO
19,44,0.008264159701473246,NO
20,70,0.008358617647501483,NO
21,69,0.008358617647501483,NO
22,31,0.008244944833460778,NO
23,27,0.008244719497103016,NO
24,33,0.008244944833460778,NO
25,27,0.008244719497103016,NO
26,27,0.008244719497103016,NO
27,40,0.008254659523567734,NO
28,60,0.008311369179151522,NO
29,69,0.008358617647501483,NO
30,85,0.008491963641434478,NO
31,85,0.008491963641434478,NO
32,86,0.008491963641434478,NO
33,50,0.00827676807245225,NO
34,125,0.00892381832933543,NO
35,151,0.009408519998140803,NO
36,242,0.01236281651686877,NO
37,47,0.008264159701473246,NO
38,72,0.008387048630294384,NO
39,51,0.00827676807245225,NO
40,51,0.00827676807245225,NO
41,106,0.008679220430824272,NO
42,87,0.008491963641434478,NO
43,80,0.008453684024349319,NO
44,76,0.008418725520973266,NO
45,41,0.008254659523567734,NO
46,63,0.008333400598120983,NO
47,55,0.008292498707052214,NO
48,106,0.008679220430824272,NO
49,72,0.008387048630294384,NO
50,86,0.008491963641434478,NO
51,55,0.008292498707052214,NO
52,135,0.009147587686201029,NO
53,63,0.008333400598120983,NO
54,412,0.030121889807561,NO
55,66,0.008333400598120983,NO
56,50,0.00827676807245225,NO
57,39,0.008254659523567734,NO
58,37,0.008248256945793828,NO
59,80,0.008453684024349319,NO
60,321,0.01751082337448773,NO
61,118,0.008857064631930894,NO
62,605,0.1401211227377299,NO
63,140,0.0092303064263241,NO
64,361,0.02196610226767344,NO
65,362,0.02196610226767344,NO
66,187,0.010308987275637598,NO
67,146,0.009317249199878041,NO
68,186,0.010308987275637598,NO
69,138,0.009147587686201029,NO
70,36,0.008248256945793828,NO
71,37,0.008248256945793828,NO
72,120,0.008857064631930894,NO
73,139,0.009147587686201029,NO
74,852,0.7962764592110033,NO
75,33,0.008244944833460778,NO
76,43,0.012309668120246559,NO
77,99,0.07704637198045029,NO
78,288,0.014979533813909268,NO
79,131,0.009068994568582263,NO
80,146,0.009496268518982977,NO
81,204,0.010887811270992557,NO
82,150,0.009408519998140803,NO
83,38,0.008248256945793828,NO
84,43,0.008254659523567734,NO
85,47,0.008264159701473246,NO
86,32,0.008244944833460778,NO
87,93,0.008697702558932492,NO
88,93,0.009900273697779708,NO
89,282,0.014670457245663768,NO
90,251,0.012809037497835454,NO
91,251,0.012809037497835454,NO
92,130,0.008994434052766948,NO
93,53,0.008292498707052214,NO
94,125,0.00892381832933543,NO
95,50,0.00827676807245225,NO
96,106,0.008679220430824272,NO
97,34,0.008244944833460778,NO
98,66,0.008333400598120983,NO
99,40,0.008254659523567734,NO
100,140,0.0092303064263241,NO
101,84,0.008453684024349319,NO
102,39,0.008254659523567734,NO
103,34,0.008244944833460778,NO
104,38,0.008248256945793828,NO
105,149,0.009408519998140803,NO
106,761,0.5236964477672296,NO
107,46,0.008264159701473246,NO
108,204,0.010887811270992557,NO
109,153,0.009408519998140803,NO
110,57,0.008292498707052214,NO
111,57,0.008292498707052214,NO
112,1307,0.9999999999999779,YES
113,170,0.010007735907417641,YES
114,339,0.9999999700798696,NO
115,40,0.008254659523567734,NO
116,90,0.00853360774246822,YES
117,100,0.00862718271322806,NO
118,84,0.008453684024349319,NO
119,699,0.3239217114247635,NO
120,389,0.9311598329979681,YES
121,165,0.009709428482753562,NO
122,159,0.009604490758610633,NO
123,305,0.016341802028822433,YES
124,185,0.010308987275637598,YES
125,68,0.008358617647501483,NO
126,277,0.018587727789938592,NO
127,476,0.04772733786708206,YES
128,101,0.00862718271322806,NO
129,60,0.008311369179151522,YES
130,79,0.008418725520973266,NO
131,79,0.008418725520973266,NO
132,149,0.00958927599733202,NO
133,124,0.00892381832933543,YES
134,119,0.008857064631930894,NO
135,1746,1.0,YES
136,868,0.9928263113541858,YES
137,87,0.008491963641434478,NO
138,61,0.008311369179151522,NO
139,101,0.00862718271322806,NO
140,355,0.021389253394417947,NO
141,284,0.014670457245663768,NO
142,103,0.008679220430824272,NO
143,29,0.008244719497103016,NO
144,215,0.01142929158246944,YES
145,71,0.008387048630294384,YES
146,36,0.008248256945793828,NO
147,82,0.18647941289212405,NO
148,51,0.18326543916617807,NO
149,173,0.009933851149117184,YES
150,98,0.008578663647285188,NO
151,174,0.21568387606666323,NO
152,1278,1.0,YES
153,61,0.008311369179151522,NO
154,47,0.008264159701473246,NO
155,192,0.010645374036517451,NO
156,422,0.536178600046024,YES
157,104,0.19352264323000593,NO
158,1156,0.9999543283894174,YES
159,326,0.01793174843352709,YES
160,851,0.7850294533010284,YES
161,415,0.03106283117892038,NO
162,45,0.008264159701473246,NO
163,716,0.9999999999999889,YES
164,129,0.009167308276470094,NO
165,256,0.29221529928816986,YES
166,37,0.008248256945793828,YES
167,452,0.04020388739451237,NO
168,139,0.009323377849497978,NO
169,112,0.008963153587457733,NO
170,132,0.009068994568582263,YES
171,81,0.18647941289212405,NO
172,274,0.2775352173776354,YES
173,68,0.008358617647501483,NO
174,190,0.22105538351710463,YES
175,123,0.00892381832933543,NO
176,171,0.010007735907417641,NO
177,483,0.10541978331709616,YES
178,127,0.008994434052766948,NO
179,921,0.9999999999966392,YES
180,143,0.0092303064263241,NO
181,106,0.008679220430824272,NO
182,123,0.009556997125119676,NO
183,93,0.00853360774246822,NO
184,82,0.008453684024349319,NO
185,139,0.009147587686201029,NO
186,59,0.008311369179151522,NO
187,117,0.008857064631930894,NO
188,418,0.03204389898262128,YES
189,77,0.008418725520973266,NO
190,70,0.008358617647501483,NO
191,148,0.08275229836468131,NO
192,250,0.012809037497835454,NO
193,660,1.0,NO
194,343,0.9999999708387812,YES
195,66,0.008333400598120983,NO
196,120,0.008857064631930894,NO
197,326,0.33352988121703037,NO
198,54,0.008292498707052214,NO
199,972,0.96550593740347,YES
200,185,0.24548594530953935,YES
201,27,0.008244719497103016,NO
202,890,0.9999803592150304,YES
203,167,0.99999987907707,YES
204,50,0.00827676807245225,NO
205,41,0.008254659523567734,NO
206,113,0.19259608930229333,YES
207,160,0.010285464625247666,NO
208,828,1.0,YES
209,53,0.008292498707052214,NO
210,293,0.019781999486295464,NO
211,42,0.008254659523567734,NO
212,31,0.008244944833460778,NO
213,36,0.008248256945793828,NO
214,173,0.010637926370137671,NO
215,481,0.9999999834990201,NO
216,611,1.0,YES
217,96,0.1887353572291001,NO
218,34,0.008244944833460778,NO
219,141,0.0092303064263241,NO
220,79,0.008418725520973266,NO
221,77,0.008418725520973266,NO
222,134,0.22231245303884536,NO
223,37,0.008248256945793828,NO
224,127,0.19920204909284897,YES
225,115,0.008963153587457733,NO
226,88,0.009094781896414867,YES
227,44,0.008264159701473246,NO
228,883,0.9964851366614679,YES
229,34,0.008244944833460778,NO
230,1123,1.0,YES
231,411,0.034824503052341596,NO
232,157,0.009686805361554196,NO
233,68,0.008358617647501483,NO
234,59,0.00847122702949329,NO
235,38,0.008248256945793828,NO
236,120,0.19371794660330738,YES
237,144,0.009496268518982977,NO
238,45,0.008264159701473246,NO
239,33,0.008244944833460778,NO
240,80,0.008616255324282989,NO
241,38,0.008248256945793828,NO
242,33,0.008244944833460778,NO
243,57,0.18355219407247664,NO
244,106,0.20144221275616145,NO
245,271,0.014075388078535827,NO
246,57,0.008292498707052214,NO
247,33,0.008244944833460778,NO
248,41,0.008254659523567734,NO
249,141,0.20030696788257055,NO
250,82,0.008453684024349319,NO
251,34,0.18268474247689948,NO
252,177,0.010053613420945575,NO
253,37,0.008248256945793828,NO
254,461,0.04301967026052589,NO
255,84,0.008453684024349319,NO
256,38,0.008248256945793828,NO
257,193,0.010444920736188107,NO
258,295,0.01563446296131688,NO
259,110,0.008734836527463423,NO
260,38,0.008248256945793828,NO
261,313,0.017105951414211857,NO
