ID,Size,Predicted,Actual
0,137,0.3068208469860727,NO
1,252,0.3851753791425774,YES
2,536,0.7583830306004467,YES
3,81,0.28585017704491184,NO
4,168,0.3210301669444646,NO
5,487,0.6857699485368314,NO
6,124,0.3018528625076025,NO
7,536,0.7583830306004467,NO
8,133,0.304286884312635,NO
9,151,0.31219316293529265,NO
10,147,0.31219316293529265,NO
11,114,0.29728020091674084,NO
12,227,0.3619114687185796,NO
13,401,0.5621756952056101,NO
14,204,0.3454497751876708,NO
15,50,0.2776975265626324,NO
16,162,0.3179791139585771,NO
17,61,0.28006172231218307,NO
18,163,0.3210301669444646,NO
19,80,0.28585017704491184,NO
20,78,0.2842687017300898,NO
21,448,0.6274231275285755,YES
22,179,0.3274544163573517,NO
23,136,0.3068208469860727,NO
24,167,0.3210301669444646,NO
25,67,0.2813752466301361,NO
26,137,0.3068208469860727,NO
27,145,0.30945588789125394,YES
28,87,0.2875225799439224,NO
29,85,0.28585017704491184,NO
30,178,0.3274544163573517,NO
31,75,0.2842687017300898,NO
32,208,0.34938980826926563,YES
33,57,0.2788360385480989,NO
34,517,0.7347644564095323,YES
35,570,0.8029654666318526,NO
36,148,0.31219316293529265,NO
37,173,0.3241882010668405,NO
38,147,0.31219316293529265,NO
39,208,0.34938980826926563,YES
40,54,0.2788360385480989,NO
41,38,0.2756795580592847,NO
42,98,0.29114368378513483,NO
43,38,0.2756795580592847,NO
44,94,0.2892867800642838,NO
45,126,0.3018528625076025,NO
46,78,0.2842687017300898,NO
47,110,0.2951394026582051,NO
48,80,0.28585017704491184,NO
49,76,0.2842687017300898,NO
50,41,0.2756795580592847,NO
51,63,0.28006172231218307,NO
52,106,0.2930942328166514,NO
53,72,0.2827773223926101,NO
54,86,0.2875225799439224,NO
55,55,0.2788360385480989,NO
56,63,0.28006172231218307,NO
57,409,0.5701420282242302,NO
58,66,0.2813752466301361,NO
59,50,0.2776975265626324,NO
60,39,0.2756795580592847,NO
61,37,0.2756795580592847,NO
62,80,0.28585017704491184,NO
63,321,0.45355238201038917,NO
64,118,0.29728020091674084,NO
65,605,0.8492300654037865,NO
66,140,0.3068208469860727,NO
67,361,0.5086663767737396,NO
68,362,0.5086663767737396,NO
69,187,0.33431617322124213,NO
70,146,0.30945588789125394,NO
71,186,0.33431617322124213,NO
72,138,0.3068208469860727,NO
73,38,0.2756795580592847,NO
74,37,0.2756795580592847,NO
75,120,0.2995176654760706,NO
76,139,0.3068208469860727,NO
77,852,0.9865923423227488,NO
78,33,0.2747989812769488,NO
79,43,0.27664556048522265,NO
80,99,0.29114368378513483,NO
81,288,0.41714351951735884,NO
82,131,0.304286884312635,NO
83,146,0.30945588789125394,NO
84,208,0.34938980826926563,NO
