ID,Size,Predicted,Actual
0,126,0.016647815083247627,NO
1,22,0.01654356903081351,NO
2,75,0.01603002370384056,NO
3,131,0.016777185273682254,NO
4,223,0.021541957194782607,NO
5,40,0.01624043999559623,NO
6,381,0.054030797493594226,NO
7,46,0.016169281105689784,NO
8,26,0.01647197959337258,NO
9,66,0.01603428721939129,NO
10,95,0.016139207174978944,NO
11,33,0.01634536455418272,NO
12,103,0.016232691870192852,NO
13,219,0.021205275742012693,NO
14,328,0.03717457065615445,NO
15,59,0.016060768121207835,NO
16,376,0.05213272070124123,NO
17,33,0.01634536455418272,NO
18,36,0.01629903482595067,NO
19,44,0.016189088396220547,NO
20,70,0.016028741174433002,NO
21,69,0.016029309807508815,NO
22,31,0.016374967377652264,NO
23,27,0.016449351314110655,NO
24,33,0.01634536455418272,NO
25,27,0.016449351314110655,NO
26,27,0.016449351314110655,NO
27,40,0.01624043999559623,NO
28,60,0.01605777609172102,NO
29,69,0.016029309807508815,NO
30,85,0.016063915563501646,NO
31,85,0.016063915563501646,NO
32,86,0.016070616451134348,NO
33,50,0.016128164194791867,NO
34,125,0.016620820804828806,NO
35,151,0.017387158543944473,NO
36,242,0.023276391308975908,NO
37,47,0.01615680618298858,NO
38,72,0.016027888945745465,NO
39,51,0.016117722363389236,NO
40,51,0.016117722363389236,NO
41,106,0.016273063661744913,NO
42,87,0.016074181855710044,NO
43,80,0.016042832378871982,NO
44,76,0.016031873415486286,NO
45,41,0.016225032083861696,NO
46,63,0.01604282444058317,NO
47,55,0.016085723402181253,NO
48,106,0.016273063661744913,NO
49,72,0.016027888945745465,NO
50,86,0.016070616451134348,NO
51,55,0.016085723402181253,NO
52,135,0.016870709727947485,NO
53,63,0.01604282444058317,NO
54,412,0.0692750002714968,NO
55,533,0.21063692068196135,NO
56,67,0.016033007090119934,NO
57,50,0.016128164194791867,NO
58,39,0.016248365556636522,NO
59,88,0.01608174305399866,NO
60,37,0.016281550096497354,NO
61,74,0.016028743088919262,NO
62,79,0.01603898891117521,NO
63,321,0.03553893599699831,NO
64,631,0.4976468210051811,NO
65,140,0.01702213974644301,NO
66,318,0.034890973641844784,NO
67,356,0.044836424358177876,NO
68,187,0.019017969046515187,NO
69,142,0.017075636758351755,NO
70,186,0.018952299892164334,NO
71,138,0.01695317039457062,NO
72,36,0.01629903482595067,NO
73,37,0.016281550096497354,NO
74,120,0.016519132426718378,NO
75,139,0.016987319505331732,NO
76,852,0.9796951570269263,NO
77,33,0.01634536455418272,NO
78,43,0.016203025222666652,NO
79,99,0.016182365425617927,NO
80,288,0.029170268443694487,NO
81,131,0.016777185273682254,YES
82,146,0.017206442795045553,NO
83,204,0.020075200247488413,NO
84,150,0.017345763080928053,NO
85,38,0.01626466093510522,NO
86,43,0.016203025222666652,NO
87,47,0.01615680618298858,NO
88,32,0.016355081237617655,NO
89,93,0.016122891005285325,NO
90,93,0.016122891005285325,NO
91,282,0.028256172010253756,NO
92,251,0.02421062602162647,NO
93,251,0.02421062602162647,NO
94,130,0.01674731173793031,NO
95,53,0.016103143599575872,NO
96,125,0.016620820804828806,NO
97,50,0.016128164194791867,NO
98,106,0.016273063661744913,NO
99,34,0.016326382673098234,NO
100,66,0.01603428721939129,NO
101,40,0.01624043999559623,NO
102,140,0.01702213974644301,NO
103,84,0.01605778732510598,NO
104,39,0.016248365556636522,NO
105,34,0.016326382673098234,NO
106,38,0.01626466093510522,NO
107,149,0.01730507782627502,NO
108,761,0.99978097551132,NO
109,46,0.016169281105689784,NO
110,204,0.020075200247488413,NO
111,153,0.017450593339212787,NO
112,57,0.01607416786844351,NO
113,57,0.01607416786844351,NO
114,1313,0.9999999538912772,YES
115,170,0.01815004732700373,YES
116,339,0.039857454246297504,YES
117,40,0.01624043999559623,NO
118,90,0.016098589863653763,YES
119,100,0.01619601029456206,NO
120,84,0.01605778732510598,NO
121,702,0.7499015614357805,NO
122,392,0.05893102310135681,YES
123,165,0.017941040266603894,NO
124,159,0.017673862214573493,NO
125,332,0.038183886158232386,YES
126,185,0.018919799830149457,NO
127,68,0.016030873855926758,NO
128,277,0.02756237294723039,NO
129,476,0.12198947177625709,YES
130,101,0.016203052588507717,NO
131,63,0.01604282444058317,NO
132,79,0.01603898891117521,NO
133,79,0.01603898891117521,NO
134,149,0.01730507782627502,NO
135,124,0.01660756071552294,YES
136,119,0.016495268937414112,NO
137,1779,1.0,YES
138,670,0.6406787284392058,YES
139,81,0.01604496799975632,NO
140,64,0.016040831976836662,NO
141,119,0.016495268937414112,NO
142,46,0.016169281105689784,NO
143,81,0.01604496799975632,NO
144,152,0.01740812401985658,NO
145,72,0.016027888945745465,NO
146,88,0.01608174305399866,NO
147,94,0.016128184832275717,NO
148,83,0.016054937746179266,NO
149,74,0.016028743088919262,NO
150,62,0.016047237249682916,NO
151,85,0.016063915563501646,NO
152,82,0.016049667295370166,NO
153,75,0.01603002370384056,NO
154,200,0.019801370346412033,NO
155,81,0.01604496799975632,NO
156,49,0.016133602313004366,NO
157,64,0.016040831976836662,NO
158,87,0.016074181855710044,NO
159,79,0.01603898891117521,YES
160,61,0.016052220959251507,NO
161,101,0.016203052588507717,NO
162,446,0.18166494090824561,YES
163,115,0.8978111400848642,NO
164,123,0.8987398035405222,NO
165,284,0.028615416726463495,YES
166,103,0.016232691870192852,NO
167,29,0.016416558217902045,NO
168,215,0.020882776783357072,YES
169,71,0.01602803061611723,YES
170,36,0.01629903482595067,NO
171,82,0.016049667295370166,NO
172,51,0.016117722363389236,NO
173,173,0.018287149121355147,YES
174,98,0.01616930565691502,NO
175,174,0.01834341059414925,NO
176,1302,0.9999998565260558,YES
177,61,0.016052220959251507,NO
178,47,0.01615680618298858,NO
179,192,0.01932470930999857,NO
180,414,0.07029707203182105,YES
181,104,0.016240470194097408,NO
182,1157,0.9999881026942731,YES
183,323,0.0359370095149607,YES
184,852,0.9796951570269263,YES
185,414,0.07029707203182105,NO
186,45,0.0161757373783645,NO
187,738,0.921462696882195,YES
188,129,0.01671808342766874,NO
189,256,0.024812170117078647,YES
190,44,0.016189088396220547,NO
191,452,0.09787440852601295,NO
192,149,0.01730507782627502,NO
193,112,0.016364987000324845,NO
194,140,0.01702213974644301,YES
195,81,0.01604496799975632,NO
196,274,0.02714492222921004,YES
197,124,0.01660756071552294,NO
198,68,0.016030873855926758,NO
199,192,0.01932470930999857,YES
200,123,0.01658151286328847,NO
201,171,0.01820428304284514,NO
202,490,0.9885314350210906,YES
203,127,0.01667544391061899,NO
204,961,0.9981031551370266,YES
205,147,0.017245371854227736,NO
206,110,0.016335834953651252,NO
207,128,0.01668949720270084,NO
208,93,0.016122891005285325,NO
209,82,0.016049667295370166,NO
210,139,0.016987319505331732,NO
211,59,0.016060768121207835,NO
212,117,0.016460632149581024,NO
213,418,0.14622853733398064,NO
214,77,0.016033011740797,NO
215,70,0.016028741174433002,NO
216,148,0.01728500013047892,NO
217,250,0.024145734491846284,NO
218,661,0.6085659771820215,NO
219,381,0.9685701063350913,YES
220,66,0.01603428721939129,NO
221,120,0.016519132426718378,NO
222,326,0.036616383044809915,NO
223,54,0.016094145590028457,NO
224,972,0.998539176455248,YES
225,185,0.018919799830149457,YES
226,27,0.016449351314110655,NO
227,901,0.9965564305794729,YES
228,167,0.018017942895363775,YES
229,50,0.016128164194791867,NO
230,41,0.016225032083861696,NO
231,113,0.016385176767857182,YES
232,160,0.01772073496038214,NO
233,958,0.9999999999999994,YES
234,53,0.016103143599575872,YES
235,293,0.03003988852348553,NO
236,42,0.016210213770703558,NO
237,31,0.016374967377652264,NO
238,36,0.01629903482595067,NO
239,177,0.018487671788152454,NO
240,482,0.12885773295294276,YES
241,629,0.9999999999997575,YES
242,96,0.016150810074975656,NO
243,34,0.016326382673098234,NO
244,144,0.017149350958263802,NO
245,79,0.01603898891117521,NO
246,77,0.016033011740797,NO
247,134,0.016854713238564634,NO
248,37,0.016281550096497354,NO
249,127,0.01667544391061899,YES
250,115,0.016416599378622623,NO
