ID,Size,Predicted,Actual
0,137,0.13860910221352318,NO
1,252,0.20548838243106535,NO
2,545,0.9087384887236332,NO
3,81,0.12969932299436118,NO
4,168,0.14909785003526585,NO
5,487,0.7248310305000746,NO
6,124,0.1349116816037591,NO
7,536,0.8510184418251604,NO
8,133,0.13860910221352318,NO
9,151,0.14331175961466247,NO
10,147,0.14083028534476683,NO
11,126,0.13663897108040468,NO
12,249,0.28603510496104284,NO
13,410,0.5056301082206823,NO
14,204,0.16897513816538073,NO
15,50,0.12941803892934078,NO
16,184,0.22266556046695635,NO
17,61,0.1291708385144105,NO
18,167,0.14909785003526585,NO
19,80,0.12969932299436118,NO
20,83,0.1875511997650113,NO
21,547,0.9739160279677171,NO
22,198,0.23347260601796602,NO
23,140,0.14083028534476683,NO
24,178,0.5178614133853412,NO
25,67,0.12913527079021805,NO
26,138,0.13860910221352318,NO
27,170,0.21347992023131832,NO
28,87,0.13030130284073044,NO
29,85,0.12969932299436118,NO
30,178,0.15606292727262736,NO
31,75,0.12931118694106597,NO
32,209,0.24603108764119475,NO
33,57,0.1291708385144105,NO
34,521,0.8754109517576021,NO
35,573,0.9130849454888132,NO
36,148,0.14331175961466247,NO
37,173,0.15242634106438566,NO
38,147,0.14083028534476683,NO
39,763,0.9985587407996459,NO
40,209,0.17400393452601393,NO
41,54,0.12941803892934078,NO
42,38,0.1305523646046912,NO
43,98,0.1311196448535035,NO
44,38,0.1305523646046912,NO
45,94,0.13030130284073044,NO
46,126,0.13663897108040468,NO
47,48,0.12987790630541704,NO
48,63,0.1291708385144105,NO
49,237,0.19153815060795146,NO
50,133,0.13860910221352318,NO
51,136,0.13860910221352318,NO
52,176,0.15242634106438566,NO
53,46,0.12987790630541704,NO
54,127,0.13663897108040468,NO
55,148,0.14331175961466247,NO
56,58,0.1291708385144105,NO
57,149,0.14331175961466247,NO
58,74,0.12931118694106597,NO
59,37,0.1305523646046912,NO
60,38,0.1305523646046912,NO
61,39,0.1305523646046912,NO
62,95,0.1311196448535035,NO
63,87,0.13030130284073044,NO
64,70,0.12913527079021805,NO
65,113,0.13342002556545768,NO
66,329,0.3239777392291663,NO
67,83,0.12969932299436118,NO
68,58,0.1291708385144105,NO
69,122,0.1349116816037591,NO
70,359,0.38820177789992305,NO
71,224,0.18526415384262246,NO
72,585,0.9226845579606603,NO
73,365,0.38820177789992305,NO
74,98,0.1311196448535035,NO
75,41,0.1305523646046912,NO
76,65,0.12913527079021805,NO
77,45,0.12987790630541704,NO
78,47,0.12987790630541704,NO
79,185,0.15606292727262736,NO
80,49,0.12987790630541704,NO
81,50,0.12941803892934078,NO
82,97,0.1311196448535035,NO
83,138,0.13860910221352318,NO
84,43,0.12987790630541704,NO
85,42,0.12987790630541704,NO
86,56,0.12941803892934078,NO
87,162,0.14606382086797565,NO
88,153,0.14331175961466247,NO
89,43,0.12987790630541704,NO
90,41,0.1305523646046912,NO
91,104,0.13215777203412335,NO
92,103,0.13215777203412335,NO
93,91,0.13030130284073044,NO
94,100,0.1311196448535035,NO
95,45,0.12987790630541704,NO
96,289,0.24970723557033792,NO
97,31,0.13144423529704,NO
98,111,0.13342002556545768,NO
99,35,0.1305523646046912,NO
100,81,0.12969932299436118,NO
101,27,0.13144423529704,NO
102,28,0.13144423529704,NO
103,29,0.13144423529704,NO
104,561,0.8911502279701692,NO
105,64,0.1291708385144105,NO
106,29,0.13144423529704,NO
107,64,0.1291708385144105,NO
108,37,0.1305523646046912,NO
109,68,0.12913527079021805,NO
110,153,0.14331175961466247,NO
111,72,0.12931118694106597,NO
112,364,0.38820177789992305,NO
113,76,0.12931118694106597,NO
114,158,0.14606382086797565,NO
115,736,0.995610012938571,NO
116,74,0.12931118694106597,NO
117,93,0.13030130284073044,NO
118,22,0.13255724866796825,NO
119,426,0.5490148335316177,NO
120,62,0.1291708385144105,NO
121,58,0.1291708385144105,NO
122,91,0.13030130284073044,NO
123,27,0.13144423529704,NO
124,77,0.12931118694106597,NO
125,703,0.9916321500382345,NO
126,63,0.1291708385144105,NO
127,37,0.1305523646046912,NO
128,64,0.1291708385144105,NO
129,124,0.1349116816037591,NO
130,159,0.14606382086797565,NO
131,36,0.1305523646046912,NO
132,57,0.1291708385144105,NO
133,62,0.1291708385144105,NO
134,129,0.13663897108040468,NO
135,73,0.12931118694106597,NO
136,82,0.12969932299436118,NO
137,74,0.12931118694106597,NO
138,48,0.12987790630541704,NO
139,60,0.1291708385144105,NO
140,70,0.12913527079021805,NO
141,180,0.15606292727262736,NO
142,53,0.12941803892934078,NO
143,450,0.6382058268765354,NO
144,39,0.1305523646046912,NO
145,78,0.12931118694106597,NO
146,64,0.1291708385144105,NO
147,31,0.13144423529704,NO
148,57,0.1291708385144105,NO
149,104,0.13215777203412335,NO
150,32,0.13144423529704,NO
151,226,0.18526415384262246,NO
152,187,0.16002240475331975,NO
153,75,0.12931118694106597,NO
154,28,0.13144423529704,NO
155,52,0.12941803892934078,NO
156,428,0.571162381368865,NO
157,103,0.13215777203412335,NO
158,35,0.1305523646046912,NO
159,98,0.1311196448535035,NO
160,78,0.12931118694106597,NO
161,22,0.13255724866796825,NO
162,75,0.12931118694106597,NO
163,131,0.13663897108040468,NO
164,223,0.18526415384262246,NO
165,40,0.1305523646046912,NO
166,380,0.424760069126721,NO
167,46,0.12987790630541704,NO
168,26,0.13255724866796825,NO
169,66,0.12913527079021805,NO
170,94,0.13030130284073044,NO
171,33,0.13144423529704,NO
172,103,0.13215777203412335,NO
173,218,0.17942669830512067,NO
174,327,0.3098072240456083,NO
175,59,0.1291708385144105,NO
176,377,0.424760069126721,YES
177,33,0.13144423529704,NO
178,36,0.1305523646046912,NO
179,44,0.12987790630541704,NO
180,70,0.12913527079021805,NO
181,69,0.12913527079021805,NO
182,31,0.13144423529704,NO
183,27,0.13144423529704,NO
184,33,0.13144423529704,NO
185,27,0.13144423529704,NO
186,27,0.13144423529704,NO
187,40,0.1305523646046912,NO
188,60,0.1291708385144105,NO
189,69,0.12913527079021805,NO
190,84,0.12969932299436118,NO
191,85,0.12969932299436118,NO
192,85,0.12969932299436118,NO
193,50,0.12941803892934078,NO
194,124,0.1349116816037591,NO
195,150,0.14331175961466247,NO
196,241,0.19827159956180176,NO
197,47,0.12987790630541704,NO
198,72,0.12931118694106597,NO
199,51,0.12941803892934078,NO
200,51,0.12941803892934078,NO
201,106,0.13215777203412335,NO
202,87,0.13030130284073044,NO
203,80,0.12969932299436118,NO
204,76,0.12931118694106597,NO
205,41,0.1305523646046912,NO
206,63,0.1291708385144105,NO
207,55,0.12941803892934078,NO
208,106,0.13215777203412335,NO
209,72,0.12931118694106597,NO
210,86,0.12969932299436118,NO
211,55,0.12941803892934078,NO
212,134,0.13860910221352318,NO
213,63,0.1291708385144105,NO
214,412,0.5271398992043622,NO
215,66,0.12913527079021805,NO
216,50,0.12941803892934078,NO
217,39,0.1305523646046912,NO
218,37,0.1305523646046912,NO
219,80,0.12969932299436118,NO
220,321,0.29637695907871076,NO
221,118,0.1349116816037591,NO
222,605,0.9465035507876571,NO
223,140,0.14083028534476683,NO
224,361,0.38820177789992305,NO
225,362,0.38820177789992305,NO
226,187,0.16002240475331975,NO
227,146,0.14083028534476683,NO
228,186,0.16002240475331975,NO
229,138,0.13860910221352318,NO
230,38,0.1305523646046912,NO
231,37,0.1305523646046912,NO
232,120,0.1349116816037591,NO
233,139,0.13860910221352318,NO
234,852,0.9997567215746056,NO
235,33,0.13144423529704,NO
236,43,0.12987790630541704,NO
237,99,0.1311196448535035,NO
238,288,0.24970723557033792,NO
239,131,0.13663897108040468,NO
240,146,0.14083028534476683,NO
241,208,0.17400393452601393,NO
242,150,0.14331175961466247,NO
243,38,0.1305523646046912,NO
244,43,0.12987790630541704,NO
245,47,0.12987790630541704,NO
246,32,0.13144423529704,NO
247,93,0.13030130284073044,NO
248,113,0.13342002556545768,NO
249,282,0.23969247283964204,NO
250,251,0.20548838243106535,NO
251,251,0.20548838243106535,NO
252,130,0.13663897108040468,NO
253,53,0.12941803892934078,NO
254,125,0.13663897108040468,NO
255,50,0.12941803892934078,NO
256,106,0.13215777203412335,NO
257,34,0.13144423529704,NO
258,66,0.12913527079021805,NO
259,40,0.1305523646046912,NO
260,140,0.14083028534476683,NO
261,84,0.12969932299436118,NO
262,39,0.1305523646046912,NO
263,34,0.13144423529704,NO
264,38,0.1305523646046912,NO
265,149,0.14331175961466247,NO
266,762,0.9977692338765424,NO
267,46,0.12987790630541704,NO
268,204,0.16897513816538073,NO
269,153,0.14331175961466247,NO
270,57,0.1291708385144105,NO
271,210,0.17400393452601393,NO
272,525,0.819365390163276,NO
273,88,0.13030130284073044,NO
274,833,0.9995656455632204,NO
275,457,0.6382058268765354,NO
276,99,0.1311196448535035,NO
277,151,0.14331175961466247,NO
278,57,0.1291708385144105,NO
279,1088,0.999999854190041,YES
280,158,0.14606382086797565,YES
281,318,0.29637695907871076,YES
282,39,0.1305523646046912,NO
283,89,0.13030130284073044,NO
284,100,0.1311196448535035,NO
285,84,0.12969932299436118,NO
286,662,0.9821177649576722,NO
287,68,0.12913527079021805,NO
288,312,0.283671715881613,NO
289,101,0.1311196448535035,NO
290,79,0.1870271419461728,NO
291,79,0.12931118694106597,NO
292,132,0.13663897108040468,NO
293,113,0.13342002556545768,NO
294,1669,1.0,YES
295,840,0.9996412828047614,YES
296,87,0.18836357523078345,NO
297,61,0.18683759341811998,NO
298,98,0.18946712943247804,NO
299,283,0.23969247283964204,NO
300,103,0.13215777203412335,NO
301,29,0.13144423529704,NO
302,194,0.16432075119607045,YES
303,72,0.12931118694106597,NO
304,36,0.1305523646046912,NO
305,72,0.12931118694106597,YES
306,172,0.15242634106438566,YES
307,98,0.1311196448535035,NO
308,170,0.14909785003526585,YES
309,1194,0.9999999946635746,YES
310,61,0.1291708385144105,NO
311,47,0.12987790630541704,NO
312,376,0.424760069126721,YES
313,107,0.13215777203412335,YES
314,1123,0.9999999381578938,YES
315,306,0.27167287021442554,YES
316,820,0.9994750553282619,YES
317,396,0.4640297791693671,NO
318,45,0.12987790630541704,NO
319,516,0.8021195421356687,YES
320,132,0.13663897108040468,NO
321,232,0.19153815060795146,YES
322,37,0.1305523646046912,YES
323,432,0.571162381368865,NO
324,134,0.13860910221352318,NO
325,111,0.13342002556545768,NO
326,132,0.13663897108040468,YES
327,74,0.12931118694106597,YES
328,259,0.21321322876484683,YES
329,68,0.12913527079021805,NO
330,184,0.15606292727262736,YES
331,121,0.1349116816037591,NO
332,170,0.14909785003526585,NO
333,494,0.8192260990488855,YES
334,865,0.9998002215348099,YES
335,143,0.14083028534476683,NO
336,106,0.13215777203412335,NO
337,128,0.13663897108040468,NO
338,92,0.13030130284073044,NO
339,82,0.12969932299436118,NO
340,138,0.13860910221352318,NO
341,117,0.13342002556545768,NO
342,76,0.12931118694106597,NO
343,249,0.20548838243106535,NO
344,612,0.9691054228641252,YES
345,296,0.3528616823939331,YES
346,66,0.12913527079021805,NO
347,120,0.1349116816037591,NO
348,325,0.3098072240456083,YES
349,53,0.12941803892934078,NO
350,974,0.9999946418520695,YES
351,190,0.22785858439806636,YES
352,27,0.13144423529704,NO
353,842,0.9996412828047614,YES
354,164,0.5043999759154038,YES
355,50,0.12941803892934078,NO
356,41,0.1305523646046912,NO
357,110,0.13342002556545768,YES
358,163,0.14909785003526585,NO
359,736,0.995610012938571,YES
360,53,0.12941803892934078,NO
361,274,0.31668253765457566,NO
362,42,0.12987790630541704,NO
363,31,0.13144423529704,NO
364,36,0.1305523646046912,NO
365,176,0.15242634106438566,NO
366,432,0.8855316576973525,YES
367,524,0.8754109517576021,YES
368,92,0.13030130284073044,YES
369,34,0.13144423529704,NO
370,142,0.14083028534476683,NO
371,79,0.12931118694106597,NO
372,77,0.12931118694106597,NO
373,142,0.48772340192173375,YES
374,37,0.1305523646046912,NO
375,124,0.1349116816037591,YES
376,116,0.13342002556545768,NO
377,88,0.13030130284073044,YES
378,44,0.12987790630541704,NO
379,730,0.9992414356282061,YES
380,34,0.13144423529704,NO
381,960,0.9999870016837383,YES
382,381,0.424760069126721,NO
383,150,0.14331175961466247,NO
384,68,0.12913527079021805,NO
385,62,0.1291708385144105,NO
386,45,0.12987790630541704,NO
387,33,0.13144423529704,NO
388,79,0.12931118694106597,NO
389,38,0.1305523646046912,NO
390,33,0.13144423529704,NO
391,69,0.12913527079021805,YES
392,272,0.2302892608233766,NO
393,57,0.1291708385144105,NO
394,33,0.13144423529704,NO
395,129,0.13663897108040468,NO
396,583,0.9226845579606603,NO
397,180,0.15606292727262736,NO
398,33,0.13144423529704,NO
399,333,0.3239777392291663,YES
400,40,0.1305523646046912,NO
401,107,0.13215777203412335,YES
402,177,0.21787766759739188,NO
403,38,0.1305523646046912,NO
404,192,0.16002240475331975,NO
405,294,0.2603591374582999,NO
406,109,0.13215777203412335,NO
407,38,0.1305523646046912,NO
408,312,0.283671715881613,NO
