ID,Size,Predicted,Actual
0,137,0.0,NO
1,252,0.0,NO
2,343,1.0,YES
3,154,0.0,YES
4,37,0.0,NO
5,130,0.0,NO
6,701,1.0,NO
7,250,0.0,YES
8,112,0.0,YES
9,29,0.0,NO
10,63,0.0,NO
11,349,1.0,YES
12,213,0.0,YES
13,65,0.0,NO
14,104,0.0,NO
15,265,1.0,NO
16,496,1.0,NO
17,38,0.0,NO
18,342,1.0,YES
19,70,0.0,NO
20,179,0.0,NO
21,532,0.0,YES
22,35,0.0,NO
23,133,0.0,NO
24,32,0.0,NO
25,343,1.0,NO
26,164,1.0,YES
27,55,0.0,NO
28,126,0.0,NO
29,132,0.0,NO
30,149,0.0,NO
31,210,0.0,NO
32,151,0.0,NO
33,39,0.0,NO
34,45,0.0,NO
35,48,0.0,NO
36,33,0.0,NO
37,98,0.0,NO
38,117,0.0,NO
39,283,1.0,NO
40,251,0.0,NO
41,252,0.0,NO
42,88,0.0,NO
43,83,0.0,NO
44,43,0.0,NO
45,107,0.0,NO
46,35,0.0,NO
47,55,0.0,NO
48,41,0.0,NO
49,99,0.0,NO
50,75,0.0,NO
51,40,0.0,NO
52,35,0.0,NO
53,39,0.0,NO
54,101,0.0,NO
55,508,0.0,NO
56,47,0.0,NO
57,142,0.0,NO
58,106,0.0,NO
59,62,0.0,NO
60,210,0.0,NO
61,525,0.0,NO
62,88,0.0,NO
63,833,0.0,NO
64,457,0.0,NO
65,99,0.0,NO
66,151,0.0,NO
67,52,0.0,NO
68,1069,0.0,YES
69,39,0.0,NO
70,89,0.0,NO
71,100,0.0,NO
72,622,0.0,YES
73,68,0.0,NO
74,312,1.0,NO
75,101,0.0,NO
76,78,0.0,NO
77,81,0.0,NO
78,125,0.0,NO
79,112,0.0,YES
80,1179,0.0,YES
81,505,0.0,YES
82,280,1.0,YES
83,29,0.0,NO
84,194,0.0,YES
85,72,0.0,NO
86,36,0.0,NO
87,72,0.0,NO
88,121,1.0,NO
89,68,0.0,NO
90,131,0.0,NO
91,1069,0.0,YES
92,70,0.0,NO
93,47,0.0,NO
94,271,0.0,YES
95,72,0.0,NO
96,973,0.0,YES
97,482,0.0,YES
98,132,0.0,NO
99,197,0.0,YES
100,37,0.0,NO
101,86,0.0,YES
102,81,0.0,NO
103,132,0.0,NO
104,58,0.0,YES
105,218,0.0,YES
106,147,0.0,NO
107,119,0.0,NO
108,111,0.0,NO
109,668,0.0,YES
110,114,0.0,NO
111,82,0.0,NO
112,99,0.0,NO
113,92,0.0,NO
114,82,0.0,NO
115,128,0.0,YES
116,69,0.0,NO
117,117,0.0,NO
118,78,0.0,YES
119,186,1.0,NO
120,498,0.0,YES
121,277,0.0,NO
122,60,0.0,NO
123,115,0.0,NO
124,310,1.0,NO
125,45,0.0,NO
126,892,0.0,NO
127,188,0.0,YES
128,26,0.0,NO
129,654,1.0,YES
130,408,0.0,YES
131,50,0.0,NO
132,410,0.0,YES
133,41,0.0,NO
134,106,0.0,NO
135,85,0.0,YES
136,34,0.0,NO
137,245,1.0,NO
138,648,0.0,YES
139,53,0.0,NO
140,193,0.0,YES
141,42,0.0,NO
142,31,0.0,NO
143,36,0.0,NO
144,154,0.0,YES
145,68,0.0,NO
146,64,0.0,NO
147,75,0.0,NO
148,44,0.0,NO
149,584,1.0,YES
150,34,0.0,NO
151,650,1.0,YES
152,220,0.0,NO
153,123,1.0,NO
154,67,0.0,NO
155,45,0.0,NO
156,33,0.0,NO
157,59,0.0,YES
158,38,0.0,NO
159,33,0.0,NO
160,69,0.0,YES
161,129,0.0,NO
162,583,1.0,NO
163,180,0.0,NO
164,33,0.0,NO
165,327,1.0,NO
166,40,0.0,NO
167,113,0.0,NO
168,128,0.0,NO
