ID,Size,Predicted,Actual
0,126,0.1351443790139928,NO
1,22,0.0,NO
2,75,0.0,NO
3,131,0.6442403754522524,NO
4,223,0.0,NO
5,40,0.0,NO
6,391,0.0,NO
7,46,0.0,NO
8,26,0.0,NO
9,66,0.0,NO
10,95,0.0,NO
11,33,0.0,NO
12,103,0.28498284907856414,NO
13,219,0.0,NO
14,329,0.0,NO
15,59,0.15289215325910382,NO
16,376,0.241981765642602,NO
17,33,0.0,NO
18,36,0.0,NO
19,44,0.0,NO
20,70,0.0,NO
21,69,0.699339037930712,NO
22,31,0.0,NO
23,27,0.0,NO
24,33,0.0,NO
25,27,0.0,NO
26,27,0.0,NO
27,40,0.0,NO
28,60,0.36224554498584965,NO
29,69,0.699339037930712,NO
30,85,0.17341345674657507,NO
31,85,0.17341345674657507,NO
32,87,0.0,NO
33,53,0.21182364247224697,NO
34,125,0.18561786003266825,NO
35,151,0.0,NO
36,242,0.18311290681006284,NO
37,47,0.0,NO
38,72,0.11140161493468964,NO
39,51,0.0,NO
40,51,0.0,NO
41,110,0.33135750677566184,NO
42,87,0.0,NO
43,80,0.0,NO
44,76,0.0,NO
45,41,0.0882870346653944,NO
46,63,0.0,NO
47,55,0.0,NO
48,106,0.1830645920727573,NO
49,72,0.11140161493468964,NO
50,86,0.3557429142703965,NO
51,55,0.0,NO
52,135,0.0,NO
53,63,0.0,NO
54,412,0.0,NO
55,533,0.0,NO
56,71,0.9595048152640121,NO
57,50,0.191828311882886,NO
58,39,0.0,NO
59,106,0.1830645920727573,NO
60,37,0.24883364507893538,NO
61,92,0.13602451742883928,NO
62,79,0.46650832417729254,NO
63,321,0.0,NO
64,631,0.0,NO
65,140,0.5440663004631815,NO
66,258,1.0,NO
67,384,0.8026561069051834,NO
68,74,0.19091854691729013,NO
69,79,0.46650832417729254,NO
70,187,0.12633107141053762,NO
71,143,0.0,NO
72,186,0.0,NO
73,138,0.0,NO
74,36,0.0,NO
75,37,0.24883364507893538,NO
76,86,0.3557429142703965,NO
77,120,0.4604755295237625,NO
78,139,0.0,NO
79,875,1.0,YES
80,33,0.0,NO
81,43,0.0,NO
82,99,0.0,NO
83,288,0.0,NO
