ID,Size,Predicted,Actual
0,126,0.037508125859038996,NO
1,22,0.0,NO
2,75,0.0,NO
3,131,0.6675284502375379,NO
4,223,0.0,NO
5,40,0.0,NO
6,391,0.25,NO
7,46,0.0,NO
8,26,0.0,NO
9,66,0.0,NO
10,95,0.0,NO
11,33,0.0,NO
12,103,0.173895648358512,NO
13,219,0.0,NO
14,329,0.13,NO
15,59,0.041523576836488,NO
16,376,0.07628394058865856,NO
17,33,0.0,NO
18,36,0.0,NO
19,44,0.0,NO
20,70,0.0,NO
21,69,0.6686818149007354,NO
22,31,0.0,NO
23,27,0.0,NO
24,33,0.0,NO
25,27,0.0,NO
26,27,0.0,NO
27,40,0.0,NO
28,60,0.3156850157472819,NO
29,69,0.6686818149007354,NO
30,85,0.1386503082936246,NO
31,85,0.1386503082936246,NO
32,87,0.0,NO
33,53,0.14339883452676477,NO
34,125,0.03509854146534544,NO
35,151,0.0,NO
36,242,0.09735027227674287,NO
37,47,0.0,NO
38,72,0.045025120093654745,NO
39,51,0.0,NO
40,51,0.0,NO
41,110,0.043886368960626816,NO
42,87,0.0,NO
43,80,0.0,NO
44,76,0.0,NO
45,41,0.01958959720439877,NO
46,63,0.0,NO
47,55,0.0,NO
48,106,0.045722364590082304,NO
49,72,0.045025120093654745,NO
50,86,0.26376600978829,NO
51,55,0.0,NO
52,135,0.0,NO
53,63,0.0,NO
54,412,0.0,NO
55,533,0.0,NO
56,71,0.9676884731788814,NO
57,50,0.06669430278586065,NO
58,39,0.0,NO
59,106,0.045722364590082304,NO
60,37,0.1949026447105741,NO
61,92,0.055132152127198575,NO
62,79,0.4777756464117004,NO
63,321,0.0,NO
64,631,0.0,NO
65,140,0.4013823097259678,NO
66,318,0.10681214047390518,NO
67,356,0.0,NO
68,187,0.06822966479971125,NO
69,143,0.0,NO
70,186,0.0,NO
71,138,0.0,NO
72,36,0.0,NO
73,37,0.1949026447105741,NO
74,120,0.3575224658038677,NO
75,139,0.0,NO
76,885,0.13,NO
77,33,0.0,NO
78,43,0.0,NO
79,99,0.0,NO
80,288,0.0,NO
81,130,0.05888200159335237,NO
82,146,0.38898184260391483,NO
83,204,0.0,NO
84,150,0.0,NO
85,38,0.0,NO
