ID,Size,Predicted,Actual
0,126,0.529,NO
1,22,0.0,NO
2,75,0.19449999999999995,NO
3,131,0.0,NO
4,223,0.98,NO
5,40,0.0,NO
6,381,0.3575,NO
7,46,0.0,NO
8,26,0.0,NO
9,66,0.020412698412698414,NO
10,95,0.4529999999999999,NO
11,33,0.0,NO
12,103,0.0,NO
13,219,0.9640000000000001,NO
14,328,0.8846904761904761,NO
15,59,0.8023730158730159,NO
16,376,0.9116666666666667,NO
17,33,0.0,NO
18,36,0.0,NO
19,44,0.0,NO
20,70,1.0,NO
21,69,1.0,NO
22,31,0.0,NO
23,27,0.0,NO
24,33,0.0,NO
25,27,0.0,NO
26,27,0.0,NO
27,40,0.0,NO
28,60,0.09428571428571429,NO
29,69,1.0,NO
30,85,0.9516666666666667,NO
31,85,0.9516666666666667,NO
32,86,0.3424047619047619,NO
33,50,0.11,NO
34,125,0.5648333333333334,NO
35,151,0.0,NO
36,242,1.0,NO
37,47,0.01,NO
38,72,0.33401010101010103,NO
39,51,0.0,NO
40,51,0.0,NO
41,106,0.0,NO
42,87,0.054333333333333345,NO
43,80,0.03933333333333333,NO
44,76,0.2499325396825397,NO
45,41,0.0,NO
46,63,0.02,NO
47,55,0.0,NO
48,106,0.0,NO
49,72,0.33401010101010103,NO
50,86,0.3424047619047619,NO
51,55,0.0,NO
52,135,0.0,NO
53,63,0.02,NO
54,412,0.15,NO
55,533,0.92,NO
56,67,0.3578333333333334,NO
57,50,0.11,NO
58,39,0.0,NO
59,88,0.03,NO
60,37,0.0,NO
61,74,0.02,NO
62,79,0.5,NO
63,321,0.9684523809523811,NO
64,631,0.82,NO
65,140,0.02,NO
66,318,0.64,NO
67,356,0.56,NO
68,187,0.4907499999999999,NO
69,142,0.42,NO
70,186,0.01,NO
71,138,0.0,NO
72,36,0.0,NO
73,37,0.0,NO
74,120,0.4670238095238095,NO
75,139,0.02,NO
76,852,0.39,NO
77,33,0.0,NO
78,43,0.0,NO
79,99,0.0,NO
80,288,0.92,NO
81,131,0.0,YES
82,146,0.5823015873015872,NO
83,204,0.20201190476190475,NO
84,150,0.0,NO
85,38,0.0,NO
86,43,0.0,NO
87,47,0.01,NO
88,32,0.0,NO
89,93,0.19911111111111113,NO
90,93,0.19911111111111113,NO
91,282,0.35,NO
92,251,0.5055,NO
93,251,0.5055,NO
94,130,0.0,NO
95,53,0.0,NO
96,125,0.5648333333333334,NO
97,50,0.11,NO
98,106,0.0,NO
99,34,0.0,NO
100,66,0.020412698412698414,NO
101,40,0.0,NO
102,140,0.02,NO
103,84,0.1,NO
104,39,0.0,NO
105,34,0.0,NO
106,38,0.0,NO
107,149,0.16747619047619047,NO
108,761,1.0,NO
109,46,0.0,NO
110,204,0.20201190476190475,NO
111,153,0.32,NO
112,57,0.0,NO
113,57,0.0,NO
114,1307,0.95,YES
115,170,0.98,YES
116,339,0.9925,NO
117,40,0.0,NO
118,90,0.015012626262626262,YES
119,100,0.0,NO
120,84,0.1,NO
121,699,1.0,YES
122,389,0.3575,YES
123,165,1.0,NO
124,159,0.5296666666666667,NO
125,305,0.76,YES
126,185,0.01,YES
127,68,0.16058261183261185,NO
128,277,0.97,NO
129,476,0.35,YES
130,101,0.0,NO
131,60,0.09428571428571429,YES
132,79,0.005,NO
133,79,0.005,NO
134,149,0.16747619047619047,NO
135,124,0.7793333333333332,YES
136,119,0.4213571428571429,NO
137,1746,0.95,YES
138,868,0.73,YES
139,87,0.054333333333333345,NO
140,61,0.06,NO
141,101,0.0,NO
142,355,0.67,NO
143,284,0.76,NO
144,103,0.0,NO
145,29,0.0,NO
146,215,0.9640000000000001,YES
147,71,0.33401010101010103,YES
148,36,0.0,NO
149,82,0.016,NO
150,51,0.0,NO
151,173,0.41,YES
152,98,0.0,NO
153,174,0.18,NO
154,1309,0.8,YES
155,61,0.06,NO
156,47,0.01,NO
157,192,0.565,NO
158,422,0.28,YES
159,104,0.0,NO
160,1156,0.93,YES
161,326,0.9566666666666667,YES
162,851,0.39,YES
163,415,0.31,NO
164,45,0.0,NO
165,716,1.0,YES
166,129,0.29997619047619045,NO
167,256,0.8334999999999999,YES
168,37,0.0,YES
169,452,0.71,NO
170,139,0.02,NO
171,112,0.9033333333333333,NO
172,132,0.0,YES
173,81,0.4275,NO
174,274,0.19,YES
175,68,0.16058261183261185,NO
176,190,0.9083333333333333,YES
177,123,0.7718333333333333,NO
178,171,0.98,NO
179,483,0.75,YES
180,127,0.3266428571428572,NO
181,921,0.15,YES
182,143,0.8632380952380952,NO
183,106,0.0,NO
184,123,0.7718333333333333,NO
185,93,0.19911111111111113,NO
186,82,0.016,NO
187,139,0.02,NO
188,59,0.8023730158730159,NO
189,117,0.05333333333333333,NO
190,418,0.26,YES
191,77,0.6545934343434343,NO
192,70,1.0,NO
193,148,0.46299999999999997,NO
194,250,0.8315,NO
195,660,0.99,NO
196,324,0.6,YES
197,66,0.020412698412698414,NO
198,120,0.4670238095238095,NO
199,326,0.9566666666666667,NO
200,54,0.0,NO
201,972,0.67,YES
202,185,0.01,YES
203,27,0.0,NO
204,890,0.13,YES
205,167,0.34,YES
