ID,Size,Predicted,Actual
0,126,0.04488616485595034,NO
1,22,0.0,NO
2,75,0.0,NO
3,131,0.23995155267109725,NO
4,223,0.0,NO
5,40,0.0,NO
6,391,0.37,NO
7,46,0.02486133170534843,NO
8,26,0.0,NO
9,66,0.0,NO
10,95,0.0,NO
11,33,0.0,NO
12,103,0.062046358551599276,NO
13,219,0.0,NO
14,329,0.007083333333333333,NO
15,59,0.03569091108096648,NO
16,376,0.07410420904345051,NO
17,33,0.0,NO
18,36,0.0,NO
19,44,0.0,NO
20,70,0.0,NO
21,69,0.23028864035553562,NO
22,31,0.0,NO
23,27,0.0,NO
24,33,0.0,NO
25,27,0.0,NO
26,27,0.0,NO
27,40,0.0,NO
28,60,0.18201391938653927,NO
29,69,0.23028864035553562,NO
30,85,0.05274462875334274,NO
31,85,0.05274462875334274,NO
32,87,0.0,NO
33,53,0.06101176310548734,NO
34,125,0.031763610805970385,NO
35,151,0.0,NO
36,242,0.07384612909450375,NO
37,47,0.0,NO
38,72,0.024367684098184475,NO
39,51,0.0,NO
40,51,0.0,NO
41,110,0.0795610106751377,NO
42,87,0.0,NO
43,80,0.021513986054322497,NO
44,76,0.0,NO
45,41,0.039951342288306706,NO
46,63,0.0,NO
47,55,0.0,NO
48,106,0.03126132790195613,NO
49,72,0.024367684098184475,NO
50,86,0.08747121104004944,NO
51,55,0.0,NO
52,135,0.0,NO
53,63,0.0,NO
54,412,0.0,NO
55,533,0.0,NO
56,71,0.8259393645570116,NO
57,50,0.029737171973723907,NO
58,39,0.0,NO
59,106,0.03126132790195613,NO
60,37,0.049186460024848555,NO
61,92,0.06727058791181151,NO
62,79,0.13931346231450253,NO
63,321,0.0,NO
64,631,0.0,NO
65,140,0.122403531647356,NO
66,318,0.08310576248656744,NO
67,356,0.0,NO
68,187,0.13848557269486472,NO
69,143,0.0,NO
70,186,0.0,NO
71,138,0.0,NO
72,36,0.0,NO
73,37,0.049186460024848555,NO
74,120,0.1265794090635489,NO
75,139,0.0,NO
76,885,0.11,NO
77,33,0.0,NO
78,43,0.0,NO
79,99,0.0,NO
80,288,0.0,NO
81,130,0.04307337322425659,NO
82,146,0.14575791052450474,NO
83,204,0.0,NO
84,150,0.0,NO
85,38,0.0,NO
86,43,0.0,NO
87,47,0.0,NO
88,32,0.04093952377672417,NO
89,93,0.0,NO
90,93,0.0,NO
91,282,0.11904282593537545,NO
92,251,0.0,NO
93,251,0.0,NO
94,130,0.04307337322425659,NO
95,53,0.06101176310548734,NO
96,125,0.031763610805970385,NO
97,50,0.029737171973723907,NO
98,106,0.03126132790195613,NO
99,34,0.0,NO
100,66,0.0,NO
101,40,0.0,NO
102,140,0.122403531647356,NO
103,84,0.0,NO
104,39,0.0,NO
105,34,0.0,NO
106,38,0.0,NO
107,149,0.06478049771474333,NO
108,761,0.19198899058457886,NO
109,46,0.02486133170534843,NO
110,204,0.0,NO
111,153,0.0,NO
112,57,0.0,NO
113,320,0.0,NO
114,1622,0.81,YES
115,226,0.0,NO
116,430,0.01,NO
117,436,0.19,NO
118,40,0.0,NO
119,135,0.0,NO
120,112,0.131805876098551,NO
121,86,0.08747121104004944,NO
122,798,0.3514166666666667,YES
123,406,0.11,YES
124,177,0.0,NO
125,157,0.0,NO
126,355,0.3615357142857142,NO
127,205,0.0,NO
128,68,0.013025086241916931,NO
129,277,0.0,NO
130,479,0.6149999999999999,NO
131,101,0.0,NO
132,29,0.0,NO
133,68,0.013025086241916931,NO
134,79,0.13931346231450253,NO
135,70,0.0,NO
136,79,0.13931346231450253,NO
137,186,0.0,NO
138,123,0.1423925306267166,NO
139,134,0.06442292863655096,NO
140,2738,0.4,YES
141,694,0.89,YES
142,47,0.0,NO
143,81,0.022043144621345392,NO
144,64,0.0,YES
145,124,0.4770919924794695,YES
146,46,0.02486133170534843,YES
147,100,0.0,YES
148,152,0.0,YES
149,72,0.024367684098184475,YES
