ID,Size,Predicted,Actual
0,126,0.28989351499107585,NO
1,22,0.0,NO
2,75,0.0,NO
3,131,0.639202942112509,NO
4,223,0.0,NO
5,40,0.0,NO
6,391,1.0,NO
7,46,0.06702768989653254,NO
8,26,0.0,NO
9,66,0.0,NO
10,95,0.0,NO
11,33,0.0,NO
12,103,0.2940950737485902,NO
13,219,0.0,NO
14,329,0.15887698609708623,NO
15,59,0.34714220316750705,NO
16,376,0.4915886918882421,NO
17,33,0.0,NO
18,36,0.0,NO
19,44,0.0,NO
20,70,0.0,NO
21,69,0.6796374011273988,NO
22,31,0.0,NO
23,27,0.0,NO
24,33,0.0,NO
25,27,0.0,NO
26,27,0.0,NO
27,40,0.0,NO
28,60,0.6268855624673345,NO
29,69,0.6796374011273988,NO
30,85,0.3046199258229794,NO
31,85,0.3046199258229794,NO
32,87,0.0,NO
33,53,0.3224384973592159,NO
34,125,0.2512699632360587,NO
35,151,0.0,NO
36,242,0.2951985045910518,NO
37,47,0.0,NO
38,72,0.1216250674157495,NO
39,51,0.0,NO
40,51,0.0,NO
41,110,0.4392964287913345,NO
42,87,0.0,NO
43,80,0.1498407322128283,NO
44,76,0.0,NO
45,41,0.0,NO
46,63,0.11092049982802589,NO
47,55,0.0,NO
48,106,0.07539849619626814,NO
49,72,0.1216250674157495,NO
50,86,0.525492726206638,NO
51,55,0.0,NO
52,135,0.0,NO
53,63,0.11092049982802589,NO
54,412,0.0,NO
55,533,0.0,NO
56,71,0.0,NO
57,50,0.14094576852579305,NO
58,39,0.0,NO
59,106,0.07539849619626814,NO
60,37,0.28142771583725235,NO
61,92,0.29128207866151756,NO
62,79,0.23265069662028026,NO
63,321,0.0,NO
64,631,0.0,NO
65,140,0.5211955180994885,NO
66,318,0.47101771459967845,NO
67,356,0.0,NO
68,187,0.4534841937495607,NO
69,143,0.0,NO
70,186,0.0,NO
71,138,0.0,NO
72,36,0.0,NO
73,37,0.28142771583725235,NO
74,120,0.3853435713717191,NO
75,139,0.0,NO
76,885,0.17,NO
77,33,0.0,NO
78,43,0.0,NO
79,99,0.0,NO
80,288,0.0,NO
81,130,0.34314534367922234,NO
82,146,0.6254380171456186,NO
83,204,0.0,NO
84,150,0.0,NO
85,38,0.0,NO
86,43,0.0,NO
87,47,0.0,NO
88,32,0.12026121076153287,NO
89,93,0.07005890469876609,NO
90,93,0.07005890469876609,NO
91,282,0.30300029285767327,NO
92,251,0.0,NO
93,251,0.0,NO
94,130,0.34314534367922234,NO
95,53,0.3224384973592159,NO
96,125,0.2512699632360587,NO
97,50,0.14094576852579305,NO
98,106,0.07539849619626814,NO
99,34,0.0,NO
100,66,0.0,NO
101,40,0.0,NO
102,140,0.5211955180994885,NO
103,84,0.0,NO
104,39,0.0,NO
105,34,0.0,NO
106,38,0.0,NO
107,149,0.3193685267834444,NO
108,761,0.43610535728267785,NO
109,46,0.06702768989653254,NO
110,204,0.0,NO
111,153,0.0,NO
112,57,0.0,NO
113,320,0.0,NO
114,1617,0.45,YES
115,226,0.0,NO
116,430,0.0,NO
117,436,1.0,NO
118,40,0.0,NO
119,135,0.0,NO
120,112,0.41665518450398886,NO
121,86,0.525492726206638,NO
122,798,0.8769583576038684,YES
123,405,0.42,NO
124,177,0.0,NO
125,157,0.0,NO
126,355,0.6378396371945908,NO
127,205,0.0,NO
128,68,0.1470395731469672,NO
129,277,0.0,NO
130,479,0.99,NO
131,101,0.0,NO
132,29,0.0,NO
133,68,0.1470395731469672,NO
134,79,0.23265069662028026,NO
135,70,0.0,NO
136,79,0.23265069662028026,NO
137,186,0.0,NO
138,123,0.5772188201720276,NO
139,134,0.31746529726648504,NO
140,2738,0.15,YES
141,694,0.9990000000000001,YES
142,47,0.0,NO
143,81,0.06623001791519303,NO
144,64,0.0,YES
145,124,0.8165648030948187,YES
146,46,0.06702768989653254,YES
147,100,0.0,YES
148,152,0.2590630917929679,YES
149,72,0.1216250674157495,YES
150,88,0.5312331686758502,YES
151,94,0.5317477850924976,YES
152,83,0.0,YES
153,75,0.0,YES
154,74,0.21684930767752655,YES
155,60,0.6268855624673345,YES
156,122,0.0,YES
157,157,0.0,YES
158,84,0.0,YES
159,82,0.14506006021632512,YES
160,75,0.0,YES
161,200,0.5005518931103297,YES
162,81,0.06623001791519303,YES
163,49,0.0,NO
164,64,0.0,YES
165,90,0.870515114337522,NO
166,144,0.15067478598879744,NO
167,72,0.1216250674157495,YES
168,346,0.95,YES
169,584,0.96,YES
170,115,0.40003622124638255,NO
171,89,0.0,NO
172,123,0.5772188201720276,NO
173,293,0.0,NO
174,120,0.3853435713717191,NO
175,63,0.11092049982802589,NO
176,52,0.005433898305084745,NO
177,67,0.0,NO
178,167,0.9103820423679135,NO
179,29,0.0,NO
180,223,0.0,NO
181,120,0.9822357168406335,NO
182,36,0.0,NO
183,82,0.14506006021632512,NO
184,51,0.0,NO
185,173,0.9591386561869469,NO
186,98,0.0,NO
187,157,0.0,YES
188,184,1.0,NO
189,1499,0.43,YES
190,61,0.4210933042067645,NO
191,47,0.0,NO
192,192,0.580470089954533,NO
193,27,0.0,NO
194,189,0.8661493911897894,NO
195,495,0.02,YES
196,104,0.0,NO
197,799,0.999090909090909,YES
198,965,0.75,YES
199,475,0.33,YES
200,553,0.01,YES
201,49,0.88,NO
202,972,1.0,YES
203,192,0.8921428571428572,YES
204,62,0.5168735454878061,NO
205,296,1.0,NO
206,44,0.0,NO
207,372,1.0,NO
208,244,0.08,NO
209,117,0.21672261593632525,YES
210,156,0.0,NO
211,135,0.0,NO
212,326,0.6496815124275335,NO
213,128,0.5270388760693089,NO
214,68,0.1470395731469672,NO
215,217,0.36340031406253637,NO
216,131,0.639202942112509,NO
217,122,0.0,NO
218,48,0.3628577239417526,NO
219,266,0.0,NO
220,83,0.0,NO
221,83,0.0,NO
222,98,0.0,NO
223,250,0.49833894439841375,NO
224,623,1.0,YES
225,51,0.0,NO
226,169,1.0,NO
227,1145,0.75,YES
228,154,0.7775855768410559,YES
229,189,0.8661493911897894,NO
230,35,0.0,NO
231,119,0.28548426538019167,NO
232,188,0.7932220002220002,YES
233,57,0.0,NO
234,93,0.07005890469876609,NO
235,42,0.0,NO
236,63,0.11092049982802589,NO
237,68,0.1470395731469672,NO
238,66,0.0,NO
239,35,0.0,NO
240,112,0.41665518450398886,NO
241,512,0.8625240037740037,YES
242,39,0.0,NO
243,191,0.9921428571428571,NO
244,68,0.1470395731469672,NO
245,82,0.14506006021632512,NO
246,139,0.0,NO
247,59,0.34714220316750705,NO
248,132,0.6903385699855652,NO
249,418,0.7355922519749584,NO
250,79,0.23265069662028026,YES
251,79,0.23265069662028026,YES
252,152,0.2590630917929679,NO
253,226,0.0,YES
254,72,0.1216250674157495,NO
255,39,0.0,NO
256,81,0.06623001791519303,NO
257,38,0.0,NO
258,42,0.0,NO
259,41,0.0,NO
260,47,0.0,NO
261,43,0.0,NO
262,178,0.0,YES
263,42,0.0,NO
264,91,0.0,NO
265,34,0.0,NO
266,36,0.0,NO
267,62,0.5168735454878061,NO
268,39,0.0,NO
269,36,0.0,NO
270,49,0.0,NO
271,250,0.49833894439841375,YES
272,730,0.735853328130418,YES
273,409,0.4371316738816739,YES
274,66,0.0,NO
275,127,0.7328448459558331,NO
276,326,0.6496815124275335,NO
277,54,0.0,NO
278,983,0.66,NO
279,371,1.0,NO
280,27,0.0,NO
281,1075,1.0,YES
282,201,0.30358068836048707,YES
283,50,0.14094576852579305,NO
284,41,0.0,NO
285,145,0.6696385281385282,NO
286,139,0.0,NO
287,1379,1.0,YES
288,53,0.3224384973592159,NO
289,293,0.0,NO
290,42,0.0,NO
291,31,0.0,NO
292,36,0.0,NO
293,81,0.06623001791519303,NO
294,221,0.853100677100677,NO
295,238,0.0,NO
296,625,0.46,YES
297,975,1.0,NO
298,225,0.0,NO
299,44,0.0,NO
300,136,0.01291245791245791,NO
301,34,0.0,NO
302,180,0.0,YES
303,107,0.5439561575477757,YES
304,107,0.5439561575477757,NO
305,46,0.06702768989653254,NO
306,170,0.9111112925010955,YES
307,37,0.28142771583725235,NO
308,157,0.0,NO
309,144,0.3333360070281603,YES
310,93,0.07005890469876609,NO
311,44,0.0,NO
312,1040,1.0,YES
313,34,0.0,NO
314,1862,1.0,YES
315,713,1.0,YES
316,190,0.8882860667287904,YES
317,68,0.1470395731469672,NO
318,159,0.49133903075469576,YES
319,38,0.0,NO
320,134,0.31746529726648504,NO
321,175,0.016666666666666663,YES
322,64,0.44461363636363627,NO
323,48,0.3628577239417526,NO
324,80,0.1498407322128283,NO
325,38,0.0,NO
326,33,0.0,NO
327,39,0.0,NO
328,57,0.0,NO
329,82,0.14506006021632512,NO
330,90,0.870515114337522,NO
331,143,0.0,NO
332,379,0.0,NO
333,156,0.0,NO
334,43,0.0,NO
335,60,0.6268855624673345,YES
336,45,0.06666997819674324,NO
337,182,0.27,NO
338,147,0.0,NO
339,82,0.14506006021632512,NO
340,34,0.0,NO
341,177,0.0,NO
342,37,0.28142771583725235,NO
343,461,0.47341289794564284,NO
344,84,0.0,NO
345,38,0.0,NO
346,193,0.4165608491600382,NO
347,295,0.0,NO
348,110,0.4392964287913345,NO
349,38,0.0,NO
350,313,0.0,NO
