ID,Size,Predicted,Actual
0,137,0.0,NO
1,252,0.03,NO
2,536,1.0,YES
3,81,0.07110252622782913,NO
4,168,0.787,NO
5,487,0.76,NO
6,124,0.08,NO
7,536,1.0,NO
8,133,0.0,NO
9,151,0.0,NO
10,147,0.020952380952380948,NO
11,126,0.02,NO
12,238,0.41,NO
13,410,0.51,NO
14,204,0.16,NO
15,50,0.0,NO
16,162,0.1,NO
17,61,0.0,NO
18,167,0.42,NO
19,80,0.0,NO
20,78,0.21195853089621242,NO
21,512,0.44,NO
22,190,0.31,NO
23,140,0.08,NO
24,176,0.4,NO
25,67,0.0,NO
26,138,0.57,NO
27,161,0.31,NO
28,87,0.28,NO
29,85,0.5725081585081585,NO
30,178,0.0,NO
31,75,0.0,NO
32,208,0.0,YES
33,57,0.0,NO
34,517,0.25,YES
35,573,0.71,NO
36,148,0.24485317460317457,NO
37,173,0.0,NO
38,147,0.020952380952380948,NO
39,762,0.0,NO
40,209,0.53,NO
41,54,0.08,NO
42,38,0.0,NO
43,98,0.0,NO
44,38,0.0,NO
45,94,0.2536626984126984,NO
46,126,0.0,NO
47,48,0.09,NO
48,63,0.01,NO
49,237,1.0,NO
50,133,0.11,NO
51,136,0.07,NO
52,176,0.07666666666666666,NO
53,46,0.68,NO
54,127,0.26,NO
55,148,0.81,NO
56,58,0.5266666666666666,NO
57,149,0.92,NO
58,74,0.13,NO
59,37,0.0,NO
60,38,0.0,NO
61,39,0.0,NO
62,95,0.0,NO
63,87,0.0,NO
64,70,0.0,NO
65,113,0.32,NO
66,329,1.0,NO
67,83,0.0,NO
68,58,0.5266666666666666,NO
69,122,0.2,NO
70,359,0.67,NO
71,224,1.0,NO
72,585,0.02,NO
73,365,0.715,NO
74,98,0.0,NO
75,41,0.01,NO
76,65,0.0,NO
77,45,0.06,NO
78,47,0.15,NO
79,185,0.04,NO
80,49,0.14,NO
81,50,0.0,NO
82,97,0.0,NO
83,138,0.07,NO
84,43,0.05,NO
85,42,0.03,NO
86,56,0.26,NO
87,162,0.04833333333333333,NO
88,153,0.36,NO
89,43,0.05,NO
90,41,0.01,NO
91,104,0.03,NO
92,103,0.02,NO
93,91,0.0,NO
94,100,0.0,NO
95,45,0.06,NO
96,289,0.59,NO
97,31,0.14583333333333334,NO
98,111,0.73,NO
99,35,0.0,NO
100,81,0.0,NO
101,27,0.07833333333333334,NO
102,28,0.048333333333333346,NO
103,29,0.048333333333333346,NO
104,561,0.06,NO
105,64,0.01,NO
106,29,0.048333333333333346,NO
107,64,0.01,NO
108,37,0.0,NO
109,68,0.0,NO
110,153,0.36,NO
111,72,0.0,NO
112,364,0.635,NO
113,76,0.08,NO
114,158,0.22,NO
115,736,0.54,NO
116,74,0.13,NO
117,93,0.0,NO
118,22,0.125,NO
119,426,0.805,NO
120,62,0.66,NO
121,58,0.5266666666666666,NO
122,91,0.0,NO
123,27,0.07833333333333334,NO
124,77,0.08,NO
125,703,0.0,NO
126,63,0.01,NO
127,37,0.0,NO
128,64,0.01,NO
129,124,0.22,NO
130,159,0.2,NO
131,36,0.0,NO
132,57,0.26,NO
133,62,0.66,NO
134,129,0.14,NO
135,73,0.07,NO
136,82,0.0,NO
137,74,0.13,NO
138,48,0.09,NO
139,60,0.56,NO
140,70,0.0,NO
141,180,0.0,NO
142,53,0.06,NO
143,450,0.385,NO
144,39,0.0,NO
145,78,0.03,NO
146,64,0.01,NO
147,31,0.14583333333333334,NO
148,57,0.26,NO
149,104,0.03,NO
150,32,0.4743333333333332,NO
151,226,1.0,NO
152,187,0.01,NO
153,75,0.13,NO
154,28,0.048333333333333346,NO
155,52,0.18,NO
156,428,0.75,NO
157,103,0.03,NO
158,35,0.0,NO
159,98,0.0,NO
160,78,0.03,NO
161,22,0.125,NO
162,75,0.13,NO
163,131,0.13,NO
164,223,0.56,NO
165,40,0.03,NO
166,380,0.6105,NO
167,46,0.68,NO
168,26,0.105,NO
