ID,Size,Predicted,Actual
0,126,0.02,NO
1,22,0.0,NO
2,75,0.0951190476190476,NO
3,131,0.0,NO
4,223,0.17416666666666664,NO
5,40,0.0,NO
6,381,0.32,NO
7,46,0.0,NO
8,26,0.0,NO
9,66,0.01326190476190476,NO
10,95,0.0,NO
11,33,0.0,NO
12,103,0.0,NO
13,219,0.16,NO
14,328,0.98,NO
15,59,0.5222380952380952,NO
16,376,0.96,NO
17,33,0.0,NO
18,36,0.0,NO
19,44,0.0,NO
20,70,0.04,NO
21,69,1.0,NO
22,31,0.0,NO
23,27,0.0,NO
24,33,0.0,NO
25,27,0.0,NO
26,27,0.0,NO
27,40,0.0,NO
28,60,0.4655277777777777,NO
29,69,1.0,NO
30,85,0.29202164502164507,NO
31,85,0.29202164502164507,NO
32,86,0.3082142857142856,NO
33,50,0.0,NO
34,125,0.68,NO
35,151,0.0,NO
36,242,0.99,NO
37,47,0.02,NO
38,72,0.26832586857586854,NO
39,51,0.0,NO
40,51,0.0,NO
41,106,0.21426820401820404,NO
42,87,0.31084523809523806,NO
43,80,0.0175,NO
44,76,0.17127633477633472,NO
45,41,0.0,NO
46,63,0.051999999999999984,NO
47,55,0.0,NO
48,106,0.21426820401820404,NO
49,72,0.26832586857586854,NO
50,86,0.3082142857142856,NO
51,55,0.0,NO
52,135,0.0,NO
53,63,0.051999999999999984,NO
54,412,0.23539285714285718,NO
55,533,0.89,NO
56,67,0.025080086580086577,NO
57,50,0.0,NO
58,39,0.0,NO
59,88,0.8536507936507937,NO
60,37,0.44995395127748067,NO
61,74,0.2753095238095238,NO
62,79,0.0,NO
63,321,0.14483333333333334,NO
64,631,0.4,NO
65,140,0.11283333333333333,NO
66,318,0.4432857142857143,NO
67,356,0.785,NO
68,187,0.4285,NO
69,142,0.2035,NO
70,186,0.030833333333333338,NO
71,138,0.0,NO
72,36,0.0,NO
73,37,0.44995395127748067,NO
74,120,0.675065073815074,NO
75,139,0.0,NO
76,852,0.11,NO
77,33,0.0,NO
78,43,0.0,NO
79,99,0.0,NO
80,288,0.84,NO
81,131,0.0,YES
82,146,0.38088283938283934,NO
83,204,0.17,NO
84,150,0.02,NO
85,38,0.0,NO
86,43,0.0,NO
87,47,0.02,NO
88,32,0.0,NO
89,93,0.7148300865800866,NO
90,93,0.7148300865800866,NO
91,282,0.02,NO
92,251,0.0,NO
93,251,0.0,NO
94,130,0.0,NO
95,53,0.3230811133311134,NO
96,125,0.68,NO
97,50,0.0,NO
98,106,0.21426820401820404,NO
99,34,0.0,NO
100,66,0.01326190476190476,NO
101,40,0.0,NO
102,140,0.11283333333333333,NO
103,84,0.09837301587301586,NO
104,39,0.0,NO
105,34,0.0,NO
106,38,0.0,NO
107,149,0.02,NO
108,761,0.97,NO
109,46,0.0,NO
110,204,0.17,NO
111,153,0.1,NO
112,57,0.02666666666666666,NO
113,57,0.02666666666666666,NO
114,1313,0.94,YES
115,170,0.9,YES
116,339,0.36,YES
117,40,0.0,NO
118,90,0.23489466089466088,YES
119,100,0.0,NO
120,84,0.09837301587301586,NO
121,702,1.0,NO
122,392,0.3,YES
123,165,0.43,NO
124,159,0.7,NO
125,332,0.966,YES
126,185,0.85,NO
127,68,0.188724025974026,NO
128,277,0.31,NO
129,476,0.92,YES
130,101,0.0,NO
131,63,0.051999999999999984,NO
132,79,0.0,NO
133,79,0.0,NO
134,149,0.02,NO
135,124,0.88,YES
136,119,0.2501830391830392,NO
137,1779,1.0,YES
138,670,1.0,YES
139,81,0.367547619047619,NO
140,64,0.036000000000000004,NO
141,119,0.2501830391830392,NO
142,46,0.0,NO
143,81,0.367547619047619,NO
144,152,0.05,NO
145,72,0.26832586857586854,NO
146,88,0.8536507936507937,NO
147,94,0.6325,NO
148,83,0.0,NO
149,74,0.2753095238095238,NO
150,62,0.4989999999999999,NO
151,85,0.29202164502164507,NO
152,82,0.005,NO
153,75,0.0951190476190476,NO
154,200,0.6168809523809522,NO
155,81,0.367547619047619,NO
156,49,0.09,NO
157,64,0.036000000000000004,NO
158,87,0.31084523809523806,NO
159,79,0.0,YES
160,61,0.06916666666666667,NO
161,101,0.0,NO
162,446,0.89,YES
163,115,0.69,NO
164,123,0.08,NO
165,284,0.22,YES
166,103,0.0,NO
167,29,0.0,NO
168,215,0.32,YES
169,71,0.26832586857586854,YES
170,36,0.0,NO
171,82,0.005,NO
172,51,0.0,NO
173,173,0.68,YES
174,98,0.0,NO
175,174,0.61,NO
176,1302,1.0,YES
177,61,0.06916666666666667,NO
178,47,0.02,NO
179,192,0.34,NO
180,414,0.23539285714285718,YES
181,104,0.0,NO
182,1157,1.0,YES
183,323,0.5581666666666667,YES
184,852,0.11,YES
185,414,0.23539285714285718,NO
186,45,0.0,NO
187,738,0.86,YES
188,129,0.0,NO
189,256,0.28,YES
190,44,0.0,NO
191,452,0.9971428571428571,NO
192,149,0.02,NO
193,112,0.6440079365079364,NO
194,140,0.11283333333333333,YES
195,81,0.367547619047619,NO
196,274,0.31,YES
197,124,0.88,NO
198,68,0.188724025974026,NO
199,192,0.34,YES
200,123,0.9465,NO
201,171,0.34,NO
202,490,0.72,YES
203,127,0.05004761904761904,NO
204,961,0.71,YES
205,147,0.7247287157287157,NO
206,110,0.3481547619047618,NO
207,128,0.3431190476190476,NO
208,93,0.7148300865800866,NO
209,82,0.005,NO
210,139,0.0,NO
211,59,0.5222380952380952,NO
212,117,0.02,NO
213,418,0.97,NO
214,77,0.5184571400821401,NO
215,70,0.04,NO
216,148,0.6097142857142857,NO
217,250,0.64,NO
218,661,1.0,NO
219,381,0.99,YES
220,66,0.01326190476190476,NO
221,120,0.675065073815074,NO
222,326,0.8398333333333333,NO
223,54,0.11390476190476195,NO
224,972,0.26,YES
225,185,0.85,YES
226,27,0.0,NO
227,901,0.96,YES
228,167,0.03,YES
229,50,0.0,NO
230,41,0.0,NO
231,113,0.0,YES
232,160,0.3,NO
233,958,0.76,YES
234,53,0.3230811133311134,YES
235,293,0.31,NO
236,42,0.0,NO
237,31,0.0,NO
238,36,0.0,NO
239,177,0.09,NO
240,482,0.9,YES
241,629,0.97,YES
242,96,0.0,NO
243,34,0.0,NO
244,144,0.7950479797979798,NO
245,79,0.0,NO
246,77,0.5184571400821401,NO
247,134,0.0,NO
248,37,0.44995395127748067,NO
249,127,0.05004761904761904,YES
250,115,0.61,NO
251,93,0.7148300865800866,NO
252,44,0.0,NO
253,884,0.92,YES
254,34,0.0,NO
255,1343,0.89,YES
256,511,0.95,NO
257,164,0.69,NO
258,68,0.188724025974026,NO
259,58,0.2783333333333333,NO
260,38,0.0,NO
261,129,0.0,YES
262,144,0.7950479797979798,NO
263,45,0.0,NO
264,33,0.0,NO
265,80,0.0175,NO
266,38,0.0,NO
267,33,0.0,NO
268,57,0.02666666666666666,NO
269,106,0.21426820401820404,NO
270,374,0.89,NO
271,153,0.58,NO
272,42,0.4,NO
273,45,0.2833333333333333,NO
274,141,0.4006666666666667,NO
275,82,0.005,NO
276,34,0.0,NO
277,177,0.09,NO
278,37,0.44995395127748067,NO
279,461,0.96,NO
280,84,0.09837301587301586,NO
281,38,0.0,NO
282,193,0.76,NO
283,295,0.88,NO
284,110,0.3481547619047618,NO
285,38,0.0,NO
286,313,0.10761904761904764,NO
