ID,Size,Predicted,Actual
0,137,0.0,NO
1,252,1.0,NO
2,536,1.0,YES
3,81,1.0,NO
4,168,1.0,NO
5,487,1.0,NO
6,124,0.0,NO
7,536,1.0,NO
8,133,0.0,NO
9,151,0.0,NO
10,147,1.0,NO
11,126,1.0,NO
12,238,1.0,NO
13,410,1.0,NO
14,204,0.0,NO
15,50,0.0,NO
16,162,1.0,NO
17,61,1.0,NO
18,167,1.0,NO
19,80,1.0,NO
20,78,1.0,NO
21,512,1.0,NO
22,190,1.0,NO
23,140,1.0,NO
24,176,1.0,NO
25,67,1.0,NO
26,138,1.0,NO
27,161,1.0,NO
28,87,1.0,NO
29,85,1.0,NO
30,178,1.0,NO
31,75,0.0,NO
32,208,0.0,YES
33,57,1.0,NO
34,517,1.0,YES
35,573,1.0,NO
36,148,1.0,NO
37,173,1.0,NO
38,147,1.0,NO
39,762,1.0,NO
40,209,1.0,NO
41,54,0.0,NO
42,38,0.0,NO
43,98,0.0,NO
44,38,0.0,NO
45,94,1.0,NO
46,126,1.0,NO
47,48,1.0,NO
48,63,1.0,NO
49,237,1.0,NO
50,133,1.0,NO
51,136,1.0,NO
52,176,1.0,NO
53,46,1.0,NO
54,127,1.0,NO
55,148,1.0,NO
56,58,1.0,NO
57,149,1.0,NO
58,74,1.0,NO
59,37,0.0,NO
60,38,0.0,NO
61,39,0.0,NO
62,95,1.0,NO
63,87,0.0,NO
64,70,1.0,NO
65,113,1.0,NO
66,329,1.0,NO
67,83,1.0,NO
68,58,1.0,NO
69,122,1.0,NO
70,359,1.0,NO
71,224,1.0,NO
72,585,1.0,NO
73,365,1.0,NO
74,98,1.0,NO
75,41,0.0,NO
76,65,1.0,NO
77,45,1.0,NO
78,47,1.0,NO
79,185,1.0,NO
80,49,1.0,NO
81,50,1.0,NO
82,97,1.0,NO
83,138,1.0,NO
84,43,1.0,NO
85,42,1.0,NO
86,56,1.0,NO
87,162,1.0,NO
88,153,1.0,NO
89,43,1.0,NO
90,41,0.0,NO
91,104,1.0,NO
92,103,1.0,NO
93,91,1.0,NO
94,100,1.0,NO
95,45,1.0,NO
96,289,1.0,NO
97,31,1.0,NO
98,111,1.0,NO
99,35,0.0,NO
100,81,1.0,NO
101,27,1.0,NO
102,28,1.0,NO
103,29,1.0,NO
104,561,1.0,NO
105,64,1.0,NO
106,29,1.0,NO
107,64,1.0,NO
108,37,0.0,NO
109,68,1.0,NO
110,153,1.0,NO
111,72,1.0,NO
112,364,1.0,NO
113,76,1.0,NO
114,158,1.0,NO
115,736,1.0,NO
116,74,1.0,NO
117,93,1.0,NO
118,22,1.0,NO
119,426,1.0,NO
120,62,1.0,NO
121,58,1.0,NO
122,91,1.0,NO
123,27,1.0,NO
124,77,1.0,NO
125,703,1.0,NO
126,63,1.0,NO
127,37,0.0,NO
128,64,1.0,NO
129,124,1.0,NO
130,159,1.0,NO
131,36,0.0,NO
132,57,1.0,NO
133,62,1.0,NO
134,129,1.0,NO
135,73,1.0,NO
136,82,1.0,NO
137,74,1.0,NO
138,48,1.0,NO
139,60,1.0,NO
140,70,1.0,NO
141,180,1.0,NO
142,53,1.0,NO
143,450,1.0,NO
144,39,0.0,NO
145,78,1.0,NO
146,64,1.0,NO
147,31,1.0,NO
148,57,1.0,NO
149,104,1.0,NO
150,32,1.0,NO
151,226,1.0,NO
152,187,1.0,NO
153,75,1.0,NO
154,28,1.0,NO
155,52,1.0,NO
156,428,1.0,NO
157,103,1.0,NO
158,35,0.0,NO
159,98,1.0,NO
160,78,1.0,NO
161,22,1.0,NO
162,75,1.0,NO
163,131,1.0,NO
164,223,1.0,NO
165,40,0.0,NO
166,380,1.0,NO
167,46,1.0,NO
168,26,1.0,NO
169,66,1.0,NO
170,94,1.0,NO
171,33,0.0,NO
172,103,1.0,NO
173,218,1.0,NO
174,327,1.0,NO
175,59,1.0,NO
176,377,1.0,YES
177,33,0.0,NO
178,36,0.0,NO
179,44,1.0,NO
180,70,1.0,NO
181,69,1.0,NO
182,31,1.0,NO
183,27,1.0,NO
184,33,0.0,NO
185,27,1.0,NO
186,27,1.0,NO
187,40,0.0,NO
188,60,1.0,NO
189,69,1.0,NO
190,84,1.0,NO
191,85,1.0,NO
192,85,0.0,NO
193,50,1.0,NO
194,124,1.0,NO
195,150,1.0,NO
196,241,1.0,NO
197,47,1.0,NO
198,72,1.0,NO
199,51,1.0,NO
200,51,1.0,NO
201,106,1.0,NO
202,87,0.0,NO
203,80,1.0,NO
204,76,0.0,NO
205,41,0.0,NO
206,63,1.0,NO
207,55,1.0,NO
208,106,0.0,NO
209,72,0.0,NO
210,86,1.0,NO
211,55,0.0,NO
212,134,1.0,NO
213,63,1.0,NO
214,412,1.0,NO
215,66,1.0,NO
216,50,0.0,NO
217,39,0.0,NO
218,37,0.0,NO
219,80,1.0,NO
220,321,1.0,NO
221,118,1.0,NO
222,605,1.0,NO
223,140,0.0,NO
224,361,1.0,NO
225,362,1.0,NO
226,187,1.0,NO
227,146,0.0,NO
228,186,1.0,NO
229,138,0.0,NO
230,38,0.0,NO
231,37,0.0,NO
232,120,1.0,NO
233,139,0.0,NO
234,852,1.0,NO
235,33,0.0,NO
236,43,0.0,NO
237,99,0.0,NO
238,288,1.0,NO
239,131,0.0,NO
240,146,0.0,NO
241,208,0.0,NO
242,150,0.0,NO
243,38,0.0,NO
244,43,0.0,NO
245,47,1.0,NO
246,32,0.0,NO
247,93,1.0,NO
248,113,1.0,NO
249,282,1.0,NO
250,251,0.0,NO
251,251,0.0,NO
252,130,0.0,NO
253,53,0.0,NO
254,125,0.0,NO
255,50,0.0,NO
256,106,0.0,NO
257,34,0.0,NO
258,66,1.0,NO
259,40,0.0,NO
260,140,0.0,NO
261,84,1.0,NO
262,39,0.0,NO
263,34,0.0,NO
264,38,0.0,NO
265,149,1.0,NO
266,762,1.0,NO
267,46,1.0,NO
268,204,0.0,NO
269,153,1.0,NO
270,57,1.0,NO
271,210,0.0,NO
272,525,1.0,NO
273,88,1.0,NO
274,833,1.0,NO
275,457,1.0,NO
276,99,0.0,NO
277,151,0.0,NO
278,57,1.0,NO
279,1132,1.0,YES
280,158,1.0,YES
281,318,1.0,YES
282,39,0.0,NO
283,89,1.0,NO
284,100,0.0,NO
285,84,1.0,NO
286,662,1.0,NO
287,68,1.0,NO
288,312,1.0,NO
289,101,0.0,NO
290,78,1.0,YES
291,79,0.0,NO
292,132,1.0,NO
293,113,1.0,NO
294,1653,1.0,YES
295,840,1.0,YES
296,283,1.0,NO
297,103,0.0,NO
298,29,0.0,NO
299,194,1.0,YES
300,72,0.0,NO
301,36,0.0,NO
302,72,0.0,YES
303,172,1.0,YES
304,98,0.0,NO
305,170,1.0,YES
306,1194,1.0,YES
307,61,1.0,NO
308,47,1.0,NO
309,376,1.0,YES
310,107,0.0,YES
311,1123,1.0,YES
312,306,1.0,YES
313,820,1.0,YES
314,396,1.0,NO
315,45,0.0,NO
316,516,1.0,YES
317,132,0.0,NO
318,232,1.0,YES
319,37,0.0,NO
320,432,1.0,NO
321,134,1.0,NO
322,111,1.0,NO
323,132,0.0,YES
324,74,0.0,NO
325,259,1.0,YES
326,68,1.0,NO
327,184,1.0,YES
328,121,1.0,NO
329,170,1.0,NO
330,465,1.0,YES
331,865,1.0,YES
332,143,1.0,NO
333,106,0.0,NO
334,128,1.0,NO
335,92,1.0,NO
336,82,0.0,NO
337,138,1.0,NO
338,117,1.0,NO
339,76,0.0,NO
340,249,1.0,NO
341,609,1.0,YES
342,296,1.0,YES
343,66,1.0,NO
344,120,1.0,NO
345,325,0.0,NO
346,53,0.0,NO
347,968,1.0,YES
348,190,1.0,YES
349,27,0.0,NO
350,842,1.0,YES
351,168,1.0,YES
352,50,0.0,NO
353,41,0.0,NO
354,110,1.0,YES
355,163,1.0,NO
356,736,1.0,YES
357,53,0.0,NO
358,274,1.0,NO
359,42,0.0,NO
360,31,0.0,NO
361,36,0.0,NO
362,176,1.0,NO
363,377,1.0,YES
364,529,1.0,YES
365,92,1.0,NO
366,34,0.0,NO
367,142,0.0,NO
368,79,1.0,NO
369,77,1.0,NO
370,146,0.0,YES
371,37,0.0,NO
372,124,1.0,YES
373,116,1.0,NO
374,88,1.0,NO
375,44,0.0,NO
376,715,1.0,YES
377,34,0.0,NO
378,960,1.0,YES
379,381,1.0,NO
380,150,1.0,NO
381,68,1.0,NO
382,62,1.0,NO
383,45,0.0,NO
384,33,0.0,NO
385,79,0.0,NO
386,38,0.0,NO
387,33,0.0,NO
388,69,0.0,YES
389,272,1.0,NO
390,57,1.0,NO
391,33,0.0,NO
392,129,0.0,NO
393,583,1.0,NO
394,180,1.0,NO
395,33,0.0,NO
396,333,0.0,YES
397,40,0.0,NO
398,107,0.0,YES
399,146,0.0,YES
400,38,0.0,NO
401,192,1.0,NO
402,294,1.0,NO
403,109,0.0,NO
404,38,0.0,NO
405,312,1.0,NO
