ID,Size,Predicted,Actual
0,126,0.0,NO
1,22,0.0,NO
2,75,0.0,NO
3,131,0.2612921583295586,NO
4,223,0.0,NO
5,40,0.0,NO
6,381,0.177461268822337,YES
7,46,0.03217706287662781,NO
8,26,0.0,NO
9,66,0.0,NO
10,95,0.0,NO
11,33,0.0,NO
12,103,0.07428987189880361,NO
13,219,0.0,NO
14,328,0.0,YES
15,59,0.04212709281819356,NO
16,376,0.11236812207400446,NO
17,33,0.0,NO
18,36,0.0,NO
19,44,0.0,NO
20,70,0.0,NO
21,69,0.27462924735425653,NO
22,31,0.0,NO
23,27,0.0,NO
24,33,0.0,NO
25,27,0.0,NO
26,27,0.0,NO
27,40,0.0,NO
28,60,0.14094562815358513,NO
29,69,0.27462924735425653,NO
30,85,0.0527618478544891,NO
31,85,0.0527618478544891,NO
32,86,0.036358003275613573,YES
33,50,0.0,YES
34,125,0.037311421665753304,NO
35,151,0.0,NO
36,242,0.11587788600288605,NO
37,47,0.0,NO
38,72,0.033961452850080016,NO
39,51,0.0,NO
40,51,0.0,NO
41,106,0.0,YES
42,87,0.0,NO
43,80,0.02388571317172305,NO
44,76,0.0,NO
45,41,0.0,NO
46,63,0.0,NO
47,55,0.0,NO
48,106,0.0,NO
49,72,0.033961452850080016,NO
50,86,0.036358003275613573,NO
51,55,0.0,NO
52,135,0.0,NO
53,63,0.0,NO
54,412,0.0,NO
55,533,0.0,NO
56,71,0.0,NO
57,50,0.01,NO
58,39,0.0,NO
59,106,0.0,NO
60,37,0.05275643592677346,NO
61,92,0.07444873890971951,NO
62,79,0.01,NO
63,321,0.19,NO
64,631,0.46,NO
65,140,0.36,NO
66,318,0.17,NO
67,356,0.02,NO
68,187,0.72,NO
69,143,0.38,NO
70,186,0.66,NO
71,138,0.37,NO
72,36,0.0,NO
73,37,0.05275643592677346,NO
74,120,0.54,NO
75,139,0.37,NO
76,885,0.72,NO
77,33,0.0,NO
78,43,0.0,NO
79,99,0.0,NO
80,288,0.21,NO
81,126,0.0,YES
82,146,0.15514420086898295,NO
83,204,0.0,NO
84,150,0.0,NO
85,38,0.0,NO
86,43,0.0,NO
87,47,0.0,NO
88,32,0.03984323309522453,NO
89,93,0.0,NO
90,93,0.0,NO
91,282,0.0,YES
92,251,0.0,NO
93,251,0.0,NO
94,130,0.05677605508464307,NO
95,53,0.07360478853315218,NO
96,125,0.037311421665753304,NO
97,50,0.0,NO
98,106,0.0,NO
99,34,0.0,NO
100,66,0.0,NO
101,40,0.0,NO
102,140,0.0,NO
103,84,0.0,NO
104,39,0.0,NO
105,34,0.0,NO
106,38,0.0,NO
107,149,0.07518287318306241,NO
108,761,0.30071768728347675,NO
109,46,0.03217706287662781,NO
110,204,0.0,NO
111,153,0.0,NO
112,57,0.0,NO
113,320,0.03,NO
114,1553,0.84,YES
115,174,0.0,YES
116,432,0.13,NO
117,40,0.0,NO
118,92,0.07444873890971951,NO
119,112,0.025659048639698794,NO
120,86,0.036358003275613573,NO
121,798,0.26,YES
122,396,0.006666666666666666,YES
123,177,0.0,NO
124,167,0.0,YES
125,351,0.7861666666666667,NO
126,205,0.0,NO
127,68,0.01912893682713816,NO
128,277,0.0,NO
129,476,0.0,YES
130,101,0.0,NO
131,29,0.0,NO
132,68,0.01912893682713816,NO
133,79,0.0,NO
134,70,0.0,NO
135,79,0.0,NO
136,186,0.0,NO
137,124,0.13637064946965194,YES
138,130,0.0014090909090909093,NO
139,2596,0.47,YES
140,682,0.63,YES
141,47,0.0,NO
142,81,0.022555110590202352,NO
143,64,0.0,YES
144,124,0.01537037037037037,YES
145,46,0.03217706287662781,YES
146,89,0.0,YES
147,152,0.0,YES
148,72,0.033961452850080016,YES
149,88,0.018101722128227297,YES
150,94,0.07369785868586176,YES
151,83,0.0,YES
152,75,0.0,YES
153,74,0.040580349603691356,YES
154,60,0.034710144927536234,YES
155,122,0.07,YES
156,157,0.0,YES
157,84,0.31,YES
158,82,0.0,YES
159,75,0.0,YES
160,200,0.0,YES
161,81,0.022555110590202352,YES
162,49,0.0,NO
163,64,0.0,YES
164,90,1.0,NO
165,79,0.0,YES
166,72,3.9473684210526315E-4,YES
167,350,0.1,YES
168,584,0.58,YES
169,115,0.002105263157894737,NO
170,89,0.0,NO
171,59,0.04212709281819356,NO
172,123,0.0,NO
173,293,0.0,NO
174,120,0.1384313363119604,NO
