ID,Size,Predicted,Actual
0,126,0.2159269343529756,NO
1,22,0.0,NO
2,75,0.0,NO
3,131,0.6512286285844009,NO
4,223,0.0,NO
5,40,0.0,NO
6,391,0.21,NO
7,46,0.1216676076891096,NO
8,26,0.0,NO
9,66,0.0,NO
10,95,0.0,NO
11,33,0.0,NO
12,103,0.23709518573822552,NO
13,219,0.0,NO
14,329,0.18774105411857803,NO
15,59,0.24276051479633842,NO
16,376,0.6042423225489184,NO
17,33,0.0,NO
18,36,0.0,NO
19,44,0.0,NO
20,70,0.0,NO
21,69,0.6136883552368151,NO
22,31,0.0,NO
23,27,0.0,NO
24,33,0.0,NO
25,27,0.0,NO
26,27,0.0,NO
27,40,0.0,NO
28,60,0.48707263853733307,NO
29,69,0.6136883552368151,NO
30,85,0.27531409836714776,NO
31,85,0.27531409836714776,NO
32,87,0.0,NO
33,53,0.2998631275304886,NO
34,125,0.2662145100125546,NO
35,151,0.0,NO
36,242,0.30377825211319687,NO
37,47,0.0,NO
38,72,0.1444264038754865,NO
39,51,0.0,NO
40,51,0.0,NO
41,110,0.279400235256568,NO
42,87,0.0,NO
43,80,0.2424769403465207,NO
44,76,0.0,NO
45,41,0.22764676749607965,NO
46,63,0.1253858152511571,NO
47,55,0.0,NO
48,106,0.10006107347276968,NO
49,72,0.1444264038754865,NO
50,86,0.4429631261054995,NO
51,55,0.0,NO
52,135,0.0,NO
53,63,0.1253858152511571,NO
54,412,0.0,NO
55,533,0.0,NO
56,71,0.9681379198594782,NO
57,50,0.13904559893493923,NO
58,39,0.0,NO
59,106,0.10006107347276968,NO
60,37,0.38403390212709604,NO
61,92,0.3263060035079101,NO
62,79,0.4717263871567913,NO
63,321,0.0,NO
64,631,0.0,NO
65,140,0.5911825155592253,NO
66,318,0.6355042971379432,NO
67,356,0.0,NO
68,187,0.41616812227164707,NO
69,143,0.0,NO
70,186,0.0,NO
71,138,0.0,NO
72,36,0.0,NO
73,37,0.38403390212709604,NO
74,120,0.5076989881710587,NO
75,139,0.0,NO
76,885,0.02,NO
77,33,0.0,NO
78,43,0.0,NO
79,99,0.0,NO
80,288,0.0,NO
81,130,0.22530434239470187,NO
82,146,0.41170568203646146,NO
83,204,0.0,NO
84,150,0.0,NO
85,38,0.0,NO
86,43,0.0,NO
87,47,0.0,NO
88,32,0.19246533519338477,NO
89,93,0.1711769114232038,NO
90,93,0.1711769114232038,NO
91,282,0.5570029802495166,NO
92,251,0.0,NO
93,251,0.0,NO
94,130,0.22530434239470187,NO
95,53,0.2998631275304886,NO
96,125,0.2662145100125546,NO
97,50,0.13904559893493923,NO
98,106,0.10006107347276968,NO
99,34,0.0,NO
100,66,0.0,NO
101,40,0.0,NO
102,140,0.5911825155592253,NO
103,84,0.0,NO
104,39,0.0,NO
105,34,0.0,NO
106,38,0.0,NO
107,149,0.3131804589019794,NO
108,761,0.45065205363217287,NO
109,46,0.1216676076891096,NO
110,204,0.0,NO
111,153,0.0,NO
112,57,0.0,NO
113,320,0.0,NO
114,1622,0.87,YES
115,226,0.0,NO
116,430,0.0,NO
117,436,1.0,NO
118,40,0.0,NO
119,135,0.0,NO
120,112,0.3240300343162688,NO
121,86,0.4429631261054995,NO
122,798,0.8433960120249689,YES
123,406,1.0,YES
124,177,0.0,NO
125,157,0.0,NO
126,355,0.6242637582575663,NO
127,205,0.0,NO
128,68,0.08761232491339059,NO
129,277,0.0,NO
130,479,1.0,NO
131,101,0.0,NO
132,29,0.0,NO
133,68,0.08761232491339059,NO
134,79,0.4717263871567913,NO
135,70,0.0,NO
136,79,0.4717263871567913,NO
137,186,0.0,NO
138,123,0.4995353669258379,NO
139,134,0.4303936380298059,NO
140,2738,1.0,YES
141,694,1.0,YES
142,47,0.0,NO
143,81,0.09142122809550995,NO
144,64,0.0,YES
145,124,0.7853004483470243,YES
146,46,0.1216676076891096,YES
147,100,0.0,YES
148,152,0.32015193473884196,YES
149,72,0.1444264038754865,YES
150,88,0.5128914580300958,YES
151,94,0.44705726904047133,YES
152,83,0.0,YES
153,75,0.0,YES
154,74,0.10773165265166817,YES
155,60,0.48707263853733307,YES
156,122,0.0,YES
157,157,0.0,YES
158,84,0.0,YES
159,82,0.1354847746155637,YES
160,75,0.0,YES
161,200,0.34187511821683647,YES
162,81,0.09142122809550995,YES
163,49,0.0,NO
164,64,0.0,YES
165,90,0.8982618352457665,NO
166,144,0.21198305401643924,NO
167,72,0.1444264038754865,YES
168,346,1.0,YES
169,591,1.0,YES
170,115,0.45629128542460434,NO
171,89,0.0,NO
172,123,0.4995353669258379,NO
173,293,0.0,NO
174,120,0.5076989881710587,NO
175,63,0.1253858152511571,NO
176,52,0.0,NO
177,67,0.0,NO
178,167,0.8596470225952854,NO
179,29,0.0,NO
180,223,0.0,NO
181,120,0.5076989881710587,NO
182,36,0.0,NO
183,82,0.1354847746155637,NO
184,51,0.0,NO
185,173,0.9257096560614559,NO
186,98,0.0,NO
187,157,0.0,YES
188,184,0.84525688669103,NO
189,1499,0.6593210123210124,YES
190,61,0.24368454907760495,NO
191,47,0.0,NO
192,192,0.5290537894311708,NO
193,27,0.0,NO
194,189,0.8666952680556423,NO
195,495,0.09,YES
196,104,0.0,NO
197,799,0.7018377724502207,YES
198,965,0.04,YES
199,475,0.71,YES
200,553,0.07,YES
201,49,0.0,NO
202,972,0.983836134660929,YES
203,192,0.5290537894311708,YES
204,62,0.4448581510300459,NO
205,296,0.9417680147586444,NO
206,44,0.0,NO
207,372,0.0,NO
208,244,0.01,NO
209,117,0.35711525127043403,YES
210,156,0.0,NO
211,135,0.0,NO
212,326,0.5989827868430734,NO
213,128,0.504353207603933,NO
214,68,0.08761232491339059,NO
215,217,0.9027797032378594,NO
216,131,0.6512286285844009,NO
217,122,0.0,NO
218,48,0.3582120600711983,NO
219,266,0.05,NO
220,83,0.0,NO
221,83,0.0,NO
222,98,0.0,NO
223,250,0.5607770370020606,NO
224,623,0.28,YES
225,51,0.0,NO
226,169,0.7123835951376065,NO
227,1145,0.18,YES
228,165,0.31,NO
229,189,0.8666952680556423,NO
230,35,0.0,NO
231,128,0.504353207603933,NO
232,188,0.7293309860074565,YES
233,57,0.0,NO
234,93,0.1711769114232038,NO
235,42,0.0,NO
236,63,0.1253858152511571,NO
237,68,0.08761232491339059,NO
238,66,0.0,NO
239,35,0.0,NO
240,112,0.3240300343162688,NO
241,512,0.8195989843489843,YES
242,39,0.0,NO
243,191,0.5290537894311708,NO
244,68,0.08761232491339059,NO
245,82,0.1354847746155637,NO
246,139,0.0,NO
247,59,0.24276051479633842,NO
248,132,0.7028843263135209,NO
249,418,0.7927778577130414,NO
250,79,0.010314102564102564,YES
251,79,0.4717263871567913,YES
252,152,0.32015193473884196,NO
253,226,0.0,YES
254,72,0.1444264038754865,YES
255,39,0.0,YES
256,81,0.09142122809550995,NO
257,38,0.0,YES
258,42,0.0,YES
259,41,0.22764676749607965,YES
260,47,0.0,YES
261,43,0.0,NO
262,178,0.0,YES
263,42,0.0,YES
264,91,0.0,YES
265,34,0.0,NO
266,36,0.0,NO
267,62,0.4448581510300459,YES
268,39,0.0,YES
269,36,0.0,NO
270,49,0.0,YES
271,250,0.5607770370020606,YES
272,730,0.6816973304473305,YES
273,409,0.4,YES
274,66,0.0,NO
275,127,0.7264285071838551,NO
276,326,0.5989827868430734,NO
277,54,0.0,NO
278,983,1.0,NO
279,371,0.0,NO
280,27,0.0,NO
281,1075,1.0,YES
282,201,0.029730491730491734,YES
283,50,0.13904559893493923,NO
284,41,0.22764676749607965,NO
285,145,0.5115925823402603,NO
286,139,0.0,NO
287,1379,0.7506909756909758,YES
288,53,0.2998631275304886,NO
289,293,0.0,NO
290,42,0.0,NO
291,31,0.0,NO
292,36,0.0,NO
293,81,0.09142122809550995,NO
294,221,0.5630354367854367,NO
295,238,0.0,NO
296,625,0.36,YES
297,975,1.0,NO
298,225,0.0,NO
299,44,0.0,NO
300,136,0.4904617630902123,NO
301,34,0.0,NO
302,180,0.0,YES
303,112,0.11179654135594216,NO
304,107,0.5668830618909633,NO
305,46,0.1216676076891096,NO
306,170,0.8567774372615059,YES
307,37,0.38403390212709604,NO
308,157,0.0,NO
309,144,0.21198305401643924,YES
310,93,0.1711769114232038,NO
311,44,0.0,NO
312,1040,0.6744787157287158,YES
313,34,0.0,NO
314,1877,1.0,YES
315,713,0.91,YES
316,190,0.8961679755438021,YES
317,68,0.08761232491339059,NO
318,159,0.5879520800205218,YES
319,38,0.0,NO
320,134,0.4303936380298059,NO
321,175,0.04379376750700279,YES
322,64,0.0,NO
323,48,0.3582120600711983,NO
324,80,0.2424769403465207,NO
325,38,0.0,NO
326,33,0.0,NO
327,39,0.0,NO
328,57,0.0,NO
329,82,0.1354847746155637,NO
330,90,0.8982618352457665,NO
331,143,0.0,NO
332,379,0.0,NO
333,156,0.0,NO
334,43,0.0,NO
335,60,0.48707263853733307,YES
336,45,0.34465561086705454,NO
337,182,1.0,NO
338,147,0.0,NO
339,82,0.1354847746155637,NO
340,34,0.0,NO
341,177,0.0,NO
342,37,0.38403390212709604,NO
343,461,0.45695442009477055,NO
344,84,0.0,NO
345,38,0.0,NO
346,193,0.49710364550320674,NO
347,295,0.01,NO
348,110,0.279400235256568,NO
349,38,0.0,NO
350,313,0.0,NO
