ID,Size,Predicted,Actual
0,126,0.24495261437908492,NO
1,22,0.0,NO
2,75,0.0,NO
3,131,0.5783884514178633,NO
4,223,0.0,NO
5,40,0.0,NO
6,391,0.98,NO
7,46,0.15520489232989237,NO
8,26,0.0,NO
9,66,0.0,NO
10,95,0.006666666666666666,NO
11,33,0.0,NO
12,103,0.2059802625565009,NO
13,219,0.02,NO
14,329,0.251952380952381,NO
15,59,0.17973051948051957,NO
16,376,0.39804761904761904,NO
17,33,0.0,NO
18,36,0.0,NO
19,44,0.0,NO
20,70,0.27,NO
21,69,0.5984436080345522,NO
22,31,0.0034090909090909094,NO
23,27,0.0,NO
24,33,0.0,NO
25,27,0.0,NO
26,27,0.0,NO
27,40,0.0,NO
28,60,0.6195545288045289,NO
29,69,0.5984436080345522,NO
30,85,0.279770535020535,NO
31,85,0.279770535020535,NO
32,87,0.007532467532467533,NO
33,53,0.3650067827769067,NO
34,125,0.18579650904650913,NO
35,151,0.0,NO
36,242,0.4217857142857142,NO
37,47,0.0,NO
38,72,0.15881382042450157,NO
39,51,0.0014285714285714286,NO
40,51,0.0014285714285714286,NO
41,110,0.3950999278499278,NO
42,87,0.007532467532467533,NO
43,80,0.13590989565989572,NO
44,76,0.0,NO
45,41,0.18649680810245822,NO
46,63,0.0,NO
47,55,0.0,NO
48,106,0.15342782097503466,NO
49,72,0.15881382042450157,NO
50,86,0.4052459207459207,NO
51,55,0.0,NO
52,135,0.04333333333333333,NO
53,63,0.0,NO
54,412,0.0,NO
55,533,0.06,NO
56,71,1.0,NO
57,50,0.19251839826839837,NO
58,39,0.0,NO
59,106,0.15342782097503466,NO
60,37,0.19041819963082876,NO
61,92,0.15982647907647907,NO
62,79,0.5344193572570817,NO
63,321,0.03,NO
64,631,0.04,NO
65,140,0.49539685314685306,NO
66,258,1.0,NO
67,384,1.0,NO
68,74,0.1824987789987791,NO
69,79,0.5344193572570817,NO
70,187,0.5805829725829726,NO
71,143,0.01795634920634921,NO
72,186,0.005,NO
73,138,0.0,NO
74,36,0.0,NO
75,37,0.19041819963082876,NO
76,86,0.4052459207459207,NO
77,120,0.4527196137196137,NO
78,139,0.0,NO
79,875,1.0,YES
80,33,0.0,NO
81,43,0.0,NO
82,99,0.0,NO
83,288,0.14547619047619048,NO
84,130,0.19362012987012986,NO
85,146,0.5008134643134644,NO
86,204,0.05,NO
87,150,0.0,NO
88,38,0.0,NO
89,43,0.0,NO
90,47,0.0,NO
91,32,0.20665859140859144,NO
92,93,0.0,NO
93,93,0.0,NO
94,282,0.4009246031746032,NO
95,251,0.0,NO
96,251,0.0,NO
97,130,0.19362012987012986,YES
98,53,0.3650067827769067,NO
99,125,0.18579650904650913,YES
100,50,0.19251839826839837,NO
101,106,0.15342782097503466,NO
102,34,0.0,NO
103,66,0.0,NO
104,40,0.0,NO
105,140,0.49539685314685306,NO
106,84,0.0025,NO
107,39,0.0,NO
108,34,0.0,NO
109,38,0.0,NO
110,149,0.18303985965015374,NO
111,761,0.4262460317460316,YES
112,46,0.15520489232989237,NO
113,204,0.05,NO
114,153,0.01,NO
115,57,0.0,NO
116,320,0.02,NO
117,1595,1.0,YES
118,241,0.23,YES
119,432,0.7422222222222223,NO
120,443,0.34,YES
121,40,0.0,NO
122,135,0.04333333333333333,NO
123,112,0.3209468725718725,NO
124,86,0.4052459207459207,NO
125,798,0.9416666666666667,YES
126,422,0.899265873015873,NO
127,177,0.0033333333333333335,NO
128,157,0.6055634920634922,NO
129,355,0.3031428571428571,NO
130,205,0.05,NO
131,68,0.07452740458304806,NO
132,277,0.33,NO
133,479,1.0,NO
134,101,0.0,NO
135,29,0.0,NO
136,68,0.07452740458304806,NO
137,79,0.5344193572570817,YES
138,70,0.27,NO
139,79,0.5344193572570817,NO
140,186,0.005,NO
141,123,0.5714794372294372,NO
142,134,0.32163095238095235,NO
143,2942,0.83,YES
144,663,1.0,YES
145,47,0.0,NO
146,81,0.07923967922342538,NO
147,69,0.6795891690009337,NO
148,118,0.6056666666666666,YES
149,57,0.5116666666666666,NO
150,31,0.115,NO
151,60,0.7715429292929292,NO
152,46,0.3281111111111111,NO
153,26,0.115,NO
154,105,0.31,NO
155,159,0.96,NO
156,80,0.544,NO
157,96,0.45,YES
158,104,0.23,NO
159,96,0.5,NO
160,84,0.43,NO
161,80,0.544,NO
162,70,0.72,NO
163,130,0.84,NO
164,25,0.115,NO
165,161,0.95,YES
166,87,0.66,NO
167,83,0.3,NO
168,79,0.61,NO
169,211,0.76,NO
170,93,0.42,NO
171,49,0.007433566433566434,NO
172,69,0.4995891690009337,NO
173,90,0.8770735118854314,NO
174,144,0.1584445554445554,NO
175,72,0.15881382042450157,YES
176,346,1.0,YES
177,101,0.0,NO
178,629,0.92,NO
179,115,0.7749401154401154,NO
180,89,0.00875,NO
181,123,0.5714794372294372,NO
182,293,0.02,NO
183,120,0.4527196137196137,NO
184,63,0.0,NO
185,52,0.11616045066045068,NO
186,67,0.004031746031746032,NO
187,202,0.02083333333333334,NO
188,226,0.0,YES
189,29,0.0,NO
190,223,0.0,NO
191,120,0.4527196137196137,NO
192,36,0.0,NO
193,82,0.17610422202757992,NO
194,51,0.0014285714285714286,NO
195,173,0.9296917110667111,NO
196,98,0.0,NO
197,158,0.9150952380952382,YES
198,184,0.9914945054945055,YES
199,1415,1.0,YES
200,61,0.3710501443001443,NO
201,47,0.0,NO
202,192,0.6376865079365078,YES
203,27,0.0,NO
204,189,0.7388809523809524,NO
205,482,1.0,NO
206,104,0.0,NO
207,799,0.9516666666666667,YES
208,976,1.0,NO
209,475,0.39,YES
210,558,0.39,YES
211,49,0.007433566433566434,NO
212,970,1.0,YES
213,192,0.6376865079365078,YES
214,62,0.2798185425685425,NO
215,223,0.0,NO
