ID,Size,Predicted,Actual
0,126,1.0,NO
1,22,0.0,NO
2,75,1.0,NO
3,131,0.0,NO
4,223,1.0,NO
5,40,0.0,NO
6,381,1.0,NO
7,46,1.0,NO
8,26,0.0,NO
9,66,0.0,NO
10,95,1.0,NO
11,33,0.0,NO
12,103,0.0,NO
13,219,1.0,NO
14,328,1.0,NO
15,59,1.0,NO
16,376,1.0,NO
17,33,0.0,NO
18,36,0.0,NO
19,44,0.0,NO
20,70,1.0,NO
21,69,1.0,NO
22,31,0.0,NO
23,27,0.0,NO
24,33,0.0,NO
25,27,0.0,NO
26,27,0.0,NO
27,40,0.0,NO
28,60,0.0,NO
29,69,1.0,NO
30,85,1.0,NO
31,85,1.0,NO
32,86,1.0,NO
33,50,0.0,NO
34,125,1.0,NO
35,151,0.0,NO
36,242,1.0,NO
37,47,0.0,NO
38,72,1.0,NO
39,51,0.0,NO
40,51,0.0,NO
41,106,0.0,NO
42,87,0.0,NO
43,80,1.0,NO
44,76,1.0,NO
45,41,0.0,NO
46,63,0.0,NO
47,55,0.0,NO
48,106,0.0,NO
49,72,1.0,NO
50,86,1.0,NO
51,55,0.0,NO
52,135,0.0,NO
53,63,0.0,NO
54,412,1.0,NO
55,533,1.0,NO
56,67,0.0,NO
57,50,0.0,NO
58,39,0.0,NO
59,88,1.0,NO
60,37,0.0,NO
61,74,1.0,NO
62,79,0.0,NO
63,321,1.0,NO
64,631,1.0,NO
65,140,0.0,NO
66,318,1.0,NO
67,356,0.0,NO
68,187,1.0,NO
69,142,1.0,NO
70,186,0.0,NO
71,138,0.0,NO
72,36,0.0,NO
73,37,0.0,NO
74,120,1.0,NO
75,139,0.0,NO
76,852,1.0,NO
77,33,0.0,NO
78,43,0.0,NO
79,99,0.0,NO
80,288,1.0,NO
81,131,0.0,YES
82,146,1.0,NO
83,204,0.0,NO
84,150,1.0,NO
85,38,0.0,NO
86,43,0.0,NO
87,47,0.0,NO
88,32,1.0,NO
89,93,1.0,NO
90,93,1.0,NO
91,282,1.0,NO
92,251,1.0,NO
93,251,1.0,NO
94,130,0.0,NO
95,53,0.0,NO
96,125,1.0,NO
97,50,0.0,NO
98,106,0.0,NO
99,34,0.0,NO
100,66,0.0,NO
101,40,0.0,NO
102,140,0.0,NO
103,84,1.0,NO
104,39,0.0,NO
105,34,0.0,NO
106,38,0.0,NO
107,149,1.0,NO
108,761,1.0,NO
109,46,1.0,NO
110,204,0.0,NO
111,153,1.0,NO
112,57,0.0,NO
113,57,0.0,NO
114,1307,1.0,YES
115,170,1.0,YES
116,339,1.0,NO
117,40,0.0,NO
118,90,0.0,YES
119,100,0.0,NO
120,84,1.0,NO
121,699,1.0,YES
122,389,1.0,YES
123,165,1.0,NO
124,159,1.0,NO
125,305,1.0,YES
126,185,0.0,YES
127,68,1.0,NO
128,277,1.0,NO
129,476,1.0,YES
130,101,0.0,NO
131,60,0.0,YES
132,79,0.0,NO
133,79,0.0,NO
134,149,1.0,NO
135,124,1.0,YES
136,119,1.0,NO
137,1746,1.0,YES
138,868,1.0,YES
139,87,0.0,NO
140,61,0.0,NO
141,101,0.0,NO
142,355,0.0,NO
143,284,1.0,NO
144,103,0.0,NO
145,29,0.0,NO
146,215,1.0,YES
147,71,1.0,YES
148,36,0.0,NO
149,82,0.0,NO
150,51,0.0,NO
151,173,1.0,YES
152,98,0.0,NO
153,174,0.0,NO
154,1309,1.0,YES
155,61,0.0,NO
156,47,0.0,NO
157,192,1.0,NO
158,422,1.0,YES
159,104,0.0,NO
160,1156,1.0,YES
161,326,1.0,YES
162,851,1.0,YES
163,415,1.0,NO
164,45,0.0,NO
165,716,1.0,YES
166,129,1.0,NO
167,256,1.0,YES
168,37,0.0,YES
169,452,1.0,NO
170,139,0.0,NO
171,112,1.0,NO
172,132,1.0,YES
173,81,1.0,NO
174,274,1.0,YES
175,68,1.0,NO
176,190,1.0,YES
177,123,1.0,NO
178,171,1.0,NO
179,483,1.0,YES
180,127,1.0,NO
181,921,1.0,YES
182,143,1.0,NO
183,106,0.0,NO
184,123,1.0,NO
185,93,1.0,NO
186,82,0.0,NO
187,139,0.0,NO
188,59,1.0,NO
189,117,0.0,NO
190,418,1.0,YES
191,77,1.0,NO
192,70,1.0,NO
193,148,1.0,NO
194,250,1.0,NO
195,660,0.0,NO
196,324,1.0,YES
197,66,0.0,NO
198,120,1.0,NO
199,326,1.0,NO
200,54,0.0,NO
201,972,1.0,YES
202,185,0.0,YES
203,27,0.0,NO
204,890,1.0,YES
205,167,0.0,YES
206,50,0.0,NO
207,41,0.0,NO
208,113,1.0,YES
209,160,1.0,NO
210,826,1.0,YES
211,53,0.0,NO
212,293,1.0,NO
213,42,0.0,NO
214,31,0.0,NO
215,36,0.0,NO
216,173,1.0,NO
217,481,1.0,NO
218,611,1.0,YES
219,96,0.0,NO
220,34,0.0,NO
221,141,1.0,NO
222,79,0.0,NO
223,77,1.0,NO
224,134,0.0,NO
225,37,0.0,NO
226,127,1.0,YES
227,115,1.0,NO
228,88,1.0,YES
229,44,0.0,NO
230,883,1.0,YES
231,34,0.0,NO
232,1123,1.0,YES
233,411,1.0,NO
234,157,1.0,NO
235,68,1.0,NO
236,59,1.0,NO
237,38,0.0,NO
238,120,1.0,YES
239,144,1.0,NO
240,45,0.0,NO
241,33,0.0,NO
242,80,1.0,NO
243,38,0.0,NO
244,33,0.0,NO
245,57,0.0,NO
246,106,0.0,NO
247,271,1.0,NO
248,57,0.0,NO
249,33,0.0,NO
250,141,1.0,NO
251,82,0.0,NO
252,34,0.0,NO
253,177,1.0,NO
254,37,0.0,NO
255,461,1.0,NO
256,84,1.0,NO
257,38,0.0,NO
258,193,1.0,NO
259,295,1.0,NO
260,110,1.0,NO
261,38,0.0,NO
262,313,1.0,NO
