ID,Size,Predicted,Actual
0,137,7.654623392529088E-5,False
1,269,7.654623392529088E-5,True
2,343,7.654623392529088E-5,True
3,154,7.654623392529088E-5,False
4,37,7.654623392529088E-5,False
5,130,7.654623392529088E-5,False
6,701,7.654623392529088E-5,False
7,250,7.654623392529088E-5,True
8,112,7.654623392529088E-5,True
9,29,7.654623392529088E-5,False
10,63,7.654623392529088E-5,False
11,349,7.654623392529088E-5,True
12,213,7.654623392529088E-5,True
13,65,7.654623392529088E-5,False
14,104,7.654623392529088E-5,False
15,265,7.654623392529088E-5,False
16,496,7.654623392529088E-5,False
17,38,7.654623392529088E-5,False
18,342,7.654623392529088E-5,True
19,70,7.654623392529088E-5,False
20,179,7.654623392529088E-5,False
21,532,7.654623392529088E-5,True
22,35,7.654623392529088E-5,False
23,133,7.654623392529088E-5,False
24,32,7.654623392529088E-5,False
25,343,7.654623392529088E-5,False
26,164,7.654623392529088E-5,True
27,55,7.654623392529088E-5,False
28,126,7.654623392529088E-5,False
29,132,1.1242523721725054E-5,False
30,149,1.1242523721725054E-5,False
31,210,1.1242523721725054E-5,False
32,151,1.1242523721725054E-5,False
33,39,1.1242523721725054E-5,False
34,45,1.1242523721725054E-5,False
35,48,1.1242523721725054E-5,False
36,33,1.1242523721725054E-5,False
37,98,1.1242523721725054E-5,False
38,117,1.1242523721725054E-5,False
39,283,7.654623392529088E-5,False
40,251,1.1242523721725054E-5,False
41,252,1.1242523721725054E-5,False
42,88,1.1242523721725054E-5,False
43,83,1.1242523721725054E-5,False
44,43,1.1242523721725054E-5,False
45,107,1.1242523721725054E-5,False
46,35,1.1242523721725054E-5,False
47,55,1.1242523721725054E-5,False
48,41,1.1242523721725054E-5,False
49,99,1.1242523721725054E-5,False
50,75,1.1242523721725054E-5,False
51,40,1.1242523721725054E-5,False
52,35,1.1242523721725054E-5,False
53,39,1.1242523721725054E-5,False
54,101,1.1242523721725054E-5,False
55,508,1.1242523721725054E-5,False
56,47,1.1242523721725054E-5,False
57,142,1.1242523721725054E-5,False
58,106,1.1242523721725054E-5,False
59,62,1.1242523721725054E-5,False
60,210,1.1242523721725054E-5,False
61,525,1.1242523721725054E-5,False
62,88,1.1242523721725054E-5,False
63,833,1.1242523721725054E-5,False
64,457,1.1242523721725054E-5,False
65,99,1.1242523721725054E-5,False
66,151,1.1242523721725054E-5,False
67,52,1.1242523721725054E-5,False
68,1069,4.0160642570281126E-4,True
69,39,1.1242523721725054E-5,False
70,89,1.1242523721725054E-5,False
71,100,1.1242523721725054E-5,False
72,622,8.025682182985555E-4,True
73,68,7.654623392529088E-5,False
74,312,1.1242523721725054E-5,False
75,101,7.654623392529088E-5,False
76,78,1.1242523721725054E-5,False
77,81,1.1242523721725054E-5,False
