ID,Size,Predicted,Actual
0,126,0.0,False
1,22,0.0,False
2,75,1.0,False
3,131,0.0,False
4,223,0.0,False
5,40,0.0,False
6,381,0.0,False
7,46,1.0,False
8,26,0.0,False
9,66,0.0,False
10,95,1.0,False
11,33,0.0,False
12,103,0.0,False
13,219,1.0,False
14,328,0.0,False
15,59,1.0,False
16,376,1.0,False
17,33,0.0,False
18,36,0.0,False
19,44,0.0,False
20,70,0.0,False
21,69,1.0,False
22,31,0.0,False
23,27,0.0,False
24,33,0.0,False
25,27,0.0,False
26,27,0.0,False
27,40,0.0,False
28,60,1.0,False
29,69,1.0,False
30,85,1.0,False
31,85,1.0,False
32,86,1.0,False
33,50,0.0,False
34,125,1.0,False
35,151,0.0,False
36,242,1.0,False
37,47,0.0,False
38,72,1.0,False
39,51,0.0,False
40,51,0.0,False
41,106,0.0,False
42,87,0.0,False
43,80,1.0,False
44,76,0.0,False
45,41,0.0,False
46,63,0.0,False
47,55,0.0,False
48,106,0.0,False
49,72,1.0,False
50,86,1.0,False
51,55,0.0,False
52,135,0.0,False
53,63,0.0,False
54,412,0.0,False
55,533,1.0,False
56,67,0.0,False
57,50,0.0,False
58,39,0.0,False
59,88,0.0,False
60,37,0.0,False
61,74,1.0,False
62,79,0.0,False
63,321,0.0,False
64,631,1.0,False
65,140,1.0,False
66,318,1.0,False
67,356,1.0,False
68,187,1.0,False
69,142,0.0,False
70,186,0.0,False
71,138,0.0,False
72,36,0.0,False
73,37,0.0,False
74,120,1.0,False
75,139,1.0,False
76,852,0.0,False
77,33,0.0,False
78,43,0.0,False
79,99,0.0,False
80,288,1.0,False
81,131,0.0,True
82,146,1.0,False
83,204,0.0,False
84,150,0.0,False
85,38,0.0,False
86,43,0.0,False
87,47,0.0,False
88,32,1.0,False
89,93,0.0,False
90,93,0.0,False
91,282,0.0,False
92,251,0.0,False
93,251,0.0,False
94,130,0.0,False
95,53,0.0,False
96,125,1.0,False
97,50,0.0,False
98,106,0.0,False
99,34,0.0,False
100,66,0.0,False
101,40,0.0,False
102,140,1.0,False
103,84,0.0,False
104,39,0.0,False
105,34,0.0,False
106,38,0.0,False
107,149,1.0,False
108,761,0.0,True
109,46,1.0,False
110,204,0.0,False
111,153,1.0,False
112,57,0.0,False
113,57,0.0,False
114,1305,1.0,True
115,170,1.0,True
116,339,1.0,True
117,40,0.0,False
118,90,0.0,True
119,100,0.0,False
120,84,0.0,False
121,702,1.0,False
122,392,1.0,True
123,165,1.0,False
124,159,1.0,False
125,332,1.0,True
126,185,1.0,False
127,68,1.0,False
128,277,0.0,False
129,476,1.0,True
130,101,0.0,False
131,63,0.0,False
132,79,0.0,False
133,79,0.0,False
134,149,1.0,False
135,124,1.0,True
136,119,1.0,False
137,1779,1.0,True
138,670,1.0,True
139,81,1.0,False
140,64,0.0,False
141,119,1.0,False
142,46,1.0,False
143,81,1.0,False
144,152,0.0,False
145,72,1.0,False
146,88,0.0,False
147,94,1.0,False
148,83,0.0,False
149,74,1.0,False
150,62,1.0,False
151,85,1.0,False
152,82,0.0,False
153,75,1.0,False
154,200,0.0,False
155,81,1.0,False
156,49,1.0,False
157,64,0.0,False
158,87,0.0,False
159,79,0.0,True
160,61,0.0,False
161,101,0.0,False
162,435,1.0,True
163,284,1.0,True
164,103,0.0,False
165,29,0.0,False
166,215,0.0,True
167,71,0.0,True
168,36,0.0,False
169,82,0.0,False
170,51,0.0,False
171,173,1.0,True
172,98,0.0,False
173,174,1.0,False
174,1302,1.0,True
175,61,0.0,False
176,47,0.0,False
177,192,1.0,False
178,414,0.0,True
179,104,0.0,False
180,1157,1.0,True
181,323,1.0,True
182,852,1.0,True
183,414,0.0,False
184,45,0.0,False
185,725,1.0,True
186,129,0.0,False
187,256,1.0,True
188,44,0.0,False
189,452,1.0,False
190,149,1.0,False
191,112,1.0,False
192,140,1.0,True
193,81,1.0,False
194,274,0.0,True
195,124,1.0,False
196,68,1.0,False
197,192,1.0,True
198,123,0.0,False
199,171,0.0,False
200,483,1.0,True
201,127,1.0,False
202,961,1.0,True
203,147,1.0,False
204,110,1.0,False
205,128,1.0,False
206,93,0.0,False
207,82,0.0,False
208,139,1.0,False
209,59,1.0,False
210,117,0.0,False
211,418,1.0,False
212,77,0.0,False
213,70,0.0,False
214,148,1.0,False
215,250,1.0,False
216,661,1.0,False
217,365,0.0,True
218,66,0.0,False
219,120,1.0,False
220,326,0.0,False
221,54,0.0,False
222,972,1.0,True
223,185,1.0,True
224,27,0.0,False
225,901,1.0,True
226,167,0.0,True
227,50,0.0,False
228,41,0.0,False
229,113,0.0,True
230,160,0.0,False
231,904,1.0,True
232,53,0.0,True
233,293,0.0,False
234,42,0.0,False
235,31,0.0,False
236,36,0.0,False
237,177,0.0,False
238,482,1.0,True
239,622,1.0,True
240,96,1.0,False
241,34,0.0,False
242,144,1.0,False
243,79,0.0,False
244,77,0.0,False
245,134,0.0,False
246,37,0.0,False
247,127,1.0,True
248,115,1.0,False
