ID,Size,Predicted,Actual
0,126,5.556728642713462E-6,NO
1,22,1.0103051121438674E-5,NO
2,75,3.7044994850745715E-6,NO
3,131,0.7599992294606818,NO
4,223,8.548762139242238E-6,NO
5,40,2.4696724226498597E-6,NO
6,381,0.6428560088272883,YES
7,46,0.16666821021240735,NO
8,26,1.0103051121438674E-5,NO
9,66,2.8496198607105813E-6,NO
10,95,9.261145788957009E-6,NO
11,33,1.0686112541862845E-6,NO
12,103,0.30555675608927857,NO
13,219,9.261145788957009E-6,NO
14,328,2.2226173541963017E-5,YES
15,59,0.3103462811944325,NO
16,376,0.5263154816218619,NO
17,33,1.0686112541862845E-6,NO
18,36,1.916127276838237E-6,NO
19,44,3.585000358500036E-6,NO
20,70,2.525801057805483E-6,NO
21,69,0.7909085030845177,NO
22,31,4.4453927949073575E-6,NO
23,27,2.222706278256154E-6,NO
24,33,1.0686112541862845E-6,NO
25,27,2.222706278256154E-6,NO
26,27,2.222706278256154E-6,NO
27,40,2.4696724226498597E-6,NO
28,60,0.5744677329348227,NO
29,69,0.7909085030845177,NO
30,85,0.3541673419679282,NO
31,85,0.3541673419679282,NO
32,86,0.29729851499423304,YES
33,50,1.949743413766748E-6,YES
34,125,0.272728803513215,NO
35,151,5.051576597055941E-6,NO
36,242,0.7692261660511558,NO
37,47,2.7106147674292532E-6,NO
38,72,0.20779305128974895,NO
39,51,4.831944954483079E-6,NO
40,51,4.831944954483079E-6,NO
41,106,1.5652881695520146E-6,YES
42,87,4.630615779286329E-6,NO
43,80,0.13461694642849512,NO
44,76,4.116107150501342E-6,NO
45,41,3.7044994850745715E-6,NO
46,63,2.5845403136598124E-6,NO
47,55,2.5845403136598124E-6,NO
48,106,1.5652881695520146E-6,NO
49,72,0.20779305128974895,NO
50,86,0.29729851499423304,NO
51,55,2.5845403136598124E-6,NO
52,135,2.2226173541963017E-5,NO
53,63,2.5845403136598124E-6,NO
54,412,1.8521948508983146E-5,NO
55,533,1.2348118146794429E-5,NO
56,71,3.7042524818491625E-5,NO
57,50,1.1111111111111112E-4,NO
58,39,1.1111111111111112E-4,NO
59,106,1.5652881695520146E-6,NO
60,37,1.1111111111111112E-4,NO
61,92,0.40000148178881545,NO
62,79,3.7042524818491625E-5,NO
63,321,1.1111111111111112E-4,NO
64,631,3.7042524818491625E-5,NO
65,140,1.1111111111111112E-4,NO
66,318,1.1111111111111112E-4,NO
67,356,1.1111111111111112E-4,NO
68,187,0.9999907388542111,NO
69,143,1.1111111111111112E-4,NO
70,186,0.9999907388542111,NO
71,138,1.1111111111111112E-4,NO
72,36,1.1111111111111112E-4,NO
73,37,1.1111111111111112E-4,NO
74,120,0.9999861084099686,NO
