ID,Size,Predicted,Actual
0,126,2.0217540738344587E-5,NO
1,22,6.73854447439353E-5,NO
2,75,2.246383322850211E-5,NO
3,131,2.246383322850211E-5,NO
4,223,1.0107135637760258E-4,NO
5,40,9.62760426695421E-6,NO
6,381,1.0107135637760258E-4,NO
7,46,2.0217540738344587E-5,NO
8,26,2.246383322850211E-5,NO
9,66,1.837965005146302E-5,NO
10,95,1.0107135637760258E-4,NO
11,33,4.126161514466322E-6,NO
12,103,1.684806415742831E-5,NO
13,219,2.021018593371059E-4,NO
14,328,0.9997978981406629,NO
15,59,0.5,NO
16,376,0.9997978981406629,NO
17,33,4.126161514466322E-6,NO
18,36,9.189993934604002E-6,NO
19,44,1.684806415742831E-5,NO
20,70,1.837965005146302E-5,NO
21,69,0.9210503913295629,NO
22,31,1.5552099533437014E-5,NO
23,27,1.837965005146302E-5,NO
24,33,4.126161514466322E-6,NO
25,27,1.837965005146302E-5,NO
26,27,1.837965005146302E-5,NO
27,40,9.62760426695421E-6,NO
28,60,2.5271670457417235E-5,NO
29,69,0.9210503913295629,NO
30,85,0.40000269570843217,NO
31,85,0.40000269570843217,NO
32,86,0.10001617403259068,NO
33,50,9.189993934604002E-6,NO
34,125,0.09092412880458757,NO
35,151,1.2636154565442643E-5,NO
36,242,0.9997978981406629,NO
37,47,9.62760426695421E-6,NO
38,72,0.20513126244193763,NO
39,51,5.054078641463661E-5,NO
40,51,5.054078641463661E-5,NO
41,106,8.790436005625878E-6,NO
42,87,2.888170055452865E-5,NO
43,80,1.2636154565442643E-5,NO
44,76,1.1232168931820733E-5,NO
45,41,9.62760426695421E-6,NO
46,63,1.1892869035726177E-5,NO
47,55,1.4441267365624006E-5,NO
48,106,8.790436005625878E-6,NO
49,72,0.20513126244193763,NO
50,86,0.10001617403259068,NO
51,55,1.4441267365624006E-5,NO
52,135,1.0107135637760258E-4,NO
53,63,1.1892869035726177E-5,NO
54,412,1.0107135637760258E-4,NO
55,533,0.9997978981406629,NO
56,67,6.73854447439353E-5,NO
57,50,9.189993934604002E-6,NO
58,39,7.220737959419452E-6,NO
59,88,2.021018593371059E-4,NO
60,37,7.488168693464325E-6,NO
61,74,5.054078641463661E-5,NO
62,79,2.021018593371059E-4,NO
63,321,5.054078641463661E-5,NO
64,631,0.9997978981406629,NO
65,140,2.246383322850211E-5,NO
66,318,2.021018593371059E-4,NO
67,356,0.9997978981406629,NO
68,187,0.1666891299952827,NO
69,142,2.021018593371059E-4,NO
70,186,4.0433446546983666E-5,NO
71,138,1.684806415742831E-5,NO
72,36,9.189993934604002E-6,NO
73,37,7.488168693464325E-6,NO
74,120,0.11112858298139995,NO
