ID,Size,Predicted,Actual
0,126,0.001547987616099071,NO
1,22,0.001547987616099071,NO
2,75,0.001547987616099071,NO
3,131,5.170630816959668E-4,NO
4,223,0.001547987616099071,NO
5,40,3.878975950349108E-4,NO
6,381,0.9992248062015504,NO
7,46,0.9984520123839009,NO
8,26,0.001547987616099071,NO
9,66,5.170630816959668E-4,NO
10,95,7.751937984496124E-4,NO
11,33,1.940240589833139E-4,NO
12,103,7.751937984496124E-4,NO
13,219,0.9992248062015504,NO
14,328,0.001547987616099071,NO
15,59,0.9984520123839009,NO
16,376,0.9984520123839009,NO
17,33,1.940240589833139E-4,NO
18,36,3.878975950349108E-4,NO
19,44,0.001547987616099071,NO
20,70,5.170630816959668E-4,NO
21,69,0.6922617625985192,NO
22,31,0.20018621973929235,NO
23,27,2.586652871184687E-4,NO
24,33,1.940240589833139E-4,NO
25,27,2.586652871184687E-4,NO
26,27,2.586652871184687E-4,NO
27,40,3.878975950349108E-4,NO
28,60,0.001547987616099071,NO
29,69,0.6922617625985192,NO
30,85,0.6664943123061013,NO
31,85,0.6664943123061013,NO
32,86,0.5,NO
33,50,5.170630816959668E-4,NO
34,125,0.33350568769389866,NO
35,151,0.6664943123061013,NO
36,242,0.9984520123839009,NO
37,47,3.878975950349108E-4,NO
38,72,0.4000620732464308,NO
39,51,7.751937984496124E-4,NO
40,51,7.751937984496124E-4,NO
41,106,0.001547987616099071,NO
42,87,5.170630816959668E-4,NO
43,80,0.25019394879751744,NO
44,76,0.001547987616099071,NO
45,41,5.170630816959668E-4,NO
46,63,0.4000620732464308,NO
47,55,7.751937984496124E-4,NO
48,106,0.001547987616099071,NO
49,72,0.4000620732464308,NO
50,86,0.5,NO
51,55,7.751937984496124E-4,NO
52,135,0.001547987616099071,NO
53,63,0.4000620732464308,NO
54,412,0.001547987616099071,NO
55,533,0.9992248062015504,NO
56,67,0.11124525698516728,NO
57,50,5.170630816959668E-4,NO
58,39,3.878975950349108E-4,NO
59,88,0.33350568769389866,NO
60,37,3.1036623215394165E-4,NO
61,74,0.25019394879751744,NO
62,79,7.751937984496124E-4,NO
63,321,0.9992248062015504,NO
64,631,0.001547987616099071,NO
65,140,0.001547987616099071,NO
66,318,0.9984520123839009,NO
67,356,0.001547987616099071,NO
68,187,0.9984520123839009,NO
69,142,0.001547987616099071,NO
70,186,0.5,NO
71,138,5.170630816959668E-4,NO
72,36,3.878975950349108E-4,NO
73,37,3.1036623215394165E-4,NO
74,120,0.25019394879751744,NO
75,139,7.751937984496124E-4,NO
76,852,0.001547987616099071,NO
77,33,1.940240589833139E-4,NO
78,43,7.751937984496124E-4,NO
79,99,7.751937984496124E-4,NO
80,288,0.001547987616099071,NO
81,131,5.170630816959668E-4,YES
82,146,0.7998137802607077,NO
83,204,5.170630816959668E-4,NO
84,150,0.6664943123061013,NO
85,38,1.724732666436702E-4,NO
86,43,7.751937984496124E-4,NO
87,47,3.878975950349108E-4,NO
88,32,0.20018621973929235,NO
89,93,0.6664943123061013,NO
90,93,0.6664943123061013,NO
91,282,0.001547987616099071,NO
92,251,7.751937984496124E-4,NO
93,251,7.751937984496124E-4,NO
94,130,5.170630816959668E-4,NO
95,53,1.940240589833139E-4,NO
96,125,0.33350568769389866,NO
97,50,5.170630816959668E-4,NO
98,106,0.001547987616099071,NO
99,34,2.2172949002217295E-4,NO
100,66,5.170630816959668E-4,NO
101,40,3.878975950349108E-4,NO
102,140,0.001547987616099071,NO
103,84,7.751937984496124E-4,NO
104,39,3.878975950349108E-4,NO
105,34,2.2172949002217295E-4,NO
106,38,1.724732666436702E-4,NO
107,149,0.6664943123061013,NO
108,761,0.001547987616099071,NO
109,46,0.9984520123839009,NO
110,204,5.170630816959668E-4,NO
111,153,0.9992248062015504,NO
112,57,5.170630816959668E-4,NO
113,57,5.170630816959668E-4,NO
114,1307,0.001547987616099071,YES
115,170,0.9992248062015504,YES
116,339,0.9984520123839009,YES
117,40,3.878975950349108E-4,NO
118,90,3.878975950349108E-4,YES
119,100,7.751937984496124E-4,NO
120,84,7.751937984496124E-4,NO
121,699,0.9984520123839009,YES
122,389,0.9992248062015504,YES
123,165,0.001547987616099071,NO
124,159,0.9984520123839009,NO
125,305,0.9984520123839009,YES
126,185,0.001547987616099071,YES
127,68,0.16683911019141232,NO
128,277,0.9984520123839009,NO
129,476,0.9984520123839009,YES
130,101,7.751937984496124E-4,NO
131,60,0.001547987616099071,YES
132,79,7.751937984496124E-4,NO
133,79,7.751937984496124E-4,NO
134,149,0.6664943123061013,NO
135,124,0.6664943123061013,YES
136,119,0.001547987616099071,NO
137,1746,0.9984520123839009,YES
138,875,0.9984520123839009,YES
139,87,5.170630816959668E-4,NO
140,79,7.751937984496124E-4,YES
141,61,0.001547987616099071,NO
142,101,7.751937984496124E-4,NO
143,355,0.001547987616099071,YES
144,284,0.001547987616099071,NO
145,103,7.751937984496124E-4,NO
146,29,0.001547987616099071,NO
147,215,0.9992248062015504,YES
148,71,0.25009701202949164,YES
149,36,3.878975950349108E-4,NO
150,82,5.170630816959668E-4,NO
151,51,7.751937984496124E-4,NO
152,173,0.001547987616099071,YES
153,98,5.170630816959668E-4,NO
154,174,0.001547987616099071,NO
155,1311,0.9984520123839009,YES
156,61,0.001547987616099071,NO
157,47,3.878975950349108E-4,NO
158,192,7.751937984496124E-4,NO
159,422,7.751937984496124E-4,YES
160,104,5.170630816959668E-4,NO
161,1156,0.9984520123839009,YES
162,326,0.001547987616099071,YES
163,851,0.001547987616099071,YES
164,415,0.001547987616099071,NO
165,45,3.1036623215394165E-4,NO
166,716,0.001547987616099071,YES
167,129,0.9984520123839009,NO
168,256,0.9984520123839009,YES
169,37,3.1036623215394165E-4,YES
170,452,0.9984520123839009,NO
171,139,0.5,NO
172,112,0.7498060512024826,NO
173,132,0.001547987616099071,YES
174,81,0.33350568769389866,NO
175,274,0.9984520123839009,YES
176,68,0.16683911019141232,NO
177,190,0.9984520123839009,YES
178,123,0.6664943123061013,NO
179,171,0.9992248062015504,NO
180,483,0.9984520123839009,YES
181,127,0.5,NO
182,921,0.001547987616099071,YES
183,143,0.5,NO
184,106,0.001547987616099071,NO
185,123,0.6664943123061013,NO
186,93,0.6664943123061013,NO
187,82,5.170630816959668E-4,NO
188,139,7.751937984496124E-4,NO
189,59,0.9984520123839009,NO
190,117,0.001547987616099071,NO
191,418,0.001547987616099071,YES
192,77,0.7998137802607077,NO
193,70,5.170630816959668E-4,NO
194,148,0.5,NO
195,250,0.9992248062015504,NO
196,660,0.001547987616099071,NO
