ID,Size,Predicted,Actual
0,126,0.10807286844455459,NO
1,22,0.10748189680602446,NO
2,75,0.10451087625171171,NO
3,131,0.10862708209439476,NO
4,223,0.13465048736650542,NO
5,40,0.10586372261411492,NO
6,381,0.28453670765106204,NO
7,46,0.1052927860643679,NO
8,26,0.10701690828588373,NO
9,66,0.10454289792297171,NO
10,95,0.10509957038600973,NO
11,33,0.10659248428606229,NO
12,103,0.10560493957785584,NO
13,219,0.13289987634770767,NO
14,328,0.21440990321810038,NO
15,59,0.10472762999819454,NO
16,376,0.27818703475448714,NO
17,33,0.10659248428606229,NO
18,36,0.10620821321953831,NO
19,44,0.10555867870446911,NO
20,70,0.10450781985974542,NO
21,69,0.10454289792297171,NO
22,31,0.10659248428606229,NO
23,27,0.10701690828588373,NO
24,33,0.10659248428606229,NO
25,27,0.10701690828588373,NO
26,27,0.10701690828588373,NO
27,40,0.10586372261411492,NO
28,60,0.10472762999819454,NO
29,69,0.10454289792297171,NO
30,85,0.10463144109866339,NO
31,85,0.10463144109866339,NO
32,86,0.10474906613864424,NO
33,50,0.10506578727936244,NO
34,125,0.10756024417061942,NO
35,151,0.11204228877690357,NO
36,242,0.14445102374474972,NO
37,47,0.1052927860643679,NO
38,72,0.10450781985974542,NO
39,51,0.10506578727936244,NO
40,51,0.10506578727936244,NO
41,106,0.1059162865264363,NO
42,87,0.10474906613864424,NO
43,80,0.10455207005408915,NO
44,76,0.10451087625171171,NO
45,41,0.10586372261411492,NO
46,63,0.1046161443593149,NO
47,55,0.10487746266036664,NO
48,106,0.1059162865264363,NO
49,72,0.10450781985974542,NO
50,86,0.10474906613864424,NO
51,55,0.10487746266036664,NO
52,135,0.1092234234516452,NO
53,63,0.1046161443593149,NO
54,412,0.3416014171919226,NO
55,533,0.639501041137116,NO
56,67,0.10454289792297171,NO
57,50,0.10506578727936244,NO
58,39,0.10586372261411492,NO
59,88,0.10474906613864424,NO
60,37,0.10620821321953831,NO
61,74,0.10451087625171171,NO
62,79,0.10455207005408915,NO
63,321,0.20581253920182824,NO
64,631,0.867355293748622,NO
65,140,0.10986247208154563,NO
66,318,0.2017090582798243,NO
67,356,0.24891959231611258,NO
68,187,0.12113240062645167,NO
69,142,0.11054484939055435,NO
70,186,0.12113240062645167,NO
71,138,0.10986247208154563,NO
72,36,0.10620821321953831,NO
73,37,0.10620821321953831,NO
74,120,0.10708871160466038,NO
75,139,0.10986247208154563,NO
76,852,0.9967442202559481,NO
77,33,0.10659248428606229,NO
78,43,0.10555867870446911,NO
79,99,0.1053327886937064,NO
80,288,0.17634785673606726,NO
81,131,0.10862708209439476,YES
82,146,0.11127121927029049,NO
83,204,0.1265389190147251,NO
84,150,0.11204228877690357,NO
85,38,0.10586372261411492,NO
86,43,0.10555867870446911,NO
87,47,0.1052927860643679,NO
88,32,0.10659248428606229,NO
89,93,0.10490505893531572,NO
90,93,0.10490505893531572,NO
91,282,0.17009564885957065,NO
92,251,0.14889532699656122,NO
93,251,0.14889532699656122,NO
94,130,0.10862708209439476,NO
95,53,0.10506578727936244,NO
96,125,0.10756024417061942,NO
97,50,0.10506578727936244,NO
98,106,0.1059162865264363,NO
99,34,0.10620821321953831,NO
100,66,0.10454289792297171,NO
101,40,0.10586372261411492,NO
102,140,0.10986247208154563,NO
103,84,0.10463144109866339,NO
104,39,0.10586372261411492,NO
105,34,0.10620821321953831,NO
106,38,0.10586372261411492,NO
107,149,0.11204228877690357,NO
108,761,0.9986720764431957,NO
109,46,0.1052927860643679,NO
110,204,0.1265389190147251,NO
111,153,0.11285880884481227,NO
112,57,0.10487746266036664,NO
113,57,0.10487746266036664,NO
114,1313,0.9999999807127808,YES
115,170,0.11659599184191052,YES
116,339,0.22354818777243135,YES
117,40,0.10586372261411492,NO
118,90,0.10490505893531572,YES
119,100,0.1053327886937064,NO
120,84,0.10463144109866339,NO
121,702,0.9514199269264928,NO
122,392,0.30461638909467875,YES
123,165,0.11558925583438019,NO
124,159,0.11372157503340516,NO
125,332,0.21890990109593417,YES
126,185,0.12113240062645167,NO
127,68,0.10454289792297171,NO
128,277,0.16712127798804527,NO
129,476,0.48846802586553845,YES
130,101,0.1053327886937064,NO
131,63,0.1046161443593149,NO
132,79,0.10455207005408915,NO
133,79,0.10455207005408915,NO
134,149,0.11204228877690357,NO
135,124,0.10756024417061942,YES
136,119,0.10708871160466038,NO
137,1779,1.0,YES
138,670,0.9220767407573328,YES
139,81,0.10455207005408915,NO
140,64,0.1046161443593149,NO
141,119,0.10708871160466038,NO
142,46,0.1052927860643679,NO
143,81,0.10455207005408915,NO
144,152,0.11204228877690357,NO
145,72,0.10450781985974542,NO
146,88,0.10474906613864424,NO
147,94,0.10509957038600973,NO
148,83,0.10463144109866339,NO
149,74,0.10451087625171171,NO
150,62,0.1046161443593149,NO
151,85,0.10463144109866339,NO
152,82,0.10463144109866339,NO
153,75,0.10451087625171171,NO
154,200,0.12510134376003149,NO
155,81,0.10455207005408915,NO
156,49,0.1052927860643679,NO
157,64,0.1046161443593149,NO
158,87,0.10474906613864424,NO
159,79,0.10455207005408915,YES
160,61,0.10472762999819454,NO
161,101,0.1053327886937064,NO
162,446,0.4118766502600087,YES
163,115,0.6792455263641659,NO
164,123,0.685493706397414,NO
165,284,0.17317028206020119,YES
166,103,0.10560493957785584,NO
167,29,0.10701690828588373,NO
168,215,0.13121501382630688,YES
169,71,0.10450781985974542,YES
170,36,0.10620821321953831,NO
171,82,0.10463144109866339,NO
172,51,0.10506578727936244,NO
173,173,0.1176526184581778,YES
174,98,0.1053327886937064,NO
175,174,0.1176526184581778,NO
176,1302,0.9999999715641616,YES
177,61,0.10472762999819454,NO
178,47,0.1052927860643679,NO
179,192,0.12239940055075668,NO
180,414,0.3416014171919226,YES
181,104,0.10560493957785584,NO
182,1157,0.9999977116257677,YES
183,323,0.20581253920182824,YES
184,852,0.9967442202559481,YES
185,414,0.3416014171919226,NO
186,45,0.10555867870446911,NO
187,738,0.973222700014641,YES
188,129,0.10807286844455459,NO
189,256,0.15123790558005495,YES
190,44,0.10555867870446911,NO
191,452,0.4287090855097845,NO
192,149,0.11204228877690357,NO
193,112,0.10626713108895136,NO
194,140,0.10986247208154563,YES
195,81,0.10455207005408915,NO
196,274,0.16424454724313112,YES
197,124,0.10756024417061942,NO
198,68,0.10454289792297171,NO
199,192,0.12239940055075668,YES
200,123,0.10756024417061942,NO
201,171,0.11659599184191052,NO
202,490,0.9384851607139613,YES
203,127,0.10807286844455459,NO
204,961,0.9996761939389283,YES
205,147,0.11127121927029049,NO
206,110,0.10626713108895136,NO
207,128,0.10807286844455459,NO
208,93,0.10490505893531572,NO
209,82,0.10463144109866339,NO
210,139,0.10986247208154563,NO
211,59,0.10472762999819454,NO
212,117,0.10665781321022438,NO
213,418,0.3495325181044458,NO
214,77,0.10451087625171171,NO
215,70,0.10450781985974542,NO
216,148,0.11127121927029049,NO
217,250,0.14889532699656122,NO
218,661,0.9079357716983221,NO
219,381,0.8501242022718869,YES
220,66,0.10454289792297171,NO
221,120,0.10708871160466038,NO
222,326,0.21004513606048622,NO
223,54,0.10487746266036664,NO
