ID,Size,Predicted,Actual
0,137,1.0,False
1,252,1.0,False
2,362,1.0,False
3,81,1.0,False
4,165,1.0,False
5,81,1.0,False
6,107,1.0,False
7,163,1.0,False
8,616,1.0,False
9,371,1.0,False
10,138,1.0,False
11,58,1.0,False
12,844,1.0,False
13,1272,1.0,False
14,245,1.0,False
15,65,1.0,False
16,299,1.0,False
17,472,1.0,False
18,441,1.0,False
19,76,1.0,False
20,199,1.0,False
21,527,1.0,False
22,35,1.0,False
23,133,1.0,False
24,32,1.0,False
25,164,1.0,True
26,148,1.0,False
27,343,1.0,False
28,164,1.0,True
29,55,1.0,False
30,126,1.0,False
31,78,1.0,False
32,110,1.0,False
33,80,1.0,False
34,76,1.0,False
35,41,1.0,False
36,63,1.0,False
37,106,1.0,False
38,72,1.0,False
39,86,1.0,False
40,48,1.0,False
41,63,1.0,False
42,375,1.0,False
43,131,1.0,False
44,146,1.0,False
45,208,1.0,False
46,150,1.0,False
47,38,1.0,False
48,43,1.0,False
49,47,1.0,False
50,32,1.0,False
51,93,1.0,False
52,113,1.0,False
53,282,1.0,False
54,251,1.0,False
55,251,1.0,False
56,91,1.0,False
57,86,1.0,False
58,42,1.0,False
59,106,1.0,False
60,34,1.0,False
61,53,1.0,False
62,40,1.0,False
63,98,1.0,False
64,80,1.0,False
65,39,1.0,False
66,34,1.0,False
67,38,1.0,False
68,103,1.0,False
69,518,1.0,False
70,46,1.0,False
71,141,1.0,False
72,106,1.0,False
73,57,1.0,False
74,210,1.0,False
75,525,1.0,False
76,88,1.0,False
77,833,1.0,False
78,457,1.0,False
79,99,1.0,False
80,151,1.0,False
81,57,1.0,False
82,1254,1.0,True
83,39,1.0,False
84,89,1.0,False
85,100,1.0,False
86,84,1.0,False
87,662,1.0,False
88,68,1.0,False
89,312,1.0,False
90,101,1.0,False
91,78,1.0,False
92,81,1.0,True
93,125,1.0,False
94,114,1.0,False
95,1481,1.0,True
96,832,1.0,True
97,283,1.0,False
98,103,1.0,False
99,29,1.0,False
100,194,1.0,True
101,72,1.0,False
102,36,1.0,False
103,72,1.0,False
104,159,1.0,True
105,98,1.0,False
106,170,1.0,False
107,1164,1.0,False
108,70,1.0,False
109,47,1.0,False
110,368,1.0,True
111,72,1.0,False
112,1362,1.0,True
113,45,1.0,False
114,512,1.0,True
115,132,1.0,False
116,232,1.0,False
117,37,1.0,False
118,137,1.0,False
119,94,1.0,False
120,132,1.0,False
121,66,1.0,False
122,244,1.0,True
123,178,1.0,True
124,121,1.0,False
125,113,1.0,False
126,703,1.0,True
127,114,1.0,False
128,82,1.0,False
129,124,1.0,False
130,92,1.0,False
131,82,1.0,False
132,138,1.0,False
133,117,1.0,False
134,76,1.0,False
135,236,1.0,True
136,553,1.0,False
137,288,1.0,False
138,60,1.0,False
139,116,1.0,False
140,325,1.0,False
141,53,1.0,False
142,957,1.0,True
143,189,1.0,True
144,26,1.0,False
145,744,1.0,True
146,169,1.0,True
147,50,1.0,False
148,41,1.0,False
149,109,1.0,True
150,160,1.0,True
151,719,1.0,True
152,53,1.0,False
153,253,1.0,True
154,42,1.0,False
155,31,1.0,False
156,36,1.0,False
157,169,1.0,True
158,375,1.0,True
159,494,1.0,True
160,89,1.0,False
161,34,1.0,False
162,149,1.0,True
163,68,1.0,False
164,64,1.0,False
165,146,1.0,True
166,37,1.0,False
167,123,1.0,True
168,114,1.0,True
169,82,1.0,False
170,44,1.0,False
171,652,1.0,True
172,34,1.0,False
173,873,1.0,True
174,321,1.0,False
175,149,1.0,True
176,68,1.0,False
177,45,1.0,False
178,33,1.0,False
179,79,1.0,False
180,38,1.0,False
181,33,1.0,False
182,69,1.0,True
183,272,1.0,False
184,57,1.0,False
185,33,1.0,False
186,129,1.0,False
187,583,1.0,False
188,180,1.0,False
189,33,1.0,False
190,333,1.0,False
191,40,1.0,False
192,107,1.0,False
193,128,1.0,False
194,38,1.0,False
195,192,1.0,False
196,294,1.0,False
197,109,1.0,False
198,38,1.0,False
199,312,1.0,False
