ID,Size,Predicted,Actual
0,126,0.0,False
1,22,0.0,False
2,75,0.0,False
3,131,0.0,False
4,223,0.0,False
5,40,0.0,False
6,381,0.0,False
7,46,0.0,False
8,26,0.0,False
9,66,0.0,False
10,95,0.0,False
11,33,0.0,False
12,103,0.0,False
13,219,0.0,False
14,328,0.0,False
15,59,0.0,False
16,376,0.0,False
17,33,0.0,False
18,36,0.0,False
19,44,0.0,False
20,70,0.0,False
21,69,0.0,False
22,31,0.0,False
23,27,0.0,False
24,33,0.0,False
25,27,0.0,False
26,27,0.0,False
27,40,0.0,False
28,60,0.0,False
29,69,0.0,False
30,85,0.0,False
31,85,0.0,False
32,86,0.0,False
33,50,0.0,False
34,125,0.0,False
35,151,0.0,False
36,242,0.0,False
37,47,0.0,False
38,72,0.0,False
39,51,0.0,False
40,51,0.0,False
41,106,0.0,False
42,87,0.0,False
43,80,0.0,False
44,76,0.0,False
45,41,0.0,False
46,63,0.0,False
47,55,0.0,False
48,106,0.0,False
49,72,0.0,False
50,86,0.0,False
51,55,0.0,False
52,135,0.0,False
53,63,0.0,False
54,412,0.0,False
55,533,1.0,False
56,67,0.0,False
57,50,0.0,False
58,39,0.0,False
59,88,0.0,False
60,37,0.0,False
61,74,0.0,False
62,79,0.0,False
63,321,0.0,False
64,631,1.0,False
65,140,0.0,False
66,318,0.0,False
67,356,0.0,False
68,187,0.0,False
69,142,0.0,False
70,186,0.0,False
71,138,0.0,False
72,36,0.0,False
73,37,0.0,False
74,120,0.0,False
75,139,0.0,False
76,852,1.0,False
77,33,0.0,False
78,43,0.0,False
79,99,0.0,False
80,288,0.0,False
81,131,0.0,True
82,146,0.0,False
83,204,0.0,False
84,150,0.0,False
85,38,0.0,False
86,43,0.0,False
87,47,0.0,False
88,32,0.0,False
89,93,0.0,False
90,93,0.0,False
91,282,0.0,False
92,251,0.0,False
93,251,0.0,False
94,130,0.0,False
95,53,0.0,False
96,125,0.0,False
97,50,0.0,False
98,106,0.0,False
99,34,0.0,False
100,66,0.0,False
101,40,0.0,False
102,140,0.0,False
103,84,0.0,False
104,39,0.0,False
105,34,0.0,False
106,38,0.0,False
107,149,0.0,False
108,761,1.0,False
109,46,0.0,False
110,204,0.0,False
111,153,0.0,False
112,57,0.0,False
113,57,0.0,False
114,1379,1.0,True
115,174,1.0,True
116,414,1.0,True
117,40,0.0,False
118,90,0.0,True
119,102,0.0,False
120,84,0.0,False
121,702,1.0,False
122,392,0.0,True
123,165,0.0,False
124,159,0.0,False
125,332,0.0,True
126,185,0.0,False
127,68,0.0,False
128,277,0.0,False
129,476,0.0,True
130,101,0.0,False
131,63,0.0,False
132,79,0.0,False
133,79,0.0,False
134,149,0.0,False
135,124,0.0,True
136,119,0.0,False
137,1779,1.0,True
138,670,1.0,True
139,81,0.0,False
140,64,0.0,False
141,119,0.0,False
142,46,0.0,False
143,81,0.0,False
144,152,0.0,False
145,72,0.0,False
146,88,0.0,False
147,94,0.0,False
148,83,0.0,False
149,74,0.0,False
150,62,0.0,False
151,85,0.0,False
152,82,0.0,False
153,75,0.0,False
154,200,0.0,False
155,81,0.0,False
156,49,0.0,False
157,64,0.0,False
158,87,0.0,False
159,79,0.0,True
160,61,0.0,False
161,101,0.0,False
162,522,1.0,True
163,115,0.0,False
164,123,0.0,False
165,284,0.0,True
166,103,0.0,True
167,29,0.0,False
168,215,0.0,True
169,71,0.0,True
170,36,0.0,False
171,82,0.0,False
172,51,0.0,False
173,173,0.0,True
174,98,0.0,False
175,174,0.0,False
176,1302,1.0,True
177,61,0.0,False
178,47,0.0,False
179,192,0.0,False
180,414,0.0,True
181,104,0.0,False
182,1157,1.0,True
183,309,0.0,True
184,852,1.0,True
185,399,0.0,False
186,45,0.0,False
187,738,1.0,True
188,129,0.0,False
189,256,0.0,True
190,44,0.0,False
191,452,0.0,False
192,209,0.0,False
193,112,0.0,False
194,140,0.0,True
195,81,0.0,False
196,279,1.0,True
197,124,0.0,False
198,68,0.0,False
199,192,0.0,True
200,123,0.0,False
201,171,0.0,False
202,490,0.0,True
203,130,0.0,False
204,961,1.0,True
205,147,0.0,False
206,110,0.0,False
207,128,0.0,False
208,93,0.0,False
209,82,0.0,False
210,139,0.0,False
211,59,0.0,False
212,117,0.0,False
213,418,0.0,False
214,77,0.0,False
215,70,0.0,False
216,152,0.0,False
217,250,0.0,False
218,661,1.0,False
219,381,0.0,True
220,66,0.0,False
221,120,0.0,False
222,326,0.0,False
223,54,0.0,False
224,972,1.0,True
225,185,0.0,True
226,27,0.0,False
227,903,1.0,True
228,167,0.0,True
229,50,0.0,False
230,41,0.0,False
231,113,0.0,True
232,160,0.0,False
233,958,1.0,True
234,53,0.0,False
235,293,0.0,False
236,42,0.0,False
237,31,0.0,False
238,36,0.0,False
239,177,0.0,False
240,482,0.0,True
241,629,1.0,True
242,96,0.0,False
243,34,0.0,False
244,144,0.0,False
245,79,0.0,False
246,77,0.0,False
247,134,0.0,False
248,37,0.0,False
