ID,Size,Predicted,Actual
0,29,0.0,NO
1,175,0.0,NO
2,36,0.0,NO
3,112,0.0,NO
4,68,0.0,NO
5,88,0.0,NO
6,46,0.0,NO
7,117,0.0,NO
8,74,0.0,NO
9,28,0.0,NO
10,26,0.0,NO
11,29,0.0,NO
12,43,0.0,NO
13,34,0.0,NO
14,26,0.0,NO
15,53,0.0,NO
16,34,0.0,NO
17,44,0.0,NO
18,33,0.0,NO
19,45,0.0,NO
20,33,0.0,NO
21,38,0.0,NO
22,33,0.0,NO
23,125,0.0,NO
24,86,0.0,NO
25,115,0.0,NO
26,85,0.0,NO
27,56,0.0,NO
28,76,0.0,NO
29,225,0.0,NO
30,137,0.0,NO
31,78,0.0,NO
32,55,0.0,NO
33,82,0.0,NO
34,55,0.0,NO
35,115,0.0,NO
36,38,0.0,NO
37,53,0.0,NO
38,30,0.0,NO
39,34,0.0,NO
40,95,0.0,NO
41,69,0.0,NO
42,38,0.0,NO
43,61,0.0,NO
44,132,0.0,NO
45,149,0.0,NO
46,210,0.0,NO
47,151,0.0,NO
48,39,0.0,NO
49,45,0.0,NO
50,48,0.0,NO
51,33,0.0,NO
52,98,0.0,NO
53,117,0.0,NO
54,278,0.0,YES
55,251,0.0,NO
56,252,0.0,NO
57,88,0.0,NO
58,83,0.0,NO
59,43,0.0,NO
60,107,0.0,NO
61,35,0.0,NO
62,55,0.0,NO
63,41,0.0,NO
64,99,0.0,NO
65,75,0.0,NO
66,40,0.0,NO
67,35,0.0,NO
68,39,0.0,NO
69,101,0.0,NO
70,508,0.0,NO
71,47,0.0,NO
72,142,0.0,NO
73,106,0.0,NO
74,62,0.0,NO
75,210,0.0,NO
76,525,0.0,NO
77,88,0.0,NO
78,833,0.0,NO
79,457,0.0,NO
80,99,0.0,NO
81,151,0.0,NO
82,52,0.0,NO
83,1045,0.0,YES
84,39,0.0,NO
85,89,0.0,NO
86,100,0.0,NO
87,336,0.0,YES
88,312,0.0,NO
89,78,0.0,NO
90,81,0.0,NO
91,107,0.0,NO
92,112,0.0,NO
93,1040,0.0,YES
94,232,0.0,NO
95,72,0.0,NO
96,125,0.0,NO
97,798,0.0,YES
98,265,0.0,NO
99,72,0.0,NO
100,888,0.0,YES
101,460,0.0,NO
102,94,0.0,YES
103,197,0.0,NO
104,37,0.0,NO
105,80,0.0,YES
106,67,0.0,NO
107,140,0.0,NO
108,58,0.0,NO
109,219,0.0,NO
110,144,0.0,NO
111,119,0.0,NO
112,113,0.0,NO
113,616,0.0,NO
114,86,0.0,YES
115,92,0.0,NO
116,81,0.0,NO
117,127,0.0,NO
118,67,0.0,NO
119,115,0.0,NO
120,78,0.0,NO
121,159,0.0,YES
122,485,0.0,YES
123,246,0.0,YES
124,60,0.0,NO
125,114,0.0,NO
126,305,0.0,YES
127,45,0.0,NO
128,898,0.0,NO
129,189,0.0,YES
130,26,0.0,NO
131,626,0.0,YES
132,378,0.0,NO
133,395,0.0,NO
134,107,0.0,NO
135,85,0.0,NO
136,34,0.0,NO
137,177,0.0,NO
138,633,0.0,NO
139,194,0.0,NO
140,88,0.0,NO
141,76,0.0,NO
142,564,0.0,YES
143,590,0.0,YES
144,222,0.0,YES
145,115,0.0,NO
146,81,0.0,NO
147,54,0.0,NO
148,69,0.0,NO
149,129,0.0,NO
150,582,0.0,NO
151,181,0.0,NO
152,33,0.0,NO
153,323,0.0,YES
154,40,0.0,NO
155,105,0.0,NO
156,120,0.0,YES
