ID,Size,Predicted,Actual
0,137,0.050860494960421186,NO
1,252,0.07126197856727223,YES
2,536,0.3402351999498879,YES
3,81,0.04652732300216371,NO
4,168,0.05662659169523,NO
5,487,0.2615083059337926,NO
6,124,0.051317677057706464,NO
7,536,0.33854926013757675,NO
8,133,0.050487738217087456,NO
9,151,0.052491706754189744,NO
10,147,0.0519224705763856,NO
11,114,0.05045271721548214,NO
12,227,0.06520985513568056,NO
13,401,0.15363822638947816,NO
14,204,0.060440471719656774,NO
15,50,0.045290142918088944,NO
16,162,0.05387006455627896,NO
17,61,0.04565184582086387,NO
18,163,0.05387006455627896,NO
19,80,0.048117936136965904,NO
20,78,0.04640122735809905,NO
21,448,0.19320781336996973,YES
22,179,0.05629984290074776,NO
23,136,0.05073472652044486,NO
24,167,0.05452772349214254,NO
25,67,0.04589302925378998,NO
26,137,0.050860494960421186,NO
27,145,0.05178420496634828,YES
28,87,0.046863911658611195,NO
29,85,0.04679413512844473,NO
30,178,0.05611414578699048,NO
31,75,0.04622112089596894,NO
32,208,0.06113609358169812,YES
33,57,0.04552100448508377,NO
34,517,0.2934821169979735,YES
35,570,0.40378836246257527,NO
36,148,0.052062343117117243,NO
37,173,0.05539043992156303,NO
38,147,0.0519224705763856,NO
39,208,0.06113609358169812,YES
40,54,0.045400462223051614,NO
41,38,0.044995399355740665,NO
42,98,0.04754828955998257,NO
43,38,0.044995399355740665,NO
44,94,0.04730877381391329,NO
45,126,0.04978251960683033,NO
46,78,0.04640122735809905,NO
47,110,0.048431325360181035,NO
48,80,0.04646366979384652,NO
49,76,0.0462799572003396,NO
50,41,0.04507210841261788,NO
51,63,0.04574483566332421,NO
52,106,0.04815252354918587,NO
53,72,0.04610702503461822,NO
54,86,0.04679413512844473,NO
55,55,0.5340169272378806,NO
56,63,0.04574483566332421,NO
57,409,0.8180419127050544,NO
58,66,0.045842465659628365,NO
59,50,0.045290142918088944,NO
60,39,0.045019859249210474,NO
61,37,0.04497204695103011,NO
62,80,0.04646366979384652,NO
63,321,0.0962096850572602,NO
64,118,0.04912949496909855,NO
65,605,0.48676861076775413,NO
66,140,0.05124700878952964,NO
67,361,0.11712247382922807,NO
68,362,0.11787931260014747,NO
69,187,0.05745519544282092,NO
70,146,0.0519224705763856,NO
71,186,0.057257662262224694,NO
72,138,0.05098779188453297,NO
73,38,0.044995399355740665,NO
74,37,0.04497204695103011,NO
75,120,0.04923478221539738,NO
76,139,0.05111662666327937,NO
77,852,0.9511425177917769,NO
78,33,0.04490861875409687,NO
79,43,0.04509990133261713,NO
80,99,0.04763069646939166,NO
81,288,0.08275624141305948,NO
82,131,0.05024675442202786,NO
83,146,0.0519224705763856,NO
84,208,0.06113609358169812,NO
85,150,0.0523469506319639,NO
86,38,0.044995399355740665,NO
87,43,0.04509990133261713,NO
88,47,0.04518997699054085,NO
89,32,0.04488968077624034,NO
90,93,0.04723148453174569,NO
91,113,0.04862393942966921,NO
92,282,0.08061165604185176,NO
93,251,0.07093146868574182,NO
94,251,0.07093146868574182,NO
95,130,0.0501284920621991,NO
96,53,0.046979551246563195,NO
97,125,0.049670105578619936,NO
98,50,0.04700075283364915,NO
99,106,0.049965587510560766,NO
100,34,0.04662628159257871,NO
101,66,0.04768659713937467,NO
102,40,0.04674724795512926,NO
103,140,0.053062101454471926,NO
104,84,0.048388711295841894,NO
105,39,0.04672076012396275,NO
106,34,0.04662628159257871,NO
107,38,0.04669542129480163,NO
108,149,0.054436650710505685,NO
109,762,0.9949764370745378,NO
110,46,0.046896989477040255,NO
111,204,0.06300216239236811,NO
112,153,0.05473993264896419,NO
113,57,0.04552100448508377,NO
114,210,0.061611360872478066,NO
115,525,0.3091566496985316,NO
116,88,0.04693492737453893,NO
117,833,0.9375334758379382,NO
118,457,0.20345714911256824,NO
119,99,0.04763069646939166,NO
120,151,0.052491706754189744,NO
121,57,0.04552100448508377,NO
122,1320,0.9999903999189601,YES
123,39,0.045019859249210474,NO
124,89,0.047007187328866086,NO
125,100,0.04771439729637636,NO
126,84,0.04672559282281261,NO
127,662,0.6358224191312222,NO
128,68,0.045944763299820994,NO
129,312,0.09186991610839422,NO
130,101,0.04779939803863152,NO
131,78,0.04640122735809905,YES
132,79,0.04646366979384652,NO
133,125,0.049670105578619936,YES
134,113,0.04862393942966921,NO
135,1635,0.9999999966856603,YES
136,837,0.9425086412940087,YES
137,283,0.08103268029066363,NO
138,103,0.047885704791592744,NO
139,29,0.04485510391055419,NO
