ID,Size,Predicted,Actual
0,137,0.0,False
1,252,0.0,False
2,532,1.0,False
3,81,0.0,False
4,157,1.0,False
5,264,1.0,False
6,113,0.0,False
7,454,1.0,False
8,133,1.0,False
9,151,1.0,False
10,147,1.0,False
11,101,1.0,False
12,227,1.0,False
13,352,1.0,False
14,204,1.0,False
15,50,0.0,False
16,162,1.0,False
17,61,0.0,False
18,163,1.0,False
19,78,0.0,False
20,448,1.0,False
21,179,1.0,False
22,136,0.0,False
23,167,1.0,False
24,67,0.0,False
25,137,0.0,False
26,145,1.0,False
27,87,0.0,False
28,85,0.0,False
29,178,1.0,False
30,75,0.0,False
31,208,1.0,False
32,57,0.0,False
33,517,1.0,False
34,570,1.0,False
35,148,1.0,False
36,173,0.0,False
37,147,0.0,False
38,208,1.0,False
39,54,0.0,False
40,38,0.0,False
41,98,0.0,False
42,38,0.0,False
43,94,0.0,False
44,126,0.0,False
45,78,0.0,False
46,110,0.0,False
47,80,0.0,False
48,76,0.0,False
49,41,0.0,False
50,63,0.0,False
51,106,0.0,False
52,72,0.0,False
53,86,0.0,False
54,48,0.0,True
55,63,0.0,False
56,375,0.0,True
57,66,0.0,False
58,50,0.0,False
59,39,0.0,False
60,37,0.0,False
61,80,0.0,False
62,321,1.0,False
63,118,0.0,False
64,605,1.0,False
65,140,0.0,False
66,361,1.0,False
67,362,1.0,False
68,187,1.0,False
69,146,1.0,False
70,186,1.0,False
71,138,0.0,False
72,38,0.0,False
73,37,0.0,False
74,120,0.0,False
75,139,0.0,False
76,852,1.0,False
77,33,0.0,False
78,43,0.0,False
79,99,0.0,False
80,288,1.0,False
81,131,0.0,False
82,146,0.0,False
83,208,0.0,False
84,150,0.0,False
85,38,0.0,False
86,43,0.0,False
87,47,0.0,False
88,32,0.0,False
89,93,0.0,False
90,113,0.0,False
91,282,0.0,False
92,251,0.0,False
93,251,0.0,False
94,130,0.0,False
95,125,0.0,False
96,42,0.0,False
97,106,0.0,False
98,34,0.0,False
99,53,0.0,False
100,40,0.0,False
101,98,0.0,False
102,80,0.0,False
103,39,0.0,False
104,34,0.0,False
105,38,0.0,False
106,103,0.0,False
107,536,1.0,True
108,46,0.0,False
109,141,0.0,False
110,106,0.0,False
111,57,0.0,False
112,210,0.0,False
113,525,0.0,False
114,88,0.0,False
115,833,0.0,False
116,457,0.0,False
117,99,0.0,False
118,151,0.0,False
119,57,0.0,False
120,1320,1.0,True
121,39,0.0,False
122,89,0.0,False
123,100,0.0,False
124,84,0.0,False
125,662,0.0,False
126,68,0.0,False
127,312,0.0,False
128,101,0.0,False
129,78,0.0,False
130,79,0.0,False
131,125,0.0,False
132,113,0.0,False
133,1546,1.0,True
134,833,1.0,False
135,283,0.0,False
136,103,0.0,False
137,29,0.0,False
138,194,0.0,True
139,72,0.0,False
140,36,0.0,False
141,72,0.0,False
142,173,1.0,False
143,98,0.0,False
144,170,0.0,False
145,1185,1.0,False
146,70,0.0,False
147,47,0.0,False
148,381,1.0,False
149,107,0.0,False
150,1668,1.0,True
151,45,0.0,False
152,512,0.0,True
153,132,0.0,False
154,232,0.0,False
155,37,0.0,False
156,108,0.0,False
157,111,0.0,False
158,132,0.0,False
159,74,0.0,False
160,257,0.0,True
161,183,0.0,True
162,121,0.0,False
163,166,0.0,False
164,461,1.0,False
165,702,1.0,True
166,143,0.0,False
167,106,0.0,False
168,127,0.0,False
169,92,0.0,False
170,82,0.0,False
171,138,0.0,False
172,117,0.0,False
173,76,0.0,False
174,249,0.0,False
175,604,1.0,False
176,296,0.0,False
177,66,0.0,False
178,120,0.0,False
179,325,0.0,False
180,53,0.0,False
181,968,1.0,True
182,189,0.0,True
183,27,0.0,False
184,837,1.0,True
185,169,0.0,True
186,50,0.0,False
187,41,0.0,False
188,109,0.0,True
189,162,0.0,False
190,718,1.0,True
191,53,0.0,False
192,274,1.0,True
193,42,0.0,False
194,31,0.0,False
195,36,0.0,False
196,176,0.0,False
197,375,0.0,True
198,506,1.0,True
199,92,0.0,False
200,34,0.0,False
201,142,0.0,False
202,85,0.0,False
203,77,0.0,False
204,146,0.0,False
205,37,0.0,False
206,123,0.0,True
207,116,0.0,False
208,82,0.0,False
209,44,0.0,False
210,668,1.0,True
211,34,0.0,False
212,947,1.0,True
213,344,0.0,True
214,150,1.0,True
215,68,0.0,False
216,62,0.0,True
217,45,0.0,False
218,33,0.0,False
219,79,0.0,False
220,38,0.0,False
221,33,0.0,False
222,69,0.0,True
223,272,0.0,False
224,57,0.0,False
225,33,0.0,False
226,129,0.0,False
227,583,0.0,False
228,180,0.0,False
229,33,0.0,False
230,333,0.0,False
231,40,0.0,False
232,107,0.0,False
233,146,0.0,False
234,38,0.0,False
235,192,0.0,False
236,294,0.0,False
237,109,0.0,False
238,38,0.0,False
239,312,0.0,False
