ID,Size,Predicted,Actual
0,126,1.0,False
1,22,0.0,False
2,75,0.0,False
3,131,1.0,False
4,223,0.0,False
5,40,0.0,False
6,391,1.0,False
7,46,1.0,False
8,26,0.0,False
9,66,0.0,False
10,95,0.0,False
11,33,0.0,False
12,103,1.0,False
13,219,0.0,False
14,329,1.0,False
15,59,1.0,False
16,376,1.0,False
17,33,0.0,False
18,36,0.0,False
19,44,0.0,False
20,70,0.0,False
21,69,1.0,False
22,31,0.0,False
23,27,0.0,False
24,33,0.0,False
25,27,0.0,False
26,27,0.0,False
27,40,0.0,False
28,60,1.0,False
29,69,1.0,False
30,85,1.0,False
31,85,1.0,False
32,87,0.0,False
33,53,1.0,False
34,125,1.0,False
35,151,0.0,False
36,242,1.0,False
37,47,0.0,False
38,72,1.0,False
39,51,0.0,False
40,51,0.0,False
41,110,1.0,False
42,87,0.0,False
43,80,1.0,False
44,76,0.0,False
45,41,1.0,False
46,63,1.0,False
47,55,0.0,False
48,106,1.0,False
49,72,1.0,False
50,86,1.0,False
51,55,0.0,False
52,135,0.0,False
53,63,1.0,False
54,412,0.0,False
55,533,0.0,False
56,71,1.0,False
57,50,1.0,False
58,39,0.0,False
59,106,1.0,False
60,37,1.0,False
61,92,1.0,False
62,79,1.0,False
63,321,0.0,False
64,631,0.0,False
65,140,1.0,False
66,258,1.0,False
67,384,1.0,False
68,74,1.0,False
69,79,1.0,False
70,187,1.0,False
71,143,0.0,False
72,186,0.0,False
73,138,0.0,False
74,36,0.0,False
75,37,1.0,False
76,86,1.0,False
77,120,1.0,False
78,139,0.0,False
79,875,1.0,False
80,33,0.0,False
81,43,0.0,False
82,99,0.0,False
83,288,0.0,False
84,130,1.0,False
85,146,1.0,False
86,204,0.0,False
87,150,0.0,False
88,38,0.0,False
89,43,0.0,False
90,47,0.0,False
91,32,1.0,False
92,93,0.0,False
93,93,0.0,False
94,282,1.0,False
95,251,0.0,False
96,251,0.0,False
97,130,1.0,True
98,53,1.0,False
99,125,1.0,True
100,50,1.0,False
101,106,1.0,False
102,34,0.0,False
103,66,0.0,False
104,40,0.0,False
105,140,1.0,False
106,84,0.0,False
107,39,0.0,False
108,34,0.0,False
109,38,0.0,False
110,149,1.0,False
111,761,1.0,True
112,46,1.0,False
113,204,0.0,False
114,153,1.0,False
115,57,0.0,False
116,320,0.0,False
117,1595,1.0,True
118,241,1.0,True
119,432,1.0,False
120,443,1.0,True
121,40,0.0,False
122,135,0.0,False
123,112,1.0,False
124,86,1.0,False
125,798,1.0,True
126,422,1.0,False
127,177,0.0,False
128,157,0.0,False
129,355,1.0,False
130,205,0.0,False
131,68,0.0,False
132,277,0.0,False
133,479,1.0,False
134,101,0.0,False
135,29,0.0,False
136,68,0.0,False
137,79,1.0,False
138,70,0.0,False
139,79,1.0,False
140,186,0.0,False
141,123,1.0,False
142,134,1.0,False
143,2942,1.0,True
144,696,1.0,True
145,47,0.0,False
146,81,1.0,False
147,64,0.0,True
148,124,1.0,True
149,46,1.0,True
150,100,0.0,True
151,152,0.0,True
152,72,1.0,True
153,88,1.0,True
154,94,1.0,True
155,83,0.0,True
156,75,0.0,True
157,74,1.0,True
158,60,1.0,True
159,122,0.0,True
160,157,0.0,True
161,84,0.0,True
162,82,1.0,True
163,75,0.0,True
164,200,1.0,True
165,81,1.0,True
166,49,0.0,False
167,64,0.0,True
168,90,1.0,False
169,144,1.0,False
170,72,1.0,True
171,346,1.0,True
172,101,0.0,False
173,629,1.0,False
174,115,1.0,False
175,89,1.0,False
176,123,1.0,False
177,293,0.0,False
178,120,1.0,False
179,63,1.0,False
180,52,0.0,False
