ID,Size,Predicted,Actual
0,126,0.0,False
1,22,0.0,False
2,75,0.0,False
3,131,0.0,False
4,223,0.0,False
5,40,0.0,False
6,381,0.6,False
7,46,0.07909594408859114,False
8,26,0.0,False
9,66,0.0,False
10,95,0.03,False
11,33,0.0,False
12,103,0.0,False
13,219,0.11508333333333333,False
14,328,0.51,False
15,59,0.3191190476190476,False
16,376,0.61,False
17,33,0.0,False
18,36,0.0,False
19,44,0.0,False
20,70,0.0,False
21,69,0.0,False
22,31,0.0,False
23,27,0.0,False
24,33,0.0,False
25,27,0.0,False
26,27,0.0,False
27,40,0.0,False
28,60,0.0,False
29,69,0.0,False
30,85,0.4172422210142798,False
31,85,0.12947472400358054,False
32,86,0.7167692307692307,False
33,50,0.0,False
34,125,0.012914445203918885,False
35,151,0.02,False
36,242,0.1,False
37,47,0.0,False
38,72,0.0,False
39,51,0.0,False
40,51,0.0,False
41,106,0.0,False
42,87,0.0,False
43,80,0.05531707349275663,False
44,76,0.0,False
45,41,0.0,False
46,63,0.0,False
47,55,0.0,False
48,106,0.0,False
49,72,0.0,False
50,86,0.09700195474460181,False
51,55,0.0,False
52,135,0.0,False
53,63,0.0,False
54,412,0.0,False
55,66,0.0,False
56,50,0.0,False
57,39,0.0,False
58,37,0.0,False
59,80,0.05531707349275663,False
60,321,0.02,False
61,118,0.0,False
62,605,0.0,False
63,140,0.0,False
64,361,0.0,False
65,362,0.0,False
66,187,0.1477614052614053,False
67,146,0.2613451510567475,False
68,186,0.0,False
69,138,0.0,False
70,36,0.04,False
71,37,0.0,False
72,120,0.09673859881948119,False
73,139,0.0,False
74,852,0.0,False
75,33,0.0,False
76,43,0.03,False
77,99,0.12,False
78,288,0.0,False
79,131,0.0,False
80,146,0.0679148327163033,False
81,204,0.02,False
82,150,0.03,False
83,38,0.0,False
84,43,0.0,False
85,47,0.05,False
86,32,0.06583502294918703,False
87,93,0.07,False
88,93,0.1,False
89,282,0.0,False
90,251,0.0,False
91,251,0.51,False
92,130,0.0,False
93,53,0.0,False
94,125,0.10224738840450916,False
95,50,0.0,False
96,106,0.0,False
97,34,0.0,False
98,66,0.0,False
99,40,0.0,False
100,140,0.0,False
101,84,0.0,False
102,39,0.0,False
103,34,0.0,False
104,38,0.0,False
105,149,0.23480781718281718,False
106,761,0.36,False
107,46,0.07909594408859114,False
108,204,0.0,False
109,153,0.01,False
110,57,0.0,False
111,57,0.0,False
112,1307,0.89,True
113,170,0.29,True
114,339,0.71,False
115,40,0.0,False
116,90,0.25,True
117,100,0.0,False
118,84,0.0,False
119,699,0.7,False
120,389,0.62,True
121,165,0.015714285714285715,False
122,159,0.11234343434343436,False
123,305,0.09,True
124,185,0.0,True
125,68,0.03562171077747887,False
126,277,0.38,False
127,476,0.18,True
128,101,0.0,False
129,60,0.0,True
130,79,0.0,False
131,79,0.0,False
132,149,0.153,False
133,124,0.0,True
134,119,0.0,False
135,1746,0.96,True
136,868,0.21,True
137,87,0.0,False
138,61,0.0,False
139,101,0.0,False
140,355,0.64,False
141,284,0.65,False
142,103,0.0,False
143,29,0.0,False
144,215,0.29,True
145,71,0.0,True
146,36,0.0,False
147,82,0.5,False
148,51,0.0,False
149,173,0.03,True
150,98,0.0,False
151,174,0.13,False
152,1278,0.94,True
153,61,0.0,False
154,47,0.0,False
155,192,0.1,False
156,422,0.5,True
157,104,0.21,False
158,1156,0.34,True
159,326,0.13,True
160,851,0.27,True
161,415,0.35,False
162,45,0.0,False
163,716,0.79,True
164,129,0.04,False
165,256,0.26,True
166,37,0.0,True
167,452,0.13,False
168,139,0.0,False
169,112,0.0487085137085137,False
170,132,0.0,True
171,81,0.39252331945884245,False
172,274,0.34,True
173,68,0.007236994339786692,False
174,190,0.07,True
175,123,0.0,False
176,171,0.35,False
177,483,0.12,True
178,127,0.006428571428571428,False
179,921,0.82,True
180,143,0.0,False
181,106,0.0,False
182,123,0.04,False
183,93,0.27,False
184,82,0.0,False
185,139,0.0,False
186,59,0.3202857142857143,False
187,117,0.0,False
188,418,0.0,True
189,77,0.04,False
190,70,0.0,False
191,148,0.27,False
192,250,0.83,False
193,660,0.64,False
194,343,0.7228571428571428,True
195,66,0.0,False
196,120,0.09673859881948119,False
197,326,0.17,False
198,54,0.02,False
199,972,0.18,True
200,185,0.18,True
201,27,0.0,False
202,890,0.72,True
203,167,0.59,True
204,50,0.0,False
205,41,0.0,False
206,113,0.0,True
207,160,0.46,False
208,828,0.87,True
209,53,0.0,False
210,293,0.5,False
211,42,0.0,False
212,31,0.0,False
213,36,0.0,False
214,173,0.05,False
215,481,0.68,False
216,611,0.87,True
217,96,0.04,False
218,34,0.0,False
219,141,0.01,False
220,79,0.0,False
221,77,0.0,False
222,134,0.0,False
223,37,0.0,False
224,127,0.08,True
225,115,0.0,False
226,88,0.16,True
227,44,0.0,False
228,883,0.63,True
229,34,0.0,False
230,1123,0.81,True
231,411,0.5,False
232,157,0.65,False
233,68,0.03562171077747887,False
234,59,0.2775,False
235,38,0.0,False
236,120,0.08307692307692306,True
237,144,0.0925,False
238,45,0.0,False
239,33,0.0,False
240,80,0.3004545454545455,False
241,38,0.0,False
242,33,0.0,False
243,57,0.02,False
244,106,0.0,False
245,271,0.35,False
246,57,0.01,False
247,33,0.0,False
248,41,0.0,False
249,141,0.13,False
250,82,0.0,False
251,34,0.01,False
252,177,0.0,False
253,37,0.0,False
254,461,0.67,False
255,84,0.0,False
256,38,0.0,False
257,193,0.11,False
258,295,0.02,False
259,110,0.0,False
260,38,0.0,False
261,313,0.0,False
