ID,Size,Predicted,Actual
0,126,0.0,False
1,22,0.0,False
2,75,0.0,False
3,131,1.0,False
4,223,0.0,False
5,40,0.0,False
6,391,0.0,False
7,46,0.0,False
8,26,0.0,False
9,66,0.0,False
10,95,0.0,False
11,33,0.0,False
12,103,0.0,False
13,219,0.0,False
14,329,0.0,False
15,59,0.0,False
16,376,0.0,False
17,33,0.0,False
18,36,0.0,False
19,44,0.0,False
20,70,0.0,False
21,69,1.0,False
22,31,0.0,False
23,27,0.0,False
24,33,0.0,False
25,27,0.0,False
26,27,0.0,False
27,40,0.0,False
28,60,1.0,False
29,69,1.0,False
30,85,0.0,False
31,85,0.0,False
32,87,0.0,False
33,53,0.0,False
34,125,0.0,False
35,151,0.0,False
36,242,0.0,False
37,47,0.0,False
38,72,0.0,False
39,51,0.0,False
40,51,0.0,False
41,110,0.0,False
42,87,0.0,False
43,80,0.0,False
44,76,0.0,False
45,41,0.0,False
46,63,0.0,False
47,55,0.0,False
48,106,0.0,False
49,72,0.0,False
50,86,0.0,False
51,55,0.0,False
52,135,0.0,False
53,63,0.0,False
54,412,0.0,False
55,533,0.0,False
56,71,1.0,False
57,50,0.0,False
58,39,0.0,False
59,106,0.0,False
60,37,0.0,False
61,92,0.0,False
62,79,1.0,False
63,321,0.0,False
64,631,0.0,False
65,140,1.0,False
66,258,1.0,False
67,384,1.0,False
68,74,0.0,False
69,79,1.0,False
70,187,0.0,False
71,143,0.0,False
72,186,0.0,False
73,138,0.0,False
74,36,0.0,False
75,37,0.0,False
76,86,0.0,False
77,120,1.0,False
78,139,0.0,False
79,875,1.0,True
80,33,0.0,False
81,43,0.0,False
82,99,0.0,False
83,288,0.0,False
84,130,0.0,False
85,146,1.0,False
86,204,0.0,False
87,150,0.0,False
88,38,0.0,False
89,43,0.0,False
90,47,0.0,False
91,32,0.0,False
92,93,0.0,False
93,93,0.0,False
94,282,1.0,False
95,251,0.0,False
96,251,0.0,False
97,130,0.0,True
98,53,0.0,False
99,125,0.0,True
100,50,0.0,False
101,106,0.0,False
102,34,0.0,False
103,66,0.0,False
104,40,0.0,False
105,140,1.0,False
106,84,0.0,False
107,39,0.0,False
108,34,0.0,False
109,38,0.0,False
110,149,0.0,False
111,761,1.0,True
112,46,0.0,False
113,204,0.0,False
114,153,0.0,False
115,57,0.0,False
116,320,0.0,False
117,1595,1.0,True
118,241,0.0,True
119,432,0.0,False
120,443,1.0,True
121,40,0.0,False
122,135,0.0,False
123,112,0.0,False
124,86,0.0,False
125,798,1.0,True
126,422,1.0,False
127,177,0.0,False
128,157,1.0,False
129,355,1.0,False
130,205,0.0,False
131,68,0.0,False
132,277,0.0,False
133,479,1.0,False
134,101,0.0,False
135,29,0.0,False
136,68,0.0,False
137,79,1.0,True
138,70,0.0,False
139,79,1.0,False
140,186,0.0,False
141,123,0.0,False
142,134,0.0,False
143,2942,0.0,True
144,663,1.0,True
145,47,0.0,False
146,81,0.0,False
147,69,0.0,False
148,118,1.0,True
149,57,1.0,False
150,31,0.0,False
151,60,1.0,False
152,46,0.0,False
153,26,0.0,False
154,105,0.0,False
155,159,1.0,False
156,80,1.0,False
157,96,0.0,True
158,104,0.0,False
159,96,1.0,False
160,84,0.0,False
161,80,1.0,False
162,70,0.0,False
163,130,1.0,False
164,25,0.0,False
165,161,1.0,True
166,87,1.0,False
167,83,1.0,False
168,79,1.0,False
169,211,1.0,False
170,93,1.0,False
171,49,0.0,False
172,69,0.0,False
173,90,1.0,False
174,144,0.0,False
175,72,0.0,True
176,346,0.0,True
177,101,0.0,False
178,629,1.0,False
179,115,1.0,False
180,89,0.0,False
181,123,0.0,False
182,293,0.0,False
183,120,1.0,False
184,63,0.0,False
185,52,0.0,False
186,67,0.0,False
187,202,0.0,False
188,226,0.0,True
189,29,0.0,False
190,223,0.0,False
191,120,1.0,False
192,36,0.0,False
193,82,0.0,False
194,51,0.0,False
195,173,1.0,False
196,98,0.0,False
197,158,1.0,True
198,184,1.0,True
199,1415,1.0,True
200,61,0.0,False
201,47,0.0,False
202,192,1.0,True
203,27,0.0,False
204,189,1.0,False
205,482,1.0,False
206,104,0.0,False
207,799,0.0,True
208,976,0.0,False
209,475,1.0,True
210,558,1.0,True
211,49,0.0,False
212,970,1.0,True
213,192,1.0,True
214,62,0.0,False
215,223,0.0,False
216,296,1.0,False
217,44,0.0,False
218,372,0.0,False
219,245,0.0,False
220,117,1.0,True
221,156,0.0,False
222,135,0.0,False
223,326,0.0,False
224,128,0.0,True
225,68,0.0,False
226,217,0.0,False
227,131,1.0,False
228,122,0.0,False
229,48,0.0,False
230,266,0.0,False
231,83,0.0,False
232,83,0.0,False
233,98,0.0,False
234,250,0.0,False
235,617,1.0,False
236,51,0.0,False
237,176,0.0,False
238,1187,1.0,True
239,165,0.0,False
240,189,1.0,False
241,35,0.0,False
242,45,1.0,False
243,128,0.0,False
244,207,1.0,True
245,46,1.0,False
246,57,0.0,True
247,93,0.0,True
248,42,0.0,False
