ID,Size,Predicted,Actual
0,137,0.0,False
1,252,0.4127812816698265,False
2,545,0.34,False
3,81,0.37506383876176724,False
4,168,0.42,False
5,487,0.32,False
6,124,0.6117374270812993,False
7,536,1.0,False
8,133,0.0,False
9,151,0.0,False
10,147,0.08441217850776675,False
11,126,0.0,False
12,249,0.07,False
13,410,0.032030303030303034,False
14,204,0.009454545454545455,False
15,50,0.0,False
16,184,0.76,False
17,61,0.0352744338994339,False
18,167,0.14,False
19,80,0.0,False
20,83,0.05,False
21,547,0.48,False
22,198,0.07,False
23,140,0.0,False
24,178,0.16,False
25,67,0.0,False
26,138,0.0,False
27,170,0.05,False
28,87,0.0,False
29,85,0.7281213166348616,False
30,178,0.0,False
31,75,0.0,False
32,209,0.6,False
33,57,0.0,False
34,521,0.75,False
35,573,0.04,False
36,148,0.739681565639383,False
37,173,0.0,False
38,147,0.08441217850776675,False
39,763,0.79,False
40,209,0.0,False
41,54,0.0,False
42,38,0.0,False
43,98,0.0,False
44,38,0.0,False
45,94,0.8914110066919664,False
46,126,0.0,False
47,48,0.5016826321511307,False
48,63,0.0,False
49,237,1.0,False
50,133,0.0,False
51,136,0.0,False
52,176,0.0,False
53,46,0.0,False
54,127,0.38256263181263184,False
55,148,0.739681565639383,False
56,58,0.922545253765842,False
57,149,0.008,False
58,74,0.0,False
59,37,0.0,False
60,38,0.0,False
61,39,0.0,False
62,95,0.2687105076296253,False
63,87,0.0,False
64,70,0.0,False
65,113,0.0,False
66,329,0.0,False
67,83,0.0,False
68,58,0.922545253765842,False
69,122,0.0,False
70,359,0.0,False
71,224,0.04,False
72,585,0.88,False
73,365,0.0,False
74,98,0.0,False
75,41,0.0,False
76,65,0.0,False
77,45,0.0,False
78,47,0.0,False
79,185,0.10643506493506491,False
80,49,0.0,False
81,50,0.0,False
82,97,0.0,False
83,138,0.0,False
84,43,0.0,False
85,42,0.0,False
86,56,0.0,False
87,162,0.01,False
88,153,0.8,False
89,43,0.0,False
90,41,0.0,False
91,104,0.0,False
92,103,0.0,False
93,91,0.0,False
94,100,0.0,False
95,45,0.0,False
96,289,0.34,False
97,31,0.0,False
98,111,0.0,False
99,35,0.0,False
100,81,0.37506383876176724,False
101,27,0.0,False
102,28,0.0,False
103,29,0.0,False
104,561,1.0,False
105,64,0.0,False
106,29,0.0,False
107,64,0.0,False
108,37,0.0,False
109,68,0.4555857707259316,False
110,153,0.8,False
111,72,0.0,False
112,364,0.0,False
113,76,0.0,False
114,158,1.0,False
115,736,0.99,False
116,74,0.0,False
117,93,0.36251319616915595,False
118,22,0.0,False
119,426,0.14,False
120,62,0.27684608691961626,False
121,58,0.922545253765842,False
122,91,0.0,False
123,27,0.0,False
124,77,0.03282802795031056,False
125,703,1.0,False
126,63,0.0,False
127,37,0.0,False
128,64,0.0,False
129,124,0.6117374270812993,False
130,159,1.0,False
131,36,0.0,False
132,57,0.0,False
133,62,0.27684608691961626,False
134,129,0.0,False
135,73,0.0,False
136,82,0.0,False
137,74,0.0,False
138,48,0.5016826321511307,False
139,60,0.0,False
140,70,0.0,False
141,180,0.0,False
142,53,0.0,False
143,450,0.99,False
144,39,0.0,False
145,78,0.6953189960248336,False
146,64,0.0,False
147,31,0.0,False
148,57,0.0,False
149,104,0.0,False
150,32,0.0,False
151,226,0.04,False
152,187,0.7776613664113663,False
153,75,0.0,False
154,28,0.0,False
155,52,0.0,False
156,428,0.14,False
157,103,0.0,False
158,35,0.0,False
159,98,0.0,False
160,78,0.6953189960248336,False
161,22,0.0,False
162,75,0.0,False
163,131,0.0,False
164,223,0.04,False
165,40,0.0,False
166,380,0.1871551504051504,False
167,46,0.0,False
168,26,0.0,False
169,66,0.0,False
170,94,0.8914110066919664,False
171,33,0.0,False
172,103,0.0,False
173,218,1.0,False
174,327,0.0,False
175,59,1.0,False
176,377,0.5820870216384925,True
177,33,0.0,False
178,36,0.0,False
179,44,0.0,False
180,70,0.0,False
181,69,0.0,False
182,31,0.0,False
183,27,0.0,False
184,33,0.0,False
185,27,0.0,False
186,27,0.0,False
187,40,0.0,False
188,60,0.0,False
189,69,0.0,False
190,84,0.0,False
191,85,0.7281213166348616,False
192,85,0.7281213166348616,False
193,50,0.0,False
194,124,0.6117374270812993,False
195,150,0.0,False
196,241,1.0,False
197,47,0.0,False
198,72,0.0,False
199,51,0.0,False
200,51,0.0,False
201,106,0.0,False
202,87,0.0,False
203,80,0.0,False
204,76,0.0,False
205,41,0.0,False
206,63,0.0,False
207,55,0.0,False
208,106,0.0,False
209,72,0.0,False
210,86,0.32447481208162315,False
211,55,0.0,False
212,134,0.0,False
213,63,0.0,False
214,412,0.05,False
215,66,0.0,False
216,50,0.0,False
217,39,0.0,False
218,37,0.0,False
219,80,0.0,False
220,321,0.33,False
221,118,0.0,False
222,605,0.06,False
223,140,0.0,False
224,361,0.0,False
225,362,0.0,False
226,187,0.7776613664113663,False
227,146,0.0,False
228,186,0.13310173160173158,False
229,138,0.0,False
230,38,0.0,False
231,37,0.0,False
232,120,0.7177213308985104,False
233,139,0.0,False
234,852,0.0,False
235,33,0.0,False
236,43,0.0,False
237,99,0.0,False
238,288,0.34,False
239,131,0.0,False
240,146,0.0,False
241,208,0.4903149348968436,False
242,150,0.0,False
243,38,0.0,False
244,43,0.0,False
245,47,0.0,False
246,32,0.0,False
247,93,0.36251319616915595,False
248,113,0.0,False
249,282,0.01,False
250,251,0.0,False
251,251,0.0,False
252,130,0.0,False
253,53,0.0,False
254,125,0.6117374270812993,False
255,50,0.0,False
256,106,0.0,False
257,34,0.0,False
258,66,0.0,False
259,40,0.0,False
260,140,0.0,False
261,84,0.0,False
262,39,0.0,False
263,34,0.0,False
264,38,0.0,False
265,149,0.008,False
266,762,0.38,False
267,46,0.0,False
268,204,0.009454545454545455,False
269,153,0.8,False
270,57,0.0,False
271,210,0.0,False
272,525,0.0,False
273,88,0.0,False
274,833,0.0,False
275,457,0.0,False
276,99,0.0,False
277,151,0.0,False
278,57,0.0,False
279,1088,0.8,True
280,158,1.0,True
281,318,0.33,True
282,39,0.0,False
283,89,0.0,False
284,100,0.0,False
285,84,0.0,False
