ID,Size,Predicted,Actual
0,126,0.0,False
1,22,0.0,False
2,75,0.0,False
3,131,0.0,False
4,223,0.0,False
5,40,0.0,False
6,381,1.0,False
7,46,0.0,False
8,26,0.0,False
9,66,0.0,False
10,95,0.0,False
11,33,0.0,False
12,103,0.0,False
13,219,1.0,False
14,328,1.0,False
15,59,0.0,False
16,376,1.0,False
17,33,0.0,False
18,36,0.0,False
19,44,0.0,False
20,70,0.0,False
21,69,0.0,False
22,31,0.0,False
23,27,0.0,False
24,33,0.0,False
25,27,0.0,False
26,27,0.0,False
27,40,0.0,False
28,60,0.0,False
29,69,0.0,False
30,85,1.0,False
31,85,1.0,False
32,86,0.0,False
33,50,0.0,False
34,125,0.0,False
35,151,1.0,False
36,242,1.0,False
37,47,0.0,False
38,72,0.0,False
39,51,0.0,False
40,51,0.0,False
41,106,0.0,False
42,87,0.0,False
43,80,0.0,False
44,76,0.0,False
45,41,0.0,False
46,63,0.0,False
47,55,0.0,False
48,106,0.0,False
49,72,0.0,False
50,86,1.0,False
51,55,0.0,False
52,135,0.0,False
53,63,0.0,False
54,412,0.0,False
55,66,0.0,False
56,50,0.0,False
57,39,0.0,False
58,37,0.0,False
59,80,0.0,False
60,321,0.0,False
61,118,0.0,False
62,605,0.0,False
63,140,0.0,False
64,361,0.0,False
65,362,0.0,False
66,187,1.0,False
67,146,1.0,False
68,186,0.0,False
69,138,0.0,False
70,36,0.0,False
71,37,0.0,False
72,120,1.0,False
73,139,0.0,False
74,852,0.0,False
75,33,0.0,False
76,43,0.0,False
77,99,0.0,False
78,288,0.0,False
79,131,0.0,False
80,146,1.0,False
81,204,1.0,False
82,150,0.0,False
83,38,0.0,False
84,43,0.0,False
85,47,0.0,False
86,32,0.0,False
87,93,1.0,False
88,93,0.0,False
89,282,0.0,False
90,251,0.0,False
91,251,1.0,False
92,130,0.0,False
93,53,0.0,False
94,125,1.0,False
95,50,0.0,False
96,106,0.0,False
97,34,0.0,False
98,66,0.0,False
99,40,0.0,False
100,140,0.0,False
101,84,0.0,False
102,39,0.0,False
103,34,0.0,False
104,38,0.0,False
105,149,0.0,False
106,761,1.0,False
107,46,0.0,False
108,204,0.0,False
109,153,0.0,False
110,57,0.0,False
111,57,0.0,False
112,1307,1.0,True
113,170,1.0,True
114,339,1.0,False
115,40,0.0,False
116,90,0.0,True
117,100,0.0,False
118,84,0.0,False
119,699,1.0,False
120,389,1.0,True
121,165,1.0,False
122,159,1.0,False
123,305,1.0,True
124,185,0.0,True
125,68,0.0,False
126,277,1.0,False
127,476,1.0,True
128,101,0.0,False
129,60,0.0,True
130,79,0.0,False
131,79,0.0,False
132,149,1.0,False
133,124,0.0,True
134,119,0.0,False
135,1746,1.0,True
136,868,1.0,True
137,87,0.0,False
138,61,0.0,False
139,101,0.0,False
140,355,1.0,False
141,284,1.0,False
142,103,0.0,False
143,29,0.0,False
144,215,1.0,True
145,71,0.0,True
146,36,0.0,False
147,82,1.0,False
148,51,1.0,False
149,173,1.0,True
150,98,0.0,False
151,174,1.0,False
152,1278,1.0,True
153,61,0.0,False
154,47,0.0,False
155,192,1.0,False
156,422,1.0,True
157,104,1.0,False
158,1156,1.0,True
159,326,1.0,True
160,851,1.0,True
161,415,1.0,False
162,45,0.0,False
163,716,1.0,True
164,129,1.0,False
165,256,1.0,True
166,37,0.0,True
167,452,1.0,False
168,139,1.0,False
169,112,1.0,False
170,132,0.0,True
171,81,1.0,False
172,274,1.0,True
173,68,0.0,False
174,190,1.0,True
175,123,1.0,False
176,171,1.0,False
177,483,1.0,True
178,127,0.0,False
179,921,1.0,True
180,143,0.0,False
181,106,0.0,False
182,123,1.0,False
183,93,0.0,False
184,82,0.0,False
185,139,0.0,False
186,59,0.0,False
187,117,0.0,False
188,418,1.0,True
189,77,0.0,False
190,70,0.0,False
191,148,1.0,False
192,250,1.0,False
193,660,1.0,False
194,343,1.0,True
195,66,0.0,False
196,120,1.0,False
197,326,1.0,False
198,54,0.0,False
199,972,1.0,True
200,185,1.0,True
201,27,0.0,False
202,890,1.0,True
203,167,1.0,True
204,50,0.0,False
205,41,0.0,False
206,113,1.0,True
207,160,1.0,False
208,828,1.0,True
209,53,0.0,False
210,293,1.0,False
211,42,0.0,False
212,31,0.0,False
213,36,0.0,False
214,173,1.0,False
215,481,1.0,False
216,611,1.0,True
217,96,1.0,False
218,34,0.0,False
219,141,1.0,False
220,79,0.0,False
221,77,0.0,False
222,134,1.0,False
223,37,0.0,False
224,127,1.0,True
225,115,1.0,False
226,88,1.0,True
227,44,0.0,False
228,883,1.0,True
229,34,0.0,False
230,1123,1.0,True
231,411,1.0,False
232,157,1.0,False
233,68,0.0,False
234,59,1.0,False
235,38,0.0,False
236,120,1.0,True
237,144,1.0,False
238,45,0.0,False
239,33,0.0,False
240,80,1.0,False
241,38,0.0,False
242,33,0.0,False
243,57,0.0,False
244,106,1.0,False
245,271,1.0,False
246,57,0.0,False
247,33,0.0,False
248,41,0.0,False
249,141,1.0,False
250,82,0.0,False
251,34,0.0,False
252,177,0.0,False
253,37,0.0,False
254,461,1.0,False
255,84,0.0,False
256,38,0.0,False
257,193,1.0,False
258,295,1.0,False
259,110,0.0,False
260,38,0.0,False
261,313,1.0,False
