ID,Size,Predicted,Actual
0,126,0.057666666666666665,False
1,22,0.0,False
2,75,0.2825,False
3,131,0.0,False
4,223,1.0,False
5,40,0.0,False
6,381,0.94,False
7,46,0.0,False
8,26,0.0,False
9,66,0.0,False
10,95,0.184,False
11,33,0.0,False
12,103,0.0,False
13,219,0.96,False
14,328,0.34,False
15,59,0.7,False
16,376,0.95,False
17,33,0.0,False
18,36,0.0,False
19,44,0.0,False
20,70,0.13939951714951715,False
21,69,0.9015049044522728,False
22,31,0.0,False
23,27,0.0,False
24,33,0.0,False
25,27,0.0,False
26,27,0.0,False
27,40,0.0,False
28,60,0.03,False
29,69,0.9015049044522728,False
30,85,0.6356666666666667,False
31,85,0.6356666666666667,False
32,86,0.5215833333333333,False
33,50,0.0,False
34,125,0.4586666666666667,False
35,151,0.01,False
36,242,0.6184166666666666,False
37,47,0.03,False
38,72,0.3644033189033188,False
39,51,0.0,False
40,51,0.0,False
41,106,0.0,False
42,87,0.07133333333333333,False
43,80,0.02,False
44,76,0.05496031746031746,False
45,41,0.0,False
46,63,0.0,False
47,55,0.0,False
48,106,0.0,False
49,72,0.3644033189033188,False
50,86,0.5215833333333333,False
51,55,0.0,False
52,135,0.0,False
53,63,0.0,False
54,412,0.03,False
55,533,0.87,False
56,67,0.05692460317460319,False
57,50,0.0,False
58,39,0.0,False
59,88,0.012333333333333335,False
60,37,0.0,False
61,74,0.7188914141414141,False
62,79,0.0,False
63,321,0.94,False
64,631,1.0,False
65,140,0.0,False
66,318,0.87,False
67,356,0.36,False
68,187,0.3070873015873016,False
69,142,0.01,False
70,186,0.29708730158730157,False
71,138,0.0,False
72,36,0.0,False
73,37,0.0,False
74,120,0.4516666666666667,False
75,139,0.0,False
76,852,0.03,False
77,33,0.0,False
78,43,0.0,False
79,99,0.0,False
80,288,0.33,False
81,131,0.0,True
82,146,0.7543253968253968,False
83,204,0.41,False
84,150,0.01,False
85,38,0.0,False
86,43,0.0,False
87,47,0.03,False
88,32,0.0,False
89,93,0.767611111111111,False
90,93,0.767611111111111,False
91,282,0.12,False
