DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
ZOOKEEPER,1,49.840255591054316,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,137.0,20.0
ZOOKEEPER,1,49.840255591054316,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,NaN,0.0,0.6686131386861314,0.0,0.0,0.0,137.0,20.0
ZOOKEEPER,1,49.840255591054316,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,137.0,20.0
ZOOKEEPER,1,49.840255591054316,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,NaN,0.0,0.7532846715328467,0.0,0.0,0.0,137.0,20.0
ZOOKEEPER,1,49.840255591054316,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,137.0,20.0
ZOOKEEPER,1,49.840255591054316,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,NaN,0.0,0.7532846715328467,0.0,0.0,0.0,137.0,20.0
ZOOKEEPER,1,49.840255591054316,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,137.0,20.0
ZOOKEEPER,1,49.840255591054316,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,NaN,0.0,0.6686131386861314,0.0,0.0,0.0,137.0,20.0
ZOOKEEPER,1,49.840255591054316,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,137.0,20.0
ZOOKEEPER,1,49.840255591054316,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,NaN,0.0,0.7532846715328467,0.0,0.0,0.0,137.0,20.0
