@relation ZOOKEEPER_TR9.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
29,36,27,2.3333333333333335,5,0,12.0,29,27,9.666666666666666,0,3,1,False
175,182,173,1.75,5,0,45.5,175,173,43.75,0,4,2,False
36,42,34,2.0,5,0,14.0,36,34,12.0,0,3,1,False
112,125,109,2.6,5,0,25.0,112,109,22.4,0,5,3,False
68,74,66,2.0,5,0,24.666666666666668,68,66,22.666666666666668,0,3,1,False
88,105,89,3.4,8,0,21.0,96,89,19.2,0,5,2,False
46,52,44,2.0,5,0,17.333333333333332,46,44,15.333333333333334,0,3,1,False
117,130,95,3.25,5,0,32.5,117,95,29.25,0,4,2,False
74,80,72,2.0,5,0,26.666666666666668,74,72,24.666666666666668,0,3,1,False
28,34,26,2.0,5,0,11.333333333333334,28,26,9.333333333333334,0,3,1,False
26,32,24,2.0,5,0,10.666666666666666,26,24,8.666666666666666,0,3,1,False
29,35,27,2.0,5,0,11.666666666666666,29,27,9.666666666666666,0,3,1,False
43,50,41,2.3333333333333335,5,0,16.666666666666668,43,41,14.333333333333334,0,3,1,False
34,40,32,2.0,5,0,13.333333333333334,34,32,11.333333333333334,0,3,1,False
26,32,24,2.0,5,0,10.666666666666666,26,24,8.666666666666666,0,3,1,False
53,61,46,2.0,5,0,15.25,53,46,13.25,0,4,2,False
34,41,32,2.3333333333333335,5,0,13.666666666666666,34,32,11.333333333333334,0,3,1,False
44,52,42,2.6666666666666665,5,0,17.333333333333332,44,42,14.666666666666666,0,3,1,False
33,39,31,2.0,5,0,13.0,33,31,11.0,0,3,1,False
45,53,43,2.6666666666666665,5,0,17.666666666666668,45,43,15.0,0,3,1,False
33,39,31,2.0,5,0,13.0,33,31,11.0,0,3,1,False
38,45,36,2.3333333333333335,5,0,15.0,38,36,12.666666666666666,0,3,1,False
33,39,31,2.0,5,0,13.0,33,31,11.0,0,3,1,False
125,180,138,9.166666666666666,24,0,30.0,157,138,26.166666666666668,0,6,3,False
79,86,80,2.3333333333333335,6,0,28.666666666666668,81,80,27.0,0,3,2,False
115,130,111,3.75,8,0,32.5,115,111,28.75,0,4,2,False
85,94,83,3.0,5,0,31.333333333333332,85,83,28.333333333333332,0,3,1,False
56,79,50,3.8333333333333335,11,0,13.166666666666666,60,50,10.0,0,6,3,False
76,85,74,3.0,5,0,28.333333333333332,76,74,25.333333333333332,0,3,1,False
225,315,243,12.857142857142858,34,0,45.0,281,243,40.142857142857146,0,7,3,False
132,163,142,7.75,25,0,40.75,170,142,42.5,0,4,2,False
78,87,76,3.0,5,0,29.0,78,76,26.0,0,3,1,False
55,67,53,3.0,5,0,16.75,55,53,13.75,0,4,2,False
82,91,80,3.0,5,0,30.333333333333332,82,80,27.333333333333332,0,3,1,False
55,67,53,3.0,5,0,16.75,55,53,13.75,0,4,2,False
115,166,107,7.285714285714286,14,0,23.714285714285715,131,107,18.714285714285715,0,7,3,False
38,45,36,2.3333333333333335,5,0,15.0,38,36,12.666666666666666,0,3,1,False
53,61,51,2.6666666666666665,5,0,20.333333333333332,53,51,17.666666666666668,0,3,1,False
30,36,28,2.0,5,0,12.0,30,28,10.0,0,3,1,False
34,40,32,2.0,5,0,13.333333333333334,34,32,11.333333333333334,0,3,1,False
95,101,93,2.0,5,0,33.666666666666664,95,93,31.666666666666668,0,3,1,False
69,78,67,3.0,5,0,26.0,69,67,23.0,0,3,1,False
38,45,36,2.3333333333333335,5,0,15.0,38,36,12.666666666666666,0,3,1,False
61,71,59,3.3333333333333335,5,0,23.666666666666668,61,59,20.333333333333332,0,3,1,False
